职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
校招软件研发工程师（Android）,万得信息技术股份有限公司,1-1.5万,南京-建邺区,本科,在校生/应届生,01-30发布,1000-5000人,民营,计算机软件,,,民营  |  1000-5000人
Android驱动工程师,深圳东创技术股份有限公司东莞分公司,1.5-2.5万,深圳-宝安区,大专,在校生/应届生,01-29发布,1000-5000人,民营,原材料和加工,,岗位要求：1、大专及以上学历，电子或计算机相关专业；2、良好的沟通能力、团队精神、快速学习的能力；3、有一定的硬件基础，能够很好的理解硬件电路原理和芯片手册；4、熟悉Linux内核，拥有三年以上Qualcomm或MTK平台手机Android驱动开发经验；5、有高通平台camera驱动开发经验者优先，有系统稳定性、功耗、性能等优化经验者优先；岗位职责：1、负责Android常规外设驱动调试（LCM、TP、Camera、Gsensor、Msensor、电源管理等外设）2、解决项目中驱动相关bug3、负责Android下新功能模块的驱动调试工作4、有良好的团队协作精神和责任心，能够承受工作压力。5、熟悉linux驱动开发，有高通QM215/SDM450/SDM660/SM6115/SM6125等平台经验优先,民营  |  1000-5000人
Android开发工程师（2023届）,上海禾苗通信技术有限公司,8千-1.3万,上海-浦东新区,本科,在校生/应届生,01-29发布,1000-5000人,已上市,通信/电信/网络设备,成都市高新西区西芯大道30号,岗位职责：1.良好的学习习惯，不断向上的学习精神；2.根据入职后模块分配，处理相关模块的bug；3.根据入职后模块分配，负责对应的需求功能开发。任职要求：1.本科及以上学历，计算机、软件等相关专业；2.沟通表达能力较好，逻辑思维清晰，有较强的责任心及目标导向意识；3.具有良好的职业道德，踏实稳重，工作细心，有团队协作精神。,已上市  |  1000-5000人
Android System优化工程师,三星电子（中国）研发中心,9千-1.3万·13薪,南京-雨花台区,本科,在校生/应届生,01-30发布,500-1000人,外资（非欧美）,计算机软件,,"工作职责：1.Android系统问题定位和解决2.Android系统性能和功耗优化3.Android系统资源管理（CPU、Memory等）4.Androidframework开发和维护任职要求：1.本科及以上学历，计算机/通信专业优先。2.精通AndroidFramework相关开发（AMS,PMS等模块）3.精通AndroidSystem/Driver相关开发4.了解Android功耗和性能优化相关知识5.熟练掌握Java,C/C++，Python语言6.具备良好的沟通能力7.有Graphic经验，AI等相关经验优先★请应聘人在应聘全过程中注意不要泄漏目前在职公司的商业秘密。★请确认您投递的简历不包括目前在职公司的商业秘密。",外资（非欧美）  |  500-1000人
Android系统开发工程师-2023届(J12663),浙江零跑科技股份有限公司,1.5-2万·14薪,,,,01-30发布,5000-10000人,民营,汽车,,,民营  |  5000-10000人
Android开发工程师,深圳红酒世界电商股份有限公司,8千-1.5万,,,,01-28发布,150-500人,民营,互联网/电子商务,,,民营  |  150-500人
Android驱动工程师,深圳东创技术股份有限公司东莞分公司,1.5-2.5万,,,,01-29发布,1000-5000人,民营,原材料和加工,吉大九洲大道中1082号中电大厦305B,,民营  |  1000-5000人
Android开发工程师（会跨平台优先）,武汉智群企业管理咨询有限公司,5千-1万,,,,01-07发布,少于50人,民营,计算机软件,深圳市宝安区西乡街道宝源路名优采购中心B座3区511室,,民营  |  少于50人
嵌入式软件工程师（应届生）,深圳市昊唐科技有限公司,12-18万/年,,,,12-26发布,150-500人,民营,汽车,智慧路18号O-PARK大厦18楼,,民营  |  150-500人
上位机工程师,上海何因生物科技有限公司,7千-1.3万·13薪,,,,01-16发布,少于50人,民营,制药/生物工程,成都市天府新区集萃路619号天府海创园2号地块1号楼,,民营  |  少于50人
Android开发工程师（23年应届）,上海卓易科技股份有限公司,8千-1.6万·13薪,,,,12-28发布,150-500人,已上市,互联网/电子商务,广东省佛山市南海区桂城深海路17号瀚天科技城A区5号楼（1号门）5楼,,已上市  |  150-500人
Android开发工程师,广东广凌信息科技股份有限公司,3-4千,,,,12-15发布,50-150人,已上市,计算机服务(系统、数据服务、维修),南海大道1029号万融大厦A座7楼,,已上市  |  50-150人
Android软件工程师（23届校招）,三星（中国）半导体有限公司,17-34万/年,,,,01-22发布,5000-10000人,外资（非欧美）,计算机软件,广州三星通信研究院,,外资（非欧美）  |  5000-10000人
Android/iOS开发工程师,上海萌果信息科技有限公司,8千-1.5万,,,,01-17发布,50-150人,民营,网络游戏,中惠国际金融中心,,民营  |  50-150人
Android应用软件开发工程师,上海甲金通信科技有限公司,10-20万/年,,,,01-17发布,50-150人,民营,通信/电信/网络设备,,,民营  |  50-150人
Android开发工程师（2023届）(J10562),中储南京智慧物流科技有限公司,7千-1.2万,南京-鼓楼区,本科,在校生/应届生,01-14发布,1000-5000人,国企,互联网/电子商务,,工作职责:1、负责智运各产品的移动客户端设计与开发；2、负责基础模块和组件的研发和维护；3、负责移动客户端的技术栈搭建，推动技术创新，通过技术提升用户体验，优化产品功能。任职资格:1、2023届统招本科及以上学历，计算机等相关专业；2、有扎实的计算机基础知识，掌握算法和数据结构，熟悉计算机网络知识；3、掌握一种及以上的编程语言，了解HTTP/HTTPS/HTTP2、TCP/IP协议；4、具备良好的责任心、较强的学习能力以及问题分析能力、良好的团队沟通与协作能力。加分项：1、有客户端相关实际项目经验或互联网公司实习经验者优先；2、有开源项目，或者参与过项目实践者优先。,国企  |  1000-5000人
Android开发工程师（实习/应届）,广州市鑫澳康科技有限公司,2.5-3.5千,广州-黄埔区,大专,在校生/应届生,01-13发布,150-500人,民营,电子技术/半导体/集成电路,,工作职责：1.根据任务安排，学习和熟悉公司项目与工具；2.根据产品设计，参与需求分析、开发、调试工作；3.负责触屏交互产品（Android平台）应用软件开发及维护；4.与项目相关产品、测试、前后端等人员沟通和合作；5、负责完成领导分配的其他工作。岗位要求：1、计算机相关专业；2、对Android系统架构有基本的理解，了解Java程序设计、JSON/XML解析、常用设计模式、基本的数据结构与算法、HTTP协议等；3、了解AndroidSDK各种组件，包括网络通讯、数据存储、UI布局、动画与控件等的使用，熟悉图形编程、多线程编程、网络编程、Service等；4、善于沟通与团队协作、责任心强、热爱学习，具有较强的执行能力和抗压能力，能保证项目的进度和质量；,民营  |  150-500人
Android开发工程师(J11141),广州中海达卫星导航技术股份有限公司,1-1.5万,广州-番禺区,本科,在校生/应届生,01-12发布,1000-5000人,已上市,电子技术/半导体/集成电路,虹梅路2007号三期1号楼9楼,"工作职责:1、根据公司要求完成基于Android系统平台的应用程序开发设计、调试工作；2、根据项目任务计划按时完成软件高质量编码和自测工作；3、对安卓开发有系统化的知识体系，良好的学习能力；4、按时按需完成软件的维护及更新。任职资格:1、本科及以上学历，地理信息或测绘相关专业；2、具备扎实的Java语言基础,能熟练使用AndroidSDK；3、熟练掌握AndroidUI开发，包括各种控件、布局方式、动画和自定义控件的使用方法；4、有良好的编程习惯，对安卓开发有系统化的知识体系，良好的学习能力。5、熟悉C/C++语言，熟悉NDK开发者优先。",已上市  |  1000-5000人
android驱动工程师（应届生）,深圳市阿龙电子有限公司,8千-1万,深圳-宝安区,本科,在校生/应届生,01-12发布,500-1000人,民营,电子技术/半导体/集成电路,,"职位描述1）精通C语言、C++2）本科电子或计算机等相关专业3）熟悉linux环境的应用编程,对嵌入式系统的硬件原理有一定了解，具有良好的英文文档阅读能力5）主要负责内核驱动调试和设备驱动开发6）能吃苦耐劳7）有MTK\Allwinner\Rockchip平台开发经验者优先员工一经录用，享有以下待遇：1、上班时间：5.5天制（周六4小时)：2、带薪假期：享受国家法定节假日、超长带薪春节假、婚假、产假、丧假、病假等法定带薪假期；3、带薪培训：新人岗前培训、职业技能培训等；4、入职即享受购买五险（养老、医疗、工伤、生育、失业）、住房公积金；5、团队活动：年度旅游、趣味活动、生日会、下午茶、年会等；6、提供住宿：四人间，空调、热水器、衣柜、书桌、配置齐全。",民营  |  500-1000人
Android开发工程师,广州市森锐科技股份有限公司,3.5-5千,广州-黄埔区,大专,在校生/应届生,01-11发布,150-500人,已上市,多元化业务集团公司,,,已上市  |  150-500人
Android应用开发工程师—应届毕业生,锦图计算技术（深圳）有限公司,7千-1.1万,深圳-南山区,本科,在校生/应届生,01-10发布,50-150人,民营,电子技术/半导体/集成电路,,Android应用开发工程师（应届毕业生）岗位职责：1、负责Android系统产品需求评审、设计评审、方案设计，设计文档输出；2、负责android车机应用、framework层开发；3、按软件需求完成界面、框架搭建、业务逻辑功能等设计；4、按照项目计划，在保证质量的前提下，按时完成开发任务；5、配合其他开发人员、测试人员，完成产品设计和发布；职位要求：1、相关本科及以上学历，计算机、软件、电子、音视频多媒体及相关专业;2、对Android应用开发感兴趣，有Java编程知识，对程序设计和良好的编码有定的认知；3、对Android应用开发框架(如：MVP)、感兴趣，有自定义控件的知识;4、对多线程、Service、aidl、JNI编程开发有一定的知识掌握;5、有Framework底层开发的认知，能够在framework层进行源码修改以及增加功能的基础上进行探索或感兴趣；6、能够承受较强的工作压力，有一定的逻辑思维分析、表达、沟通能力；,民营  |  50-150人
Android系统工程师(J10998),广州中海达卫星导航技术股份有限公司,9千-1.1万·13薪,广州-番禺区,本科,在校生/应届生,01-11发布,1000-5000人,已上市,电子技术/半导体/集成电路,,"工作职责:1、根据产品功能需求，对Android系统应用（Framework、Launcher、Setting、SystemUI等）进行软件定制设计，开发，移植及调试优化；2、根据项目计划完成文档撰写、编码、调试、自测等工作；3、负责项目软件版本管理及发布工作，解决软件在开发、调试、测试中发现的BUG。任职资格:1、大专以上学历，计算机/通信/电子等相关专业，5年以上Android系统开发经验,有MTK平台开发经验的优先2、熟练掌握Java语言，熟悉C、C++、Kotlin语言,熟悉基于Git的软件开发及管理流程；3、熟练掌握Android基本类库、UI界面绘制、后台运行、数据存储、网络通信机制等，熟悉JSON、HTTP、TCP/IP协议；4、熟悉Android系统框架，有Framework、Launcher、Setting等开发定制经验，且能独立开发小型Android应用；5、熟悉JNI/NDK开发，熟悉android系统Service、Binder、callback等机制。",已上市  |  1000-5000人
Android开发工程师（应届）,上海零与壹软件有限公司,8千-1.2万,上海-闵行区,本科,在校生/应届生,01-09发布,少于50人,民营,计算机软件,,,民营  |  少于50人
Android研发工程师,北京融安特智能科技股份有限公司,5-9千,黄石,大专,在校生/应届生,12-12发布,150-500人,已上市,互联网/电子商务,,,已上市  |  150-500人
android开发工程师,万达宝软件（深圳）有限公司,9千-1.3万,深圳-南山区,本科,在校生/应届生,12-09发布,150-500人,外资（非欧美）,计算机软件,,,外资（非欧美）  |  150-500人
Android初级开发工程师,深圳市金泰谊电子有限公司,6千-1.2万,深圳-南山区,本科,在校生/应届生,01-05发布,150-500人,创业公司,通信/电信/网络设备,,,创业公司  |  150-500人
