职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
校招软件研发工程师（Android）,万得信息技术股份有限公司,1-1.5万,南京-建邺区,本科,在校生/应届生,01-29发布,1000-5000人,民营,计算机软件,,,民营  |  1000-5000人
Android驱动工程师,深圳东创技术股份有限公司东莞分公司,1.5-2.5万,深圳-宝安区,大专,在校生/应届生,01-29发布,1000-5000人,民营,原材料和加工,,岗位要求：1、大专及以上学历，电子或计算机相关专业；2、良好的沟通能力、团队精神、快速学习的能力；3、有一定的硬件基础，能够很好的理解硬件电路原理和芯片手册；4、熟悉Linux内核，拥有三年以上Qualcomm或MTK平台手机Android驱动开发经验；5、有高通平台camera驱动开发经验者优先，有系统稳定性、功耗、性能等优化经验者优先；岗位职责：1、负责Android常规外设驱动调试（LCM、TP、Camera、Gsensor、Msensor、电源管理等外设）2、解决项目中驱动相关bug3、负责Android下新功能模块的驱动调试工作4、有良好的团队协作精神和责任心，能够承受工作压力。5、熟悉linux驱动开发，有高通QM215/SDM450/SDM660/SM6115/SM6125等平台经验优先,民营  |  1000-5000人
Android系统工程师(应届),深圳市深智电科技有限公司,6-8千,深圳-宝安区,大专,在校生/应届生,01-29发布,50-150人,民营,计算机软件,,1，电子专业、计算机相关专业的应届生；2、负责android系统调试、linux系统调试、linuxdriver等相关工作；3、负责外围设备的开发和调试，比如屏、touch、I2C设备等。,民营  |  50-150人
Android开发工程师,深圳红酒世界电商股份有限公司,8千-1.5万,深圳-南山区,本科,在校生/应届生,01-28发布,150-500人,民营,互联网/电子商务,,岗位职责：（1）负责基于Android应用程序开发（2）维护应用稳定，应需求优化应用任职要求：（1）有Android开发能力；（2）数据结构、算法和代码、软件设计方面有良好的基础知识；（3）熟练掌握Java或者IOS开发者优先；（4）要求本科以上学历；其他福利：（1）签订正式劳动合同，按深圳市规定缴纳社保和公积金（五险一金）；（2）每年发放4000元过节费；（3）每月报销话费200元；（4）每月全时奖300元；（5）公司为全体员工购买补充商业保险，含人身意外伤害、重大疾病、住院津贴等保障；（6）公司每年组织全体员工旅游、体检及工会定期组织的文化体育娱乐等活动。此岗位为协助招聘，入职兄弟公司-深圳前海中民科技有限公司，上班地址是南山区水木一方大厦19楼。,民营  |  150-500人
Android工程师 (MJ000137),上海仙途智能科技有限公司,1.5-2.2万,上海-闵行区,本科,在校生/应届生,01-28发布,50-150人,民营,互联网/电子商务,,工作职责：1.负责Android端开发框架的搭建及维护升级；2.负责Android终端应用软件和组件开发工作；3.负责自动驾驶人机交互的前后端开发，包括自动驾驶可视化、交互界面以及流程等开发。岗位要求：1.计算机相关专业，1年以上Android开发经验；2.有扎实的Java语言基础，熟悉面向对象化编程思想和设计模式；3.熟悉Android系统，熟悉Android软件的开发、测试流程，熟悉Android开发工具和测试工具的使用；4.熟悉Android编译流程，了解编译相关配置原理等技术者优先；5.有优秀的优化、调试和解决问题的能力，逻辑思维清晰严谨。,民营  |  50-150人
Android驱动工程师,深圳东创技术股份有限公司东莞分公司,1.5-2.5万,深圳-宝安区,大专,在校生/应届生,01-29发布,1000-5000人,民营,原材料和加工,,岗位要求：1、大专及以上学历，电子或计算机相关专业；2、良好的沟通能力、团队精神、快速学习的能力；3、有一定的硬件基础，能够很好的理解硬件电路原理和芯片手册；4、熟悉Linux内核，拥有三年以上Qualcomm或MTK平台手机Android驱动开发经验；5、有高通平台camera驱动开发经验者优先，有系统稳定性、功耗、性能等优化经验者优先；岗位职责：1、负责Android常规外设驱动调试（LCM、TP、Camera、Gsensor、Msensor、电源管理等外设）2、解决项目中驱动相关bug3、负责Android下新功能模块的驱动调试工作4、有良好的团队协作精神和责任心，能够承受工作压力。5、熟悉linux驱动开发，有高通QM215/SDM450/SDM660/SM6115/SM6125等平台经验优先,民营  |  1000-5000人
Android Game 优化工程师,三星电子（中国）研发中心,9千-1.3万·13薪,南京-雨花台区,本科,在校生/应届生,01-26发布,500-1000人,外资（非欧美）,计算机软件,,"工作职责1.Android游戏体验优化，包括性能和功耗等2.Android游戏OpenGL/vulkan版本优化3.Android游戏引擎优化4.Androidframeworksdk开发和维护任职要求：1.本科及以上学历，计算机或图形学相关专业优先。2.熟悉移动端GPU的架构及渲染流程3.熟悉OpenGL/Vulkan,有GraphicAPI使用经验4.熟悉Unity/Unreal游戏引擎5.熟练掌握Java,C/C++语言6.具备良好的沟通能力7.有Graphic经验，移动端游戏性能优化等相关经验优先★请应聘人在应聘全过程中注意不要泄漏目前在职公司的商业秘密。★请确认您投递的简历不包括目前在职公司的商业秘密。",外资（非欧美）  |  500-1000人
嵌入式软件工程师（应届生）,深圳市昊唐科技有限公司,12-18万/年,深圳-南山区,本科,在校生/应届生,12-26发布,150-500人,民营,汽车,,岗位职责：1、在高级软件工程师的带领下完成应用层模块的开发工作；2、配合高级软件工程师进行模块的底层BSP及驱动开发、调试、维护；3、负责开发模块内容的单元测试和集成测试；4、编写功能说明文档，方案设计文档；5、对客户提供必要的技术支持与服务保障；任职资格：1、计算机、电子、通信等相关专业，1年以上工作经验或者优秀应届毕业生。2、熟练掌握C/C＋＋编程技术和环境，熟悉Linux操作系统和命令者优先；3、有良好的编程习惯和整理文档的习惯；4、具有良好的学习能力、沟通能力及团队协作精神，能承受一定工作压力。5、有OpenCV、Halcon、Visionpro、NIVision等视觉编程经验者优先。待遇与福利1、23天工作制，享受国家规定的法定节假日（带薪年假、婚假、产假、）；2、入职即提供社会保险；3、享有超过10天的春节假期；4、35%的当年利润作为全体员工年终奖金包。前途与未来1、热忱期待有志于从事软件开发为职业方向的优秀毕业生的加入，公司能提供充分的术指导和实践机会、快速的晋升通道，是优秀毕业生的快速成长的理想选择。2、本公司为初创企业由在车载电子行业资深人士创立，以自有的算法为基础聚焦于车载视觉产品的开发。同时推行全员持股计划，让每个员工都是老板都可以分享自己的工作业绩。,民营  |  150-500人
上位机工程师,上海何因生物科技有限公司,7千-1.3万·13薪,上海-松江区,本科,在校生/应届生,01-16发布,少于50人,民营,制药/生物工程,,上海何因生物科技有限公司，位于上海松江区。公司聚焦基因检测中上游NGS细分领域。自主研发了探针设计算法、探针制备技术、快速杂交模式、多重PCR引物算法等技术，建立了靶向基因捕获技术能力，提供NGS建库、NGS靶向探针、配套NGS实验仪器试剂解决方案。岗位部门：仪器研发部人员：2名职位描述工作内容：公司产品的软件改善和开发，和下位机工程师（嵌入式仪器操作界面改善和开发），协同进行上层界面的软件设计和开发职位要求：1.大专及其以上学历，电子信息、计算机、软件通信工程等相关专业，开发经验。2，该岗位是是协同硬件工程师，对上位机软件（基于安卓）设计和开发。3.需要了解安卓软件开发。熟悉Java语言；2.Objective-C；3.Swift语言；4.C++语言；5.Ing语言；6.PHP语言。5能阅读英文文档，较强动手能力具有团队合作意识。6.良好的职业操守，能承受一定的压力，逻辑思维能力强，数据处理能力强应届生可以提供宿舍。所属项目：生命科学关仪器自动化的研发和测试。工作地址：上海松江区薪资待遇：1、基本工资+交通补贴+住房补贴+年终奖；2、五险一金；节假日福利、生日会、季度聚会、年度旅游；3、带薪休假：员工可享受双休，带薪年假等假期,民营  |  少于50人
Android开发工程师（会跨平台优先）,武汉智群企业管理咨询有限公司,5千-1万,,,,01-07发布,少于50人,民营,计算机软件,,,民营  |  少于50人
