职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
数据分析师,成都华西海圻医药科技有限公司,5-7千,成都-双流区,本科,在校生/应届生,01-30发布,50-150人,民营,制药/生物工程,,,民营  |  500-1000人
数据分析员,众树（深圳）智慧能源有限公司,6-8千,广州-越秀区,本科,在校生/应届生,01-30发布,50-150人,民营,新能源,,【岗位职责】：1、核对、分析公司电力交易数据及电力市场结构，使用Excel、Python、SPSS等工具建立分析模型；2、输出交易分析报告（中长期、现货价格预测)，参与交易策略的制定；3、复盘分析电力交易操作中存在的问题并及时反馈。注：本年度主要为学习培养阶段，辅助领导及同事完成用户管理工作。【任职要求】1、统招本科及以上学历，电力电气、经济学、运筹学、计算机、数学、统计、金融等相关专业，具备较强的学习能力、表达能力以及良好的沟通协调能力，具有敏锐的市场洞察力和文字表达能力；3、熟练使用Excel，精通运用数据分析软件SPSS，可使用Python等语言完成数据爬取，可实现快速搭建数学模型；4、工作细致严谨，逻辑清晰，对挑战性问题充满热情，积极主动。【公司福利】经公司评估通过数据分析技能考核后，参与电力交易、享受交易部门高额提成！！！1、入职及购买五险，各种节日统一福利；2、超甲级办公楼上班，标准化管理，良好的晋升通道；3、工作时间：五天八小时，周末双休，公司环境nice.；4、年终奖、带薪年假,民营  |  50-150人
实习生（数据分析岗）,上海麻豆智行企业发展有限公司,3-5千,上海-长宁区,本科,在校生/应届生,01-30发布,5000-10000人,已上市,新能源,,工作内容：1、负责公司各项数据的获取、收集、整理、统计分析、展示、各项数据报表的制作与汇报；2、其他领导交代的工作；任职要求：1、2022年实习生，实习后留用部门：数据中心，资产管理部；2、统计学、经济学、数学等专业，熟悉office软件，有良好的沟通能力；3、积极主动，有良好的敬业精神；,民营  |  50-150人
数据分析,浙江联运环境工程股份有限公司,6-8千,杭州-余杭区,本科,在校生/应届生,01-30发布,10000人以上,外资（欧美）,环保,,岗位职责：1、负责核心指标整体分析，未达成的指标原因下探分析，将数据转化成业务语言，输出给后台的内容需具体、明晰；2、负责人效、价格、营销等运营指标分析，输出专项分析报告，为商业决策、产品优化提供信息和数据支持；3、能够持续动态的挖掘业务数据，发现风险点和和提升的空间，以数据阈值为支撑点分析业务中的异常；4、具有较强的数据敏锐度，快速熟悉业务，能够从数据中发现问题并提出解决方案；岗位要求：1、接收22或23年优秀毕业生，数据分析相关专业毕业；2、在校期间表现优异，担任过班干部、社团干部等优先考虑；3、做事认真仔细、积极主动、责任心强。,已上市  |  5000-10000人
数据分析实习生(J15449),广州神州数码有限公司,200元/天,广州-黄埔区,本科,在校生/应届生,01-30发布,10000人以上,民营,计算机服务(系统、数据服务、维修),,工作职责:1、对海量业务数据进行导入并诊断、汇总、分析、呈现BI分析报告，从数据中挖掘和整理客户行为特征，满足建模研究的需要；2、分析业务问题，通过应用统计学的相关理论、数据挖掘模型、机器学习方法建立数据模型，为用户的业务发展、产品策略、市场活动、风险管理等提供决策支持；3、能够按照项目经理要求完成项目实施。任职资格:1、本科及以上在校生，数学、统计、经济学、商业分析、计算机等相关专业；2、实习期不少于3个月，实习期间每周出勤不少于4天；3、掌握回归、时间序列、决策树等数据挖掘常用算法和基本理论；4、具有良好的逻辑思维、学习能力和数据敏感度；5、善于团队合作，具备良好的沟通表达能力和理解能力6、具备Python、SAS、SQL、powerBI、帆软等数据分析及可视化软件使用经验者优先；7、校内外参与数据分析建模相关项目或者大赛获奖者优先。,外资（欧美）  |  10000人以上
数据分析实习生,亚信科技OBC,3千及以下,西安-雁塔区,本科,在校生/应届生,01-30发布,5000-10000人,民营,计算机软件,,专业要求：计算机、统计学等相关专业职责描述：1、负责数据应用支撑，实时搜集、更新、汇总数据，并形成常态化通报；2、根据已有指标体系，通过监控分析及时发现业务数据问题；3、协助撰写数据分析报告。任职要求：1、本科学历及以上，2021年7月以后毕业，计算机、统计、数学等相关专业优先，能保证一周五天的正常工作时间；2、学习、适应能力强，具备逻辑思维、分析能力，对数据敏感，熟练使用常规办公软件（Excel、word、PPT）等；3、熟练掌握excel，常规函数（sum、vlookup等）、数据透视表、图表制作等；4.了解mySQL/SQLserver等大数据平台的使用方法加分,民营  |  10000人以上
2023届英才-DHR项目管理及数据分析(J15530),神州数码（中国）有限公司,1-1.6万,北京-海淀区,本科,在校生/应届生,01-30发布,1000-5000人,国企,计算机软件,,工作职责:1、协助HR数字化项目实施，参与项目质量策划，保证项目目标达成。包括需求调研、分析，初步产品设计，方案确认，开发协调，组织引导测试验收，协助进行上线相关事宜。2、负责执行过程和产出物的审计，负责推进组织及过程跟进。协助项目经理识别项目风险和问题，跟踪应对进展。3、HR可视化系统建设及运营：数据对接、清洗及测试、内容设计、日常管理及维护、培训及推广等。4、数据建模及分析报告输出，结合公司HR管理特点，协助实现HR指标、标签体系的建设，通过建模实现风险预警及业务预测等功能。5、数据治理实践及方法论的提炼、总结。任职资格:1、本科以上学历，计算机、软件工程、统计学、数学等相关专业优先，有HR工作背景更佳。2、有良好的逻辑思维能力，有一定的数据敏感性，了解数据分析方法。3、有较强的学习能力，具备良好的沟通能力，计划和执行力，团队合作能力。4、对数据治理有一定了解，会完成简单的数据清洗等数据处理工作。,民营  |  5000-10000人
数据分析实习生（上海）,上海华讯网络系统有限公司,3-4.5千,上海-长宁区,本科,在校生/应届生,01-30发布,10000人以上,民营,计算机服务(系统、数据服务、维修),,工作内容：－从客户业务场景和数据使用场景出发，引导、协助客户梳理数据应用需求，指导客户完成多维度指标场景搭建；－协助客户完成数据采集方案、数据质量校验、系统配置等工作，为客户提供贴合业务场景的产品应用价值与使用方法培训。专业能力要求：－大数据、物联网或计算机软件等相关专业本科及以上学历，应届在读学生，英语良好；－具备较强的独立工作能力，善于解决问题，有团队合作精神，有责任心；一周3-5个工作日；－对大数据应用场景有一定认识，有数据仓库、数据挖掘、用户画像等方面的经验者优先；－熟悉Linux操作系统和SQL；有Splunk/ELK等大数据分析软件使用经验者优先；－持有RHCE证书者优先；了解Python/LinuxShell优先。,国企  |  1000-5000人
23届三福储干-商品数据分析(MJ000034),三福服饰有限公司,5-7千,广州-白云区,本科,在校生/应届生,01-30发布,10000人以上,民营,服装/纺织/皮革,,一、工作职责1、负责店铺的商品进、销、存数据分析，对商品结构进行调整；2、根据销售的完成情况，合理制定和调整货品计划；3、按时完成调货计划，促使商品快速周转；4、撰写商品经营数据分析方案。二、任职要求1、本科及以上学历，数学、统计学、市场营销、信息与计算科学或相关专业优先；2、对数据敏感，具有一定的数据分析能力，有较好的逻辑能力；3、性格开朗，具有一定的抗压能力。三、工作地点可选广州、义乌四、晋升发展在三福，你无需担心会碌碌无为，有三福零售商学院会为你们的职业保驾护航！从入职开始，三福零售商学院就为你量身打造FUN课程、FUN技能、FUN梦想，通过个人努力+完善的培养体系+认证/晋升方式，帮你迅速提升专业技能，打造更好的自己。商学院针对不同的岗位提供专属专业的课程培训和强大的内外讲师团队，一切都只为你带来最实用、最新鲜的职场鸡汤。同时我们有职业发展多样化的路径，成为你理想中的专家或高级管理者。商品线：专项技能学习→专员级→主管级→经理级→总监级运营线：专项技能学习→商品主管→店长→区域经理→零售总监→大区总经理职能线：基础岗位学习→专员级→主管级→经理级→总监级五、福利待遇【工资保障】薪资：入职转正后年收入6w-8w，还有完善的年度调薪机制、住房补贴及通讯补贴。奖金：根据员工的年度绩效等级，提供不同的年终奖金，优秀员工奖金更丰厚。【社会保障】社会保险：三福为员工缴纳养老、医疗、工伤、失业、生育保险+住房公积金+关爱生命基金。【生活平衡】带薪假期：如婚假、产假、陪产假等。温馨宿舍：免费提供温馨的集体宿舍。休闲旅游：业绩突出者有机会获得国外大旅游。节日福利：发放节日费或等价物品。其他福利：门店优惠券、部门活动、团体活动等。【培训提升】零售商学院：完善的培训机制为广大学员提供一个良好的学习及晋升平台。【健康保障】提供年度健康体检。,民营  |  10000人以上
数据分析实习生,亚信科技OBC,3千及以下,西安-雁塔区,本科,在校生/应届生,01-30发布,5000-10000人,民营,计算机软件,,专业要求：计算机、统计学等相关专业职责描述：1、负责数据应用支撑，实时搜集、更新、汇总数据，并形成常态化通报；2、根据已有指标体系，通过监控分析及时发现业务数据问题；3、协助撰写数据分析报告。任职要求：1、本科学历及以上，2021年7月以后毕业，计算机、统计、数学等相关专业优先，能保证一周五天的正常工作时间；2、学习、适应能力强，具备逻辑思维、分析能力，对数据敏感，熟练使用常规办公软件（Excel、word、PPT）等；3、熟练掌握excel，常规函数（sum、vlookup等）、数据透视表、图表制作等；4.了解mySQL/SQLserver等大数据平台的使用方法加分,民营  |  10000人以上
