职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,行业类型,平均薪酬,工资级别
经济数据分析,北京蓝百商贸有限公司,9千-1.5万,石家庄,2,1,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",互联网/电子商务,,民营  |  50-150人,二线,,9000-15000,9000,15000,经济,12000,三级
IBDP Economics Teacher 经济学教师,苏州国裕外语学校,1.5-3万,苏州·相城区,3,3,"经济学教师
节日福利
五险一金
免费班车
专业培训",教育/培训/院校,,民营  |  500-1000人,新一线,,15000-30000,15000,30000,经济,22500,二级
经济数据分析,北京蓝百商贸有限公司,9千-1.5万,青岛,2,1,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",互联网/电子商务,,民营  |  50-150人,新一线,,9000-15000,9000,15000,经济,12000,三级
宏观经济助理研究员,北京福盛德信息咨询有限公司,1-1.5万,北京·通州区,4,2,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
五险一金
绩效奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,10000-15000,10000,15000,经济,12500,二级
经济数据分析,北京蓝百商贸有限公司,9千-1.5万,天津·河西区,2,1,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",互联网/电子商务,,民营  |  50-150人,新一线,,9000-15000,9000,15000,经济,12000,三级
数字经济与产业研究员[重庆南岸],重庆信息通信研究院,6-8千,重庆·南岸区,3,0,"绩效奖金
专业培训
补充医疗保险",通信/电信/网络设备,,事业单位  |  150-500人,新一线,,6000-8000,6000,8000,经济,7000,四级
项目经济分析师,陕西博源智融信息咨询有限公司,5-8千,西安,3,2,"经济分析师
投资顾问
项目经济分析
绩效奖金
年终奖金
社会保险",专业服务(咨询、人力资源、财会),,民营  |  少于50人,新一线,,5000-8000,5000,8000,经济,6500,四级
经济运行分析及统计岗,成都金控人力资源管理有限公司,5-6千,成都·高新区,3,3,"数据分析统计
经济运行
节日福利
五险一金
年终奖金
周末双休
朝九晚五",专业服务(咨询、人力资源、财会),,国企  |  1000-5000人,新一线,,5000-6000,5000,6000,经济,5500,四级
数字经济高级研究员[重庆南岸],重庆信息通信研究院,1.2-1.7万,重庆·南岸区,4,1,"绩效奖金
专业培训
补充医疗保险",通信/电信/网络设备,,事业单位  |  150-500人,新一线,,12000-17000,12000,17000,经济,14500,二级
研究所-金融研究部-宏观经济研究岗G00712,中信期货有限公司,1.5-3万,上海,4,2,"基金
期货
证券
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",金融/投资/证券,,国企  |  1000-5000人,一线,,15000-30000,15000,30000,经济,22500,二级
经济考核岗（某国企）,前锦网络信息技术（上海）有限公司XACP直通车项目组,8千-1万,西安,4,2,"统计分析
生产经营
经营考核
统计学
统计报表
节日福利
专业培训
五险一金",互联网/电子商务,,合资  |  150-500人,新一线,,8000-10000,8000,10000,经济,9000,三级
宏观经济分析咨询顾问,湖北永业行评估咨询有限公司,1-1.5万,武汉·武昌区,4,2,"五险一金
餐饮补贴
定期体检
年终奖金
带薪年假
两周春节假期",专业服务(咨询、人力资源、财会),,民营  |  1000-5000人,新一线,,10000-15000,10000,15000,经济,12500,二级
研究所-金融研究部-宏观经济研究岗G00712,中信期货有限公司,1.5-3万,深圳,4,2,"基金
期货
证券
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",金融/投资/证券,,国企  |  1000-5000人,一线,,15000-30000,15000,30000,经济,22500,二级
评估咨询师（技术经济）,中交武汉港湾工程设计研究院有限公司,1.5-2万,武汉·汉阳区,3,3,"规划
咨询
评估
经济
技术
餐饮补贴
专业培训
年终奖金
通讯补贴
绩效奖金
定期体检
五险一金
交通补贴
补充医疗保险
补充公积金",建筑/建材/工程,,国企  |  150-500人,新一线,,15000-20000,15000,20000,经济,17500,二级
金融（经济）研究员,王牌智库（深圳）有限公司,8千-1.5万,深圳·福田区,3,0,"经济分析
政策研究
绩效奖金
专业培训
五险一金",专业服务(咨询、人力资源、财会),,民营  |  50-150人,一线,,8000-15000,8000,15000,经济,11500,三级
研究所-金融研究部-宏观经济研究岗G00712,中信期货有限公司,1.5-3万,北京,4,2,"基金
期货
证券
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利",金融/投资/证券,,国企  |  1000-5000人,一线,,15000-30000,15000,30000,经济,22500,二级
AP/Alevel经济学老师,成都思拓教育咨询有限公司,8千-1万,成都·高新区,3,3,"经济学
AP
ALEVEL
教师
老师
绩效奖金
五险一金
员工旅游
带薪年假
节日福利
加班补助
高温补贴",教育/培训/院校,,民营  |  少于50人,新一线,,8000-10000,8000,10000,经济,9000,三级
投资估算与财务/经济分析咨询顾问,同炎数智科技（重庆）有限公司昆明分公司,6千-1万,昆明·盘龙区,3,3,"投资估算
财务分析
经济分析
财务经济测算
投资测算模型
土地成本组价
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期团建
年度体检
周末双休",建筑/建材/工程,,合资  |  150-500人,二线,,6000-10000,6000,10000,经济,8000,四级
