职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,行业类型,平均薪酬,工资级别
供应链&amp;商务助理,北京雷迪东方科技发展有限公司,4-6千,南京-建邺区,2,1,五险一金,机械/设备/重工,一、岗位职责：1.协助部门，开拓国内外优势产品上游，进行商务合作谈判；2.定期整理上游供应商资料，管理上游供应商档案库，维系上游关系，按月度同上游汇报跟进项目；3.根据项目需求，同上游供应商签订合同、处理发票和发货所具备的资料；4.定期按照合同要求和公司财务制度，执行采购付款；5.联系报关行，国际物流公司，协调进口货物的清关与报关；6.组织部门内部会议召开，负责撰写会议记录；7.完成上级领导安排的工作。二、职位要求：1.大专以上学历，英语CET4以上；2.有商务，渠道，供应链，国际贸易等相关工作经验2年以上；3.有一定的沟通协调能力，学习能力强；4.为人积极乐观，开朗幽默。,民营  |  50-150人,新一线,,4000-6000,4000,6000,供应链,5000,五级
珠海市供销供应链有限公司订单文员,珠海市百分百商业有限公司,5-6千,珠海-香洲区,2,1,五险一金,批发/零售,珠海市供销供应链有限公司成立于2022年4月，注册资本金人民币1000万元，珠海子平台位于珠海市香洲区谷都大道农产品物流园园区内，毗邻各大农贸批发市场，占地1567平方米。珠海子平台配备七个功能区，包括有食品检测中心、农产品展示区、冷藏冷冻仓储、标品干货仓、蔬菜分拣区、蔬菜净菜加工、肉类切割包装区。配有各类生鲜加工、分拣、仓储设备以及检测实验室和配送车辆，已完全具备经营生鲜、蔬果、肉类、豆制品、冻品、粮油、调料等产品的一站式食材配送能力。职位要求：1、协助订单的处理，订单确认、指令传达、跟踪落实等；2、订单报价录入系统；3、验收回单登记及统计和订单归档；4、负责订单相关信息的整理；5、具有良好的沟通协调及表达能力6、强烈的敬业精神与责任感，工作原则性强，独立工作和承受压力的能力；7、服从领导工作安排。,国企  |  50-150人,二线,,5000-6000,5000,6000,供应链,5500,四级
供应链总监,广州唐硕科技有限公司,2-3.5万,广州-黄埔区,3,4,五险一金,计算机软件,岗位职责：1、主持整个供应链的部门业务工作，对内负责部门采购、仓储、物流各业务团队的建立及决策；2、针对全球市场进行市场和用户洞察、技术分析、竞品调研以及供应链分析。3、协作设计团队、研发团队完成产品定义和规划，组织产品可行性分析及设计，进行产品定义、立项。4、参与产品开发团队的项目流程，确保产品开发在体验、功能、质量、时间和成本等方面达到目标。5、支持销售团队、营销团队、客户体验服务团队，完成新品上市的推动工作，确保产品销售目标达成。6、负责产品全生命周期管理，制定产品更新迭代计划，驱动产品升级、替换、退市等生命周期行为。7、通过成本分析、供应商采购谈判、采购策略等多种方式管理并降低供应链成本；8、对产品品质进行监督及监控，确保其符合国内、国际标准；任职要求：1.本科及以上学历，5年以上产品研发和供应链经验。2.熟悉产品结构分析，产品定义，产品供应链及材料，有完整的产品定义与研发经验。3.优秀的商业洞察和判断能力、逻辑和数据分析能力、统筹资源能力。4.良好的团队协作能力，能够协同市场、销售、客服等部门，为其提供必要的产品支持。5、精通采购原理及成本控制，熟悉产品设计、生产过程、制造工艺、质量标准、品控流程6、甄选及评估国际和国内各供应商的资质及信用能力，确定最终合格供应商，并带领团队进行供应商管理工作；,民营  |  少于50人,一线,,20000-35000,20000,35000,供应链,27500,一级
供应链采购经理,广州礼想文化活动策划有限公司,8千-1.5万,广州-海珠区,2,3,交通补贴,批发/零售,"1.有一定的产品开发和市场调研经验,根据公司发展战略与年度经营计划，组织制定并实施供应链战略规划；2.根据公司发展方向、运营人员需求，通过数据分析评估产品的可行性，寻找新品；根据产品定位，建立并优化供应链开发、评审与管理、监控体系；3.负责对供应商资质进行严谨的审核，确认是否符合平台上架资质；结合产品业务形态，规划并建立全渠道供应链系统信息化体系库；4.保持与运营人员实时沟通，协助完成产品上架的前期工作；负责市场调研活动，收集、统计、分析各项市场销售数据及竞品、消费者等市场信息，掌握市场动态，研判市场趋势，为产品定位提供决策依据；5.根据业务发展阶段及目标要求，负责内部员工梯队建设，提升员工技能与工作效率，优化团队管理，采取有效的办法完成绩效指标；5.？？完成上级领导交办的其他任务。岗位要求：1.？？大专及以上学历，物流与供应链管理等相关专业优先。2、10年以上采购工作经验，包含5年以上团队管理经验。3、较强的商务谈判能力、专业技术沟通能力、跨部门团队协作能力4、具高度责任感、以结果为导向的专业素养和执行力，良好的职业操守和学习能力。",民营  |  少于50人,一线,,8000-15000,8000,15000,供应链,11500,三级
供应链产品经理,上海比孚信息科技有限公司,1.5-3万,上海,3,4,五险一金,计算机软件,职责描述：1、负责项目的需求分析工作，完成需求分析文档2、负责与客户沟通需求问题，作为专业人员引导客户3、负责指导项目组技术人员的业务分析工作4、按照客户需要提供其他需求类文档，并能够详细划分功能点5、负责用项目管理工具进行需求拆分和功能实现的跟踪6、能够完成领导交代的其他任务岗位要求：1、2年以上项目开发实施经验，至少做过2个以上项目的需求和管理工作2、思路敏捷，表达清晰，能够快速掌握用户的思路3、良好的产品思维和文档能力，能够用PPT编写产品解决方案，齐全的项目文档管理4、具备实际项目开发经验，能够指导开发人员工作的优先考虑5、有供应链软件项目（计划、采购、仓储、生产、财务）一个或多个环节实施经验的优先考虑6、具备良好的判断分析能力，优秀的团队精神，较强的沟通协调能力，能够承受工作压力7、可以短期出差,民营  |  150-500人,一线,,15000-30000,15000,30000,供应链,22500,二级
供应链经理,深圳市维度科技有限公司,1.5-2.5万,深圳-南山区,2,4,五险一金,通信/电信/网络设备,"工作职责1.	负责事业部供应商资源管理，成本管理，供应商战略制订，优化供应链组织和流程；2.	负责项目的BOM成本管理，成本谈判和合同管理；3.	建立和健全供应商的开发、管理、维护、跟踪及评估；4.	负责商品的仓储物流体系搭建；负责商品的仓储物流体系搭建工作要求1.	大专及以上学历，电子商务、供应链类相关专业，有电子商务企业采购工作经历者优先；2.	良好的职业道德和素养，工作细致认真，责任心强，思维敏捷，具有较强的团队合作精神；3.	具备一定的供应商沟通技巧，良好的发现与处理异常情况能力；4.	目标感强、优秀的执行力、良好的组织协调和项目管理能力、优秀策划能力。",民营  |  50-150人,一线,,15000-25000,15000,25000,供应链,20000,二级
供应链管理总监,江苏中清光伏科技有限公司,2-2.5万,镇江-丹徒区,3,6,社保五险,新能源,岗位职责：1、根据公司运营战略，制定采购战略、采购组织职能规划、采购制度流程建立，制定年度工作目标、计划、预算；2、搭建完整的供应链体系，包括物控、供应商寻源及管理、采购履行、成本核价等；3、搭建完善的供应商管理体系，建立招标制度，健全供应商引入及考核标准，实施差异化的供方管理；4、根据订单计划统筹物料计划，控制安全库存，负责产品销存管理，保证物料齐套及良性周转；5、建立成本分析模型，管控供应商报价；6、统筹管理采购执行，保证物料连续，处理不良品等。岗位要求：1、统招本科及以上学历，物流管理、供应链管理、市场营销等相关专业；2、熟悉光伏行业所采用的各类电子电气原材料和结构料，10年以上供应链相关管理经验；3、熟悉采购标准及流程，具备管理经验与能力，沟通协调能力强。,民营  |  1000-5000人,三线,,20000-25000,20000,25000,供应链,22500,二级
供应链管理部经理,杭州暖芯迦电子科技有限公司,1.5-3万,杭州-余杭区,2,4,五险一金,电子技术/半导体/集成电路,岗位职责：1、全面负责公司物料管理（采购、物料台账的建立及维护）及成品管理（含成品发货）等；2、制定公司年度采购计划，并在通过审批后对实施情况进行把控；3、进行库存结构、库存量的策划与实施，提高物料周转率，减少呆料；4、建立和健全供应商的开发、维护、跟踪及评估体系，合理控制采购及运输成本并保证品质；5、提升团队能力，确保公司业务运作规范、高效。任职要求：1、5年及以上医疗器械企业供应链管理工作经验（包括采购、仓储物流）；2、对医疗器械质量管理制度熟悉，具有建立和改善采购流程等体系规定的相关要素的能力、分析解决问题能力、资源整合能力和业务推进能力；3、沟通协调能力强，擅长部门沟通、统筹规划、抗压力强。,民营  |  50-150人,新一线,,15000-30000,15000,30000,供应链,22500,二级
SAP-供应链模块顾问,江苏今世缘酒业股份有限公司,5千-1万,淮安-涟水县,3,3,SAP,快速消费品(食品、饮料、化妆品),SAP-供应链模块顾问1人岗位职责：1、专业技能方面：(1)精通供应链领域（订单、计划、物流、流通、BOM等）业务流、业务逻辑及和IT解决方案；(2)从事SAP实施工作5年以上，供应链模块精通并有1个以上的项目经验。有大型系统高并发处理的项目或产品经验；(3)优秀的业务分析、归纳、抽象能力和文档资料编写能力，娴熟的语言表达能力能够很好的规划和设计产品功能、使用流程与交互体验；(4)责任心强，勇于挑战、具备良好的逻辑思维能力，较强的团队管理和项目把控能力，擅长多业务线、跨部门综合协调工作。2、业务能力方面：（1）能够单独承担项目，独立开展工作；（2）有较强的需求分析和文档编写能力。3、其他：具有相关资格证书者优先。招聘条件：本科及以上学历，40岁以内，计算机相关专业，本科需有5年及以上大型项目工作经验，硕士需有3年及以上大型项目工作经验。薪酬待遇：1.公司提供有竞争力的薪酬待遇，综合年收入：25万元以上。2.公司将采用“笔试+面试+背景调查+体检”的选聘流程，对符合条件的应聘人员进行综合考评。3.一经录用，即与公司签订劳动合同，并约定三个月的试用期，缴纳“五险一金”和享受公司规定的各类补贴和劳保福利。报名方式：1.凡有意报名应聘者，可通过公司招聘邮件、公司官方网站、前程无忧、智联招聘、淮安人才热线等招聘网站报名。2.公司地址：江苏省淮安市涟水县高沟镇今世缘大道1号,已上市  |  1000-5000人,三线,,5000-10000,5000,10000,供应链,7500,四级
供应链开发,浙江牧高笛户外用品有限公司,7千-1万,宁波-鄞州区,2,3,谈判,批发/零售,职责：1.以最快的速度引进行业细分品类（包含但不限于：户外行业等）优质工厂/供应链资源。2.供应链维护与升级：维系与供应商的合作关系，培养配合度高的供应商，如价格谈判.交期配合.产品质量.系统支持等3.了解供应商生产流程及关键控制节点，管控供应货品质量；4.执行分析和动态管理供应链的预算和费用，善于利用行业信息及新方式降低成本；任职要求1.大专以上学历；三年以上供应链开发工作经验；具有一年及以上户外装备行业，体育产品行业经验者优先。2.以结果为导向，具备自我管理能力；3.极强的用户思维和换位思考能力；4.有成功的谈判经验与供应链资源优先,已上市  |  1000-5000人,新一线,,7000-10000,7000,10000,供应链,8500,三级
供应链计划经理,成都扬名食品有限公司,1-1.3万,成都-温江区,3,3,快消品行业,快速消费品(食品、饮料、化妆品),工作内容：一、根据公司总的销售战略和销售目标，负责统筹管理和制定营销中心和生产中心（多工厂）的销售计划、生产计划和物料计划，确保产销平衡，***限度满足订单需求。二、根据公司制定的年度销售计划，分解月度计划、周计划和日计划，并平衡销售需求和产能，以及处理特殊情况等。三、负责梳理公司全渠道订单流程，并统筹收集、分析和处理，提升订单准确率。四、负责组织召开产销协同会，协调采购、生产、仓储、物流、销售各环节，使订单与产能相匹配。五、负责仓储物流的管理。六、负责订单、计划工作的信息化建设。七、完成交办的其它重要项目性工作。任职资格：一、本科及以上学历。二、快消品行业产销计划管理岗3-5年工作经验。三、数据敏感度较高，擅长数据分析、资源整合，沟通协调能力较强。,民营  |  500-1000人,新一线,,10000-13000,10000,13000,供应链,11500,三级
项目工程师（供应链）,上海鸣志电器股份有限公司,8千-1.1万·14薪,上海,3,1,识别项目风险,仪器仪表/工业自动化,工作职责描述：1、负责公司项目在供应链端的全生命周期管理，识别项目风险，推动项目问题解决，监控项目达成情况2、负责协调供应链资源完成试产前的所有工作，收集分析和支持响应各业务部门对采购和物料供应的需求，解决资源/进度/质量问题，确保项目按时交付3、负责批量项目的降本及再优化管理，协调供应链资源，完成优化的指标4、组织项目小组会议，里程碑评审会议。定期汇报项目状态，包括项目成本、进度等情况5、负责制定项目的管理计划（甘特图表），数据化管理相关人员的进度情况6、完成领导交代的其他任务任职资格要求：（包括工作经历、工作技能、工作年限、外语等要求）：1、本科及以上学历，理工科电子、电气、自动化、机械等专业优先2、1年以上相关工作经验，有项目管理、采购计划管理等同类型经验3、具有良好的语言表达和逻辑思维能力，较强的沟通能力、协调能力、责任心和服务意识4、熟练掌握MSOffice软件（尤其是Project），SAP等ERP管理软件，有数据分析能力5、英语CET4以上，有英文读写要求,已上市  |  1000-5000人,一线,14,8000-11000,8000,11000,供应链,9500,三级
供应链专员,普瑞泰格（南京）安全设备有限公司,6-8千,南京-江宁区,2,3,五险一金,机械/设备/重工,1.物料系统操作–仓库收货、发货、库存管理及相关系统操作。2.进出口文件跟踪管理，物流和仓库文件的整理归档。3.日常内部沟通–与公司不同职能部门相互沟通合作。4.与外部第三方供应商沟通–与仓库、车队等物流供应商沟通合作。5.包括但不限于物流工作–支持整个供应链部门的业务操作。岗位要求：-有制造业ERP经验者优先-大专学历以上，英语四级优先-良好的沟通能力-基本的办公软件技能,外资（欧美）  |  50-150人,新一线,,6000-8000,6000,8000,供应链,7000,四级
供应链高级经理,湖北融通高科先进材料集团股份有限公司,1.1-1.6万,内江,3,4,五险一金,新能源,"岗位职责：1.根据公司战略规划，制定部门工作规划、部门管理制度和流程，根据公司目标和部门工作规划，制定年度部门目标和预算，确保公司和部门年度目标的达成；2.优化供应链管理流程，建立高效、规范的供应链管理运作体系，确保供给链系统成本达到最低。建立和发展柔性的计划体系，通过销售计划编制生产计划，材料采购计划，为公司的业务需求提供交付能力的保障，提升交付及时率及库存周转率；3.监控制造过程的运营数据，有效分析投入产出比、设备稼动率、库存周转率、生产计划的达成率等数据指标，优化运营方式，消除不增值作业，降低生产成本；跟踪监督不合格品及呆滞物料的处理进展；4.根据战略采购开发的供应商资源，组织签订采购订单合同，监督到货及安装过程，确保物资的按时交付和项目的顺利投产；5.通过建立和发展执行采购体系，为公司的生产需求提供高品质和低成本的物料供给。通过建立和制定仓库管理体系，规范仓储操作标准，定期组织库存盘点，确保账物数量的一致性；6.建立和实施第三方物流公司运输管理，以满足客户的快速响应需求；监控交付运送质量，降低运送过程中的不良品产生。优化运输路线，降低运输成本；7.通过建立和制定客户-外协仓VMI管理流程，制定客户退货机制，规范接收不合格产品退回的频次和方式，规范处理标准，确保客户退回产品的账物相符。优化存储面积，提高仓库面积利用率；8.通过建立和发展适应自动化设备行业的仓储管理系统，实行FIFO管理等先进的管理方法，提高物料流转效率，降低库存周转率，满足客户交付需求；9.对团队进行积极有效的激励和赋能，制定部门人员的培训、发展计划，提高整体技能水平，营造良好的工作氛围。负责优化团队人力资源配置和部门组织架构设置，明确各岗位工作职责，组织选拔优秀员工晋升工作确保部门工作正常、稳定、有序地运行。任职资格：1.本科及以上学历，采购、物流、营销、化工等专业；2.6年以上大型企业制造物控计划管理、仓储物流、采购管理经验，具有流程标准化、流程标准执行和优化的工作经验；同等职级岗位工作背景5年以上；3.具备较强的组织协调和沟通能力，熟悉Office,ERP,MES,WES等操作。",民营  |  1000-5000人,四线,,11000-16000,11000,16000,供应链,13500,二级
玩具供应链主管,汕头市迪华贸易有限公司,6千-1万,汕头,2,4,定期体检,贸易/进出口,岗位职责：1.负责OEM商品实现环节的供应链甄选及ODM选品工作；2.搭建供应商和商品管理体系，以供应链视角实现分层管理，并提供差异化的供应解决方案；3.评估和考核供应商供应能力；4.结合自有资源，优化供应商供应链路，实现供应链路成本优化；5.基于商品分层和生命周期管理，推动尾部商品汰换和头部商品的供应稳定性；6.通过产品和数据赋能，实现供应能力到供应计划的联动，协助商品团队完善补货参数。任职要求：1.5年以上玩具行业经验；2.具备玩具行业产品开发、供应链管理、市场销售任一一项工作经验；3.熟悉国内玩具行业的生产厂商。,民营  |  150-500人,三线,,6000-10000,6000,10000,供应链,8000,四级
供应链经理/总监,祥鲜国际贸易（上海）有限公司,1.5-2万,上海-浦东新区,2,5,五险一金,贸易/进出口,岗位职责：1、根据企业经营计划及战略发展规划，负责供应链、仓储团队的统筹管理工作；2、设计、推行修订仓储管理制度，规范作业流程，优化内部流程、并确保其有效实施;根据仓库管理制度，对库存做到帐目清晰、定期进行仓库盘点，确保库存数据的正确性；3、参与制定企业全面质量管理制度体系，监督仓储质量体系实施情况；4、负责冷链物流供应商建设和日常管理、冷链仓储管理体系建设及完善、负责冷链仓储的规划管理和资源整合；5、根据业务需求制定合理、畅通、便捷、有效的配送方案；6、与第三方物流公司沟通制定合理的配送路线，降低配送成本，提高货物流转率；对第三方物流公司进行考核评估，监督并促使目标的达成；7、监督仓库各类物资的储存情况，制做各类库存报表提供相关部门，优化库存结构，降低库存，提高公司货物使用效率；8、监督管理仓储收、发、存等日常作业；定期组织盘点，对盘盈亏等情况查明原因及责任人，提出处理意见及预防方针；9、负责部门团队建设，宣传公司企业文化和价值观，增强团队凝聚力；10、根据公司绩效管理制度，制定部门内部绩效考核方案，评估审核绩效考核结果；11、负责协调与其他部门的合作，完成上级领导交办的其他工作；12、负责新项目的推进。岗位要求：1、具有8年以上仓储物流管理经验，有冷库管理经验优先；2、年龄在35到45岁之间，抗压能力强；3、熟练运用ERP、WMS系统和相关办公软件；4、具备良好的沟通，协调能力，有很强的团队意识，能带领团队。,民营  |  50-150人,一线,,15000-20000,15000,20000,供应链,17500,二级
供应链专员,邦奇智能科技（上海）股份有限公司,8千-1.6万,深圳-罗湖区,2,2,邦奇智能科技（上海）股份有限公司,电子技术/半导体/集成电路,岗位职责：1、负责对接供应商，配合实施采购等工作；2、负责采购质量，定期、不定期巡查，保证产品质量；3、负责供应链日常事务，与客户、供应商对接；4、负责配合其他部门工作，确保业务顺利开展；任职资格：1、专科及以上学历，1-3年相关工作经验；2、有灯具、智能家居、智能化产品等行业供应链经验优先；3、有一定的采购、质量、商务基础知识；4、责任心强、原则性强、配合度高。,合资  |  150-500人,一线,,8000-16000,8000,16000,供应链,12000,三级
供应链总监,常州瑞德丰精密技术有限公司东莞分公司,2.5-4万,东莞-桥头镇,3,4,五险一金,汽车零配件,1.本科及以上学历，38-45岁；2.千人以上规范型制造业五年以上供应链总监工作经验，有汽车零部件行业经验者优先；3.对物料的规划与计划思路清晰，精通战略采购策略、供应商管理、采购运作流程；4.成本意识强，具备优秀的商务谈判及沟通技巧；5.较强的问题分析及改善能力，具备良好的经营管理理念、战略前瞻性思维。,民营  |  1000-5000人,新一线,,25000-40000,25000,40000,供应链,32500,一级
供应链计划经理,杭州绿茶餐饮管理有限公司,1-2万·14薪,杭州-西湖区,2,3,五险一金,餐饮业,岗位职责：1.根据各战区经营目标结合历史舒珊珊，制定备货计划；2.根据备货计划，统筹拆分需求，对接相关部门，确保产品到货率；3.监控战区经营数据及库存情况，通过数据分析预测供需计划并及时调整；4.定期进行库存分析及预警，为产品调拨做出合理规划，有效控制产品周转率；5.针对不同战区，不同仓库进行补货计划的制定；6.负责指导下属的日常工作，培养下属计划能力。任职要求：1.统招专科以上学历，数学、统计、供应链等相关专业；2.5年以上工作经验，两年以上计划管理相关工作经验，擅长数据分析，对数字敏感，逻辑性及计划性强；3.有统筹协调能力，跨部门沟通能力；4.能接受全国不定期出差,民营  |  5000-10000人,新一线,14,10000-20000,10000,20000,供应链,15000,二级
供应链管培生,上海米芝莲餐饮管理有限公司,5千-1万,上海-虹口区,3,1,五险一金,餐饮业,工作职责：1、订单申请，对账，付款申请；2、供应链ERP维护；3、新供应商开发：接洽、询价、比价、签订合同；4、销售订单处理，送货协调；5、库存管理：出入库管理，盘点等。任职资格：1、本科学历；2、1年相关工作经验；3、熟悉采购流程；4、熟悉ERP系统及office办公软件；5、较强的进取心，团队精神及廉洁从业精神，工作认真，责任心强。,民营  |  1000-5000人,一线,,5000-10000,5000,10000,供应链,7500,四级
供应链采购专员（佛山）,鸿基创能科技（广州）有限公司,6-8千,佛山-南海区,2,2,采购,新能源,"1、按各部门材料需求，降低成本，缩短货期，确保材料到厂时间及时并符合质量规范；2、按各部门设备需求，降低成本，缩短货期，确保设备到厂时间及时并符合质量规范；3、确保合同以及付款审批高效且及时，缩短审批时间；4、确保采购流程符合货比三家等原则和供应链质量规范；5、负责整理相关物料或设备清关资料以及办理清关手续；6、负责简历采购台账记录。任职要求：1、大专及以上学历，贸易或管理相关专业；2、有2年以上任职技术部门的工作经验；3、了解产品的生产工艺相关知识，精通供应链管理专业知识；4、熟练使用电脑及OFFICE,ERP,PLM等办公软件；5、具有良好统筹规划能力、下属培训能力、组织协调能力、沟通能力、团队领导能力、抗压能力、判断与决策力、计划执行能力。公司福利：1、五险一金皆齐全，办公环境舒适佳。2、定期体检聚会多，公司团建少不了。3、工资高薪靠自我，提供食宿住无忧。",民营  |  150-500人,新一线,,6000-8000,6000,8000,供应链,7000,四级
业务跟单（电商供应链 ）,广东无限生活用品股份有限公司,5-8千,深圳-龙岗区,1,1,电商跟单,批发/零售,岗位职责1、按照品牌订单的录入、采购、货期跟进及发货事宜；2、负责品牌供应商往来对账、付款事宜；3、负责品牌的售后对接与协调；4、负责品牌货品的统筹及管理；5、负责货品盘点账务。任职条件1、中专及以上学历，熟悉常用办公软件，1年及以上【电商供应链业务跟单】经验者优先考虑；2、有良好的沟通协调能力，人际交往能力，谈判技巧；3、熟悉操作办公软件，有一定的数据分析基础；4、此岗位【***】。,民营  |  50-150人,一线,,5000-8000,5000,8000,供应链,6500,四级
供应链开发,中智湖北经济技术合作有限公司,6-8千,武汉,1,1,社保,专业服务(咨询、人力资源、财会),岗位职责：1、熟悉品类产品开发（多品类，多产品模式）和供应链甄别；2、负责供应链开发及供应链管理，收集供应商资料、开发样品，组织评估、审核和谈判等；3、产品（样品）拆解，负责成本分析，报价分析，降低成本；4、结合运营部门需求，开发当季、下一季度适销产品，较强的沟通协调及跨部门的协同能力；5、协同采购跟单员管理和跟进供应商的生产和交货计划，确保销售订单准时交货，解决产品上新下降、缺货断货、价格调整、以及供应商生产发货、配合情况，协调线上线下合作过程中出现的各种问题【任职资格】1、高中及以上学历，有市场营销、供应链管理、物流管理等专业优先考虑；2、1年以上相关供应商开发经验，有丰富的供应链渠道资源优先；3、具有资料管理和文件管控与制作能力。4、工作认***动，态度积极，有较强的责任心，善于沟通及谈判；,国企  |  50-150人,新一线,,6000-8000,6000,8000,供应链,7000,四级
供应链项目专员,上海韵达供应链管理有限公司,7千-1.2万·13薪,上海-青浦区,2,2,五险一金,交通/运输/物流,岗位职责：1、负责供应链业务运营数据，对销售运营数据提供支撑；2、负责跟进客户回款周期，控制进度，形成闭环;3、协助业务运营主管对接客户以及供应商；4、业务部门相关的其他事项；任职资格：1、大专以上学历，有过1年以上相关经验，物流供应链行业经验优先；2、有良好的沟通能力，性格外向，能够灵活处理问题；3、做事细心严谨，对数字敏感，抗压性强。,已上市  |  10000人以上,一线,13,7000-12000,7000,12000,供应链,9500,三级
采购/供应链经理,深圳市爱碗亭餐饮管理有限公司,1.3-1.8万,深圳-龙华区,2,4,采购,餐饮业,"需有OEM/ODM工厂资源，且在产品打造有丰富的经验；1、负责完成采购目标和计划，考察供货商的产品质量、供货能力、企业质量保证能力、企业信誉等方面；		2、根据生产部下的次月计划制作原辅包材计划量，根据计划和仓库的剩余数量作出初采购计划，再根据品种和物料的数量评估作出最终采购计划；3、分析供应商市场信息，及时收集相关信息,确定短期和长期的供应商和供应渠道。		4、负责采购合同的拟定、执行及跟进，采购物品交货期的跟踪及控制。负责与客户签订采购合同，执行采购合同订单的下发、物料验收及付款流程，履行跟进落实工作；跟踪货款支付情况及发票到位情况，及时与财务部门沟通；		5、产品质量跟踪及产品到达仓库入库情况的跟进。办理物料验收、运输入库、清点交接等手续；协助仓库和质检检验产品质量，如不合格则及时与供应商协商退换货；		6、协助有关部门妥善解决使用过程中出现的问题；		7、保管采购记录、购货合同、供应商信息（整理和登记采购合同及各类文件，记录到货时间）；		8、熟悉所负责物料的市场价格，了解相关物料的市场来源，降低采购成本，每月提交《原材料价格跟踪情况表》及市场调查报告；		9、遵循适价、适时、适量的采购原则，组织工程和品管人员对供应商进行评审和考核，并及时更新相关的《合格供应商一览表》；		10、利用评分制和预定标准衡量供应商的绩效；		11、检查供应商提供的样品，对产品进行测试；		12、采购合约与订单的起草，签发以及管理；解决与供应商在合约上产生的分歧以及支付条款问题；		13、负责并且确保采购的货物符合国家法律法规和食品安全要求。",民营  |  150-500人,一线,,13000-18000,13000,18000,供应链,15500,二级
采购经理（新能源/供应链管理）,广州聚焦网络技术有限公司,1.2-2万,广州,3,5,广州聚焦网络技术有限公司,互联网/电子商务,主要职责：1、根据公司发展战略目标及计划，参与制定年度采购供应链战略部署，完成年度采购计划的制定及监督实施；2、负责公司供应链整体运营和规划、组织建设、绩效考核等管理工作，提升采购的供应能力与效率。3、组织编制、修订和完善采购相关制度，建立健全采购流程、标准，使之规范化，并督导实施。4、完善人才培养机制，提高部门员工岗位技能专业知识，做好人才储备工作，优化岗位职能。5、构建科学合理的供应商管理评估体系，包括但不限于建立供应商数据库、供应商认证标准、考核标准，持续开发优质供应商并发掘战略供应商。6、建立并完善价格成本核算体系，监测和跟踪供应链市场，及时调整采购策略合理控制采购成本达成公司降本任务。任职资格：1、本科以上学历，国际贸易、采购及供应链管理、项目管理等相关专业；2、熟悉工贸企业采购流程，有丰富的进口贸易采购经验以及集采管理经验。3、8年以上供应链、采购工作经验，其中有大中型企业采购管理经验优先。4、通晓采购供应链管理的专业知识，具备财务管理、法律、产品特性等方面的知识。5、具备出色的沟通协调能力，合约谈判能力，计划统筹能力。6、个性沉稳细致，抗压能力强，具备良好的团队精神，优秀的品行及职业素质、良好的敬业精神及企业忠诚度。,民营  |  500-1000人,一线,,12000-20000,12000,20000,供应链,16000,二级
Supply Chain Management,言蹊人力资源管理咨询（大连）有限公司,6-6.5千,大连-高新园区,3,3,言蹊人力资源管理咨询（大连）有限公司,专业服务(咨询、人力资源、财会),"岗位需求：1.日英双语，日语一级或相当，英语具备商务邮件读写能力；2.有BPO流程经验(供应链流程经验者优先/SAP使用经验者优先)3.熟练使用excel，掌握常用函数(Pvoit,vlookup等)4.有良好的沟通能力，学习能力及团队合作精神任职要求主要工作内容：1.客户订单的确认/整理/出荷手配/返品处理2.客户订单的纳期确认回答/配送状况确认3.协助ARTeam确认关联的请求书等信息",民营  |  少于50人,二线,,6000-6500,6000,6500,供应链,6250,四级
服装供应链总监,湖北策马服装实业有限公司,1.5-3万,武汉-江汉区,3,5,员工旅游,服装/纺织/皮革,岗位职责：1、参与制定公司发展战略与年度经营计划，组织拟订并贯彻实施供应链战略规划2、提升供应链团队能力，确保规范、高效供应链业务运作；3、改造现有业务模式，培训、推行精益生产模式；4、负责根据销售情况灵活安排货物的备货及处理；5、规划、实施供应商开发和管理能力提升专项工作；6、团队管理及专业人才培养；任职资格：1、本科以上学历，八年以上服装企业供应链运营管理经验，熟悉采购、生产、技术、质量、成本等各个环节；2、具有良好的规划、组织、沟通、协调能力；3、具有采购、生产、质量、技术综合管理和运营、解决问题能力；4、良好的团队建设及管理能力；5.、会开车/户外军迷爱好者/退伍军人/狮子座/仙***座优先录用。,民营  |  50-150人,新一线,,15000-30000,15000,30000,供应链,22500,二级
供应链采购专员,广东朗润集团有限公司,5-7千,广州-天河区,2,4,采购,多元化业务集团公司,"1.完成供应链订单的全流程跟踪处理，保障产品按规定期限完成入库；2.负责相关线上和线下数据资料和报表的填写，完成文件归档；3.根据公司业务流程，完成线上平台系统的交易订单入库、出库系统操作；4.与仓库对接客户订单事宜，跟踪订单物流运输情况；5.完成上级交代的其他事宜。岗位要求：1.***大专或以上学历；2.有食品、保健品类行业经验；3.有采购或仓储物流经验；4.年龄在三十岁左右；5.较强的数据分析能力,熟练excel函数及报表分析；6.较强的语言表达能力、逻辑思维能力。7.做事认真仔细，沟通和表达能力强，善于团队协作，能够承受一定的工作压力。备注：1.目前该岗位为公司新项目星瑶科技的编制，星瑶科技以大健康管理为发展方向，是集团未来的重点工作项目；2.该岗位目前在石牌桥朗润广场上班，2023年6月将会搬迁到越秀公园附近上班。",民营  |  150-500人,一线,,5000-7000,5000,7000,供应链,6000,四级
