公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
昌龙科技（阳江）有限公司,会计员,4-5.5千,阳江,3-4年,大专,"会计
金蝶
财务软件
财务核算
会计凭证
税务
财务报表
初级会计证
包三餐
包住宿
免费班车
带薪年假
节日福利
专业培训
加班补贴",民营  |  150-500人,机械/设备/重工,阳江,4000-5500,4000,5500
深圳市天微电子股份有限公司,资产会计,4-5千,贺州,1年,大专,"五险一金
绩效奖金
年终奖金
定期体检",民营  |  150-500人,电子技术/半导体/集成电路,贺州,4000-5000,4000,5000
深圳市瑞成光学有限公司,应收会计(GM202303070001),7千-1.2万,常州·武进区,2年,本科,"sap
应收模块
五险一金
免费班车
专业培训
绩效奖金
年终奖金
股票期权
弹性工作
定期体检
餐饮补贴",民营  |  1000-5000人,电子技术/半导体/集成电路,常州,7000-12000,7000,12000
芜湖市荣联财务顾问有限公司,开票会计,3.5-7千,芜湖,1年,大专,"会计
主办会计
财务
会计助理
财务主管
出纳
核算会计
会计助理
五险一金
包吃
绩效奖金
节日福利
交通补贴
通讯补贴
专业培训",民营  |  少于50人,会计/审计,芜湖,3500-7000,3500,7000
启业建设有限公司,主办会计,7-8千,广州,10年以上,中技/中专,"会计
审计
建筑
施工
五险一金
餐饮补贴
绩效奖金",民营  |  50-150人,建筑/建材/工程,广州,7000-8000,7000,8000
广州回味源蛋类食品有限公司,成本会计,5-7千,广州·白云区,3-4年,大专,"会计核算
控制成本
生产成本核算
督导成本控制
制造业
会计
成本计算
节日福利
岗位补贴
绩效奖金
包吃包住
社保五险",民营  |  150-500人,快速消费品(食品、饮料、化妆品),广州,5000-7000,5000,7000
江苏泰信机械科技有限公司,成本会计,6-8千,无锡·惠山区,3-4年,本科,"成本分析
u8系统
成本核算
员工旅游
餐饮补贴
绩效奖金
年终奖金
专业培训
定期体检
五险一金
补充医疗保险",民营  |  50-150人,机械/设备/重工,无锡,6000-8000,6000,8000
深圳佳成建设工程有限公司,全盘会计,9千-1.3万,深圳·福田区,2年,大专,五险一金,民营  |  50-150人,建筑/建材/工程,深圳,9000-13000,9000,13000
湖北亿纬动力有限公司,成本会计,8千-1.2万·14薪,荆门,3-4年,本科,五险一金,民营  |  5000-10000人,新能源,荆门,8000-12000,8000,12000
林凯企业集团有限公司,财务主管会计（物业方向）,8千-1万,西安,5-7年,大专,"财务管理
会计核算
会计报表
税务管理
应收
带薪年假
绩效奖金
节日福利
五险
定期体检",民营  |  150-500人,房地产,西安,8000-10000,8000,10000
江苏新图机械有限公司,总账会计,8千-1.3万·13薪,苏州·吴江区,5-7年,大专,"财务
五险一金
补充公积金
员工旅游
餐饮补贴
年终奖金",民营  |  50-150人,机械/设备/重工,苏州,8000-13000,8000,13000
湖南中扬环保科技有限公司,财务会计,3.5-4.5千,长沙·雨花区,3-4年,大专,"五险一金
年底双薪
绩效奖金
全勤奖
员工旅游
高温补贴
节日福利
不加班",民营  |  50-150人,环保,长沙,3500-4500,3500,4500
智安达（上海）轮胎服务有限公司,资金会计（偏出纳）,6-9千,上海·青浦区,2年,本科,"资金专员
出纳
五险一金
补充公积金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
弹性工作",民营  |  少于50人,汽车,上海,6000-9000,6000,9000
成都贝高贝实业有限责任公司,税务会计,6-8千,重庆·铜梁区,5-7年,大专,"包三餐
包住宿
节日福利
全勤奖
专业培训
员工旅游",民营  |  150-500人,机械/设备/重工,重庆,6000-8000,6000,8000
深圳市文丰装饰创新科技有限公司,会计专员,7-9千,深圳·南山区,2年,大专,"员工旅游
五险一金
带薪年假",民营  |  50-150人,家居/室内设计/装潢,深圳,7000-9000,7000,9000
红河鑫胜建设工程有限公司,会计,3.5-5千·13薪,红河州,2年,大专,"周末双休
包午餐
年底双薪
节假日休",民营  ,建筑/建材/工程,红河,3500-5000,3500,5000
上海市医药学校,资产财务处会计,7-9千,上海,无需经验,本科,"会计
财务管理
财务
餐饮补贴
专业培训
五险一金
交通补贴
定期体检",事业单位  |  500-1000人,教育/培训/院校,上海,7000-9000,7000,9000
武汉百耐流体控制设备有限公司,会计专员,4.5-6.5千,黄冈,2年,大专,"会计
五险一金
免费班车
餐饮补贴
年终奖金",民营  |  50-150人,机械/设备/重工,黄冈,4500-6500,4500,6500
浙江飞哲科技股份有限公司,助理会计,4.5-7千,金华,1年,本科,"会计
审计
数据分析
电商
助理
财会管理
绩效奖金
专业培训",民营  |  1000-5000人,家具/家电/玩具/礼品,金华,4500-7000,4500,7000
广东生和堂健康食品股份有限公司,会计员,3.5-4.5千,江门,1年,本科,"财务
总账会计
五险一金
包三餐
包住宿
节日福利
带薪年假
员工旅游",民营  |  500-1000人,快速消费品(食品、饮料、化妆品),江门,3500-4500,3500,4500
杭州汇中科技有限公司,财务会计,6.5-8千,杭州·萧山区,2年,大专,"带薪年假
绩效奖金
交通补贴
通讯补贴
周末双休
节日福利
五险",民营  |  少于50人,仪器仪表/工业自动化,杭州,6500-8000,6500,8000
科稳智慧（武汉）技术有限公司,会计,5-7千,武汉·江夏区,2年,大专,"财务
会计
税务
报税
审计
交通补贴
餐饮补贴
通讯补贴
节日福利
社保
定期体检
年终奖金
员工旅游",民营  |  50-150人,仪器仪表/工业自动化,武汉,5000-7000,5000,7000
广州幸福树科技有限公司,总账会计-入职五险一金,9千-1.1万,上海,3-4年,大专,"总账
sap系统
会计
会计报表
财务流程
存货盘点表
账务处理
财务核算
会计准则
五险一金
弹性工作
专业培训
周末双休
补充公积金
绩效奖金",民营  |  150-500人,互联网/电子商务,上海,9000-11000,9000,11000
广东泰升药业有限公司,应收会计,5-8千,佛山,3-4年,大专,"应收回款
往来
会计
对账单
社会保险
专业培训
年终奖金
弹性工作
定期体检
包三餐
包住宿
节日福利
带薪年假",民营  |  500-1000人,制药/生物工程,佛山,5000-8000,5000,8000
广东万和新电气股份有限公司,费用会计 (MJ000323),5-6千·13薪,佛山,无需经验,本科,"五险一金
补充医疗保险
补充公积金
专业培训
定期体检
餐饮补贴
年终奖金
交通补贴",已上市  |  5000-10000人,家具/家电/玩具/礼品,佛山,5000-6000,5000,6000
广州艾科新材料股份有限公司,出纳会计,5-8千,广州·黄埔区,1年,本科,"出纳
会计
五险一金
员工旅游
交通补贴
餐饮补贴
定期体检
加班补贴
带薪年假
绩效奖金",已上市  |  150-500人,石油/化工/矿产/地质,广州,5000-8000,5000,8000
上海瑞格金属材料有限公司,外贸会计,1.5-2.5万,上海·长宁区,2年,本科,"财务
外贸会计
周末双休
绩效奖金
节日福利
专业培训
餐饮补贴",民营  |  1000-5000人,原材料和加工,上海,15000-25000,15000,25000
深圳市中禾旭精密机械有限公司,应收应付会计,5.5-6.5千,深圳·宝安区,2年,大专,"财务
会计助理
财务助理
包吃包住
购买社保
带薪年假
全勤奖
节日福利
5.5天制",民营  |  150-500人,机械/设备/重工,深圳,5500-6500,5500,6500
武汉市福昌良品商贸有限公司,会计助理文员,3-4.5千,武汉·东西湖区,1年,大专,"财务
会计
会计助理
财务助理
助理
处理文员
包吃
节日福利
专业培训",民营  |  50-150人,批发/零售,武汉,3000-4500,3000,4500
上海众网数聚信息科技股份有限公司,会计专员,6-9千,上海,3-4年,本科,"会计
金蝶
会计学
会计核算
成本管理
项目申报
会计凭证
财务软件
五险一金
员工旅游
专业培训
股票期权
弹性工作
定期体检
绩效奖金
年终奖金
补充医疗保险
补充公积金",民营  |  1000-5000人,计算机软件,上海,6000-9000,6000,9000
广州亿弘科技有限公司,会计,6-8千,广州·增城区,1年,大专,"财务
会计
全盘账
税务
工资
会计上岗证
财务软件
财务制度
盘点数据整理
财会
带薪年假
全勤奖
加班补贴
绩效奖金
专业培训
节日福利
五险
公司聚餐
年度旅游
大小周",民营  |  少于50人,互联网/电子商务,广州,6000-8000,6000,8000
四川锦程会计师事务所有限责任公司,注册会计师,1.2-1.8万,成都·武侯区,3-4年,大专,"CPA
注册会计师
周末双休
五险一金
带薪年假
员工旅游
全勤奖
餐饮补贴",民营  |  50-150人,中介服务,成都,12000-18000,12000,18000
东莞市良程吉运供应链管理有限公司,财务会计专员,5-6千,东莞·凤岗镇,3-4年,大专,"财务
财务助理
五险一金
员工旅游
交通补贴
通讯补贴
专业培训
绩效奖金",民营  |  500-1000人,交通/运输/物流,东莞,5000-6000,5000,6000
湖北金卉庄园农业有限公司,急招市政工程建筑会计,5-7千,孝感,3-4年,大专,"会计
全盘会计
工程建设会计
免费班车
包住宿
专业培训",民营  |  150-500人,酒店/旅游,孝感,5000-7000,5000,7000
恒玉（宁波）财税服务有限公司,会计师助理(五险+双休）,3-5千,宁波·海曙区,1年,大专,"会计助理
财务助理
出纳
财务
会计
周末双休
五险一金
节日福利
绩效奖金",民营  |  少于50人,专业服务(咨询、人力资源、财会),宁波,3000-5000,3000,5000
东莞市众财财税科技有限公司,会计,5-8千,东莞·莞城区,2年,大专,"会计
审计
财务
绩效奖金
节日福利
专业培训
年终奖金
员工旅游
五险
团体聚餐
包吃",民营  |  少于50人,会计/审计,东莞,5000-8000,5000,8000
大信沃思财务顾问（武汉）股份有限公司,会计（东湖新技术开发区龙泉街道）,4-6千,武汉·东湖新技术产业开发区,3-4年,大专,"周末双休
带薪年假
交通补贴
餐饮补贴
节日福利
五险一金
通讯补贴",民营  |  50-150人,专业服务(咨询、人力资源、财会),武汉,4000-6000,4000,6000
獐子岛集团股份有限公司,会计,4-6千,大连·中山区,3-4年,本科,"财务
预算
盘点
结账
用友erp
账务处理
报表编制
会计处理
税费申报
生产数据收集
五险一金
定期体检
补充医疗保险
通讯补贴
专业培训
交通补贴
餐饮补贴",民营  |  1000-5000人,农/林/牧/渔,大连,4000-6000,4000,6000
宁波电子信息集团有限公司,财务会计,8-16万/年,宁波·高新区,1年,本科,"周末双休
带薪年假
五险一金
节日福利
专业培训
交通补贴
餐饮补贴
加班补贴
通讯补贴
高温补贴",民营  |  500-1000人,多元化业务集团公司,宁波,nan,,
华润医药商业集团有限公司武汉共享中心,总账会计-复核,7-8千·13薪,武汉·武汉经济开发区,2年,本科,"总账
五险一金
带薪年假
周末双休
节日福利
专业培训
内部轮岗
上市公司
内部竞聘
包住宿工作餐",国企  |  150-500人,专业服务(咨询、人力资源、财会),武汉,7000-8000,7000,8000
中瑞岳华中旺税务师事务所（云南）有限公司,主办会计,5-8千,昆明·五华区,3-4年,大专,"总账会计
税务",民营  ,专业服务(咨询、人力资源、财会),昆明,5000-8000,5000,8000
深圳市玮言服饰股份有限公司,费用会计,6千-1万,深圳·南山区,2年,大专,"会计
快消品
服装
五险一金
员工旅游
定期体检
专业培训
年终奖金
周末双休",民营  |  1000-5000人,服装/纺织/皮革,深圳,6000-10000,6000,10000
琪勤投资（上海）有限公司,会计专员,6-8千,上海·普陀区,3-4年,高中,"报税
会计
员工旅游",民营  ,金融/投资/证券,上海,6000-8000,6000,8000
杭州瑞富信息技术有限公司,会计,6千-1万,杭州·滨江区,3-4年,本科,"会计
带薪年假
五险一金
绩效奖金
全勤奖
节日福利
专业培训
加班补贴
高温补贴
团建活动",民营  |  150-500人,金融/投资/证券,杭州,6000-10000,6000,10000
深圳市宇辰鼎丰贸易发展有限公司,结算会计（双休）,7千-1万,深圳·福田区,5-7年,大专,"财务
会计
开票
税务
财务报表
弹性工作
绩效奖金
五险一金
补充医疗保险
员工旅游
通讯补贴",民营  |  50-150人,贸易/进出口,深圳,7000-10000,7000,10000
深圳市朝日电子材料有限公司,会计助理,4-4.5千,东莞·大岭山镇,2年,中技/中专,"财务
会计
记帐凭证
保管发票
银行对帐
申请票据
会计报表
财会
购***
单据审核
五险一金
员工旅游
年终奖金
定期体检
补充医疗保险
包吃
包三餐
包住宿
节日福利
全勤奖",民营  |  50-150人,原材料和加工,东莞,4000-4500,4000,4500
青岛世亚精密管件有限公司,会计,8千-1万,青岛·黄岛区,8-9年,本科,"五险一金
定期体检
免费班车
年终奖金
包吃
节日福利
加班补贴",外资（非欧美）  |  150-500人,汽车,青岛,8000-10000,8000,10000
零壹半导体技术（常州）有限公司,会计主管,8千-1.5万,常州·武进区,2年,本科,"五险一金
绩效奖金
年终奖金
年终双薪",民营  |  150-500人,电子技术/半导体/集成电路,常州,8000-15000,8000,15000
武汉合信源财务管理有限公司,会计主管（武昌）,4.5-8千,武汉·武昌区,3-4年,大专,"会计
审计
周末双休
带薪年假
五险一金
绩效奖金
全勤奖
节日福利
专业培训",民营  |  50-150人,会计/审计,武汉,4500-8000,4500,8000
朝一蛋品（上海）有限公司,应收应付会计,8-9千,上海·松江区,2年,本科,"五险一金
包吃
做五休二",民营  |  少于50人,快速消费品(食品、饮料、化妆品),上海,8000-9000,8000,9000
成都光创联科技有限公司,成本会计,6-8千,成都·郫都区,3-4年,本科,"成本核算
excel
盘点
五险一金
补充医疗保险
定期体检
弹性工作
员工旅游",民营  |  150-500人,通信/电信运营、增值服务,成都,6000-8000,6000,8000
上海斯米克建筑陶瓷有限公司,应收会计/AR/财务专员,7千-1万·14薪,上海·黄浦区,2年,本科,应收,已上市  |  1000-5000人,建筑/建材/工程,上海,7000-10000,7000,10000
浙江和达科技股份有限公司,应收会计,6-7千·14薪,嘉兴,1年,本科,"员工旅游
年终奖金
绩效奖金
股票期权",已上市  |  500-1000人,计算机软件,嘉兴,6000-7000,6000,7000
四川惠森装饰工程有限公司,会计（贵州）,4-6千,成都,2年,大专,"绩效奖金
年终奖金
五险一金
交通补贴
通讯补贴
餐饮补贴
员工旅游",民营  |  50-150人,建筑/建材/工程,成都,4000-6000,4000,6000
深圳市天诺安防有限公司,往来会计/应收应付,5-8千,深圳·龙华区,2年,大专,"往来账管理
应收核对
应付核对
财务
员工旅游
年终奖金
五险一金
节日福利
包住
绩效奖金",民营  |  150-500人,贸易/进出口,深圳,5000-8000,5000,8000
太仓恩福密封产品有限责任公司,会计,8千-1万,太仓,5-7年,本科,"做五休二
加班补贴
交通补贴
绩效奖金
五险一金
餐饮补贴
节日福利",外资（欧美）  |  500-1000人,仪器仪表/工业自动化,太仓,8000-10000,8000,10000
瑞田汽车压缩机（江苏）有限公司,财务主办会计,6-8千,苏州·吴中区,3-4年,大专,"专业培训
员工旅游
带薪年假
员工食堂
全勤奖
五险一金
通讯补贴",民营  |  50-150人,机械/设备/重工,苏州,6000-8000,6000,8000
广东九潮集团有限公司,会计师,6-8千,广州·天河区,3-4年,大专,"会计
财务
外账
做账
双休",民营  |  150-500人,建筑/建材/工程,广州,6000-8000,6000,8000
青岛东石教育咨询有限公司,门诊会计,4-6千,青岛·市南区,1年,大专,"双休
五险一金",国企  |  50-150人,专业服务(咨询、人力资源、财会),青岛,4000-6000,4000,6000
宁波市东方理工高等研究院,会计（智慧能源实验室）,12-15万/年,宁波·镇海区,3-4年,本科,"会计
行政
财务软件
五险一金
弹性工作",非营利组织  |  50-150人,教育/培训/院校,宁波,nan,,
佛山市迪赛纳科技有限公司,电商会计,6-9千,佛山·南海区,2年,大专,"财务
会计
电商会计
电商核算
数据分析
带薪年假
提供住宿
专业培训
出国机会
员工旅游
免费班车",民营  |  1000-5000人,家具/家电/玩具/礼品,佛山,6000-9000,6000,9000
广东九潮集团有限公司,税务会计,6-8千,广州·天河区,3-4年,大专,"会计
财务
外账
做账
报税
五险一金
员工旅游
年终奖金
节日福利",民营  |  150-500人,建筑/建材/工程,广州,6000-8000,6000,8000
贽翚精密塑料（上海）有限公司,成本会计,6千-1万,上海·松江区,2年,大专,"五险一金
年终奖金",民营  |  50-150人,原材料和加工,上海,6000-10000,6000,10000
江西省高氏置业发展集团有限公司,建筑会计,5-6千,南昌·新建区,3-4年,大专,"建筑行业
税务申报
会计学
税务政策
工资管理
会计资格证
支付流程
节日福利
五险
工龄工资
年终福利
绩效奖励",民营  |  150-500人,房地产,南昌,5000-6000,5000,6000
杭州统奔模具制造有限公司,财务会计,5.5-7千,杭州·余杭区,2年,大专,"会计
财务
五险
免费工作餐
绩效奖金
年终奖金
夏季冷饮",民营  |  50-150人,机械/设备/重工,杭州,5500-7000,5500,7000
河南万都会计服务有限公司,实习会计（3000-5000）,3-5千,新乡,1年,大专,"会计助理
财务
会计
实习会计
绩效奖金
年终奖金
缴纳社保
周末双休
员工旅游
节日福利
法定假期",合资  |  50-150人,会计/审计,新乡,3000-5000,3000,5000
深圳市韵达速递有限公司,会计（提供食宿）,6-8千,深圳,2年,大专,"五险一金
餐饮补贴
绩效奖金
专业培训",民营  |  1000-5000人,交通/运输/物流,深圳,6000-8000,6000,8000
铿政实业（深圳）集团有限公司,财务会计,6-8千,深圳·福田区,5-7年,大专,"包住宿
包吃
社保
大小周",民营  |  150-500人,多元化业务集团公司,深圳,6000-8000,6000,8000
福建德通金属容器股份有限公司,主办会计,6-8千,福州·晋安区,3-4年,大专,"财务
定期体检
五险
提供食宿
节日福利
全勤奖
绩效奖金",民营  |  150-500人,印刷/包装/造纸,福州,6000-8000,6000,8000
汕头市合群房地产开发有限公司,会计,5-6千,汕头·龙湖区,3-4年,大专,"中级会计职称
社医保
全勤奖
带薪年假
假日福利
工作餐",民营  ,计算机软件,汕头,5000-6000,5000,6000
深圳市韵达速递有限公司,税务会计（包吃住）,5-7千,深圳,2年,大专,"税务
会计
office
税收政策法规
办公软件
财务
纳税申报
五险一金
餐饮补贴
绩效奖金
专业培训",民营  |  1000-5000人,交通/运输/物流,深圳,5000-7000,5000,7000
深圳博创新材科技有限公司,全盘会计,6.5-7.5千,深圳·龙华区,3-4年,大专,全盘会计,民营  |  少于50人,贸易/进出口,深圳,6500-7500,6500,7500
广州铸星机械有限公司,会计,4.5-6千,广州·花都区,2年,大专,"财务
带薪年假
包吃
包三餐
免费班车
绩效奖金
节日福利",民营  |  150-500人,机械/设备/重工,广州,4500-6000,4500,6000
陕西太白山投资集团有限公司,财务会计,3-5千,宝鸡,2年,本科,"会计
五险一金
住宿
廉政灶
降温费
取暖费
双休",国企  ,多元化业务集团公司,宝鸡,3000-5000,3000,5000
深圳市弘盛致远投资咨询有限公司,全盘会计,1-2万,深圳,3-4年,本科,"全盘会计
财务主管
会计主管
总账会计
五险一金
周末双休
节日福利
带薪年假
绩效奖金
弹性工作",民营  |  少于50人,金融/投资/证券,深圳,10000-20000,10000,20000
广州黛柏睿家具制造有限公司,会计文员,3.5-5千,广州·白云区,1年,大专,"五险
餐补
提成",民营  |  500-1000人,家具/家电/玩具/礼品,广州,3500-5000,3500,5000
苏州趣雅园林发展有限公司,主办会计,0.8-1万,苏州·工业园区,5-7年,大专,"绩效奖金
年终奖金
定期体检
通讯补贴",民营  |  50-150人,建筑/建材/工程,苏州,08000-10000,8000,10000
陕西太白山投资集团有限公司,财务会计,3-5千,宝鸡,2年,本科,"会计
五险一金
住宿
廉政灶
降温费
取暖费
双休",国企  ,多元化业务集团公司,宝鸡,3000-5000,3000,5000
深圳天珑无线科技有限公司,总账会计,9千-1.1万·14薪,深圳·南山区,3-4年,本科,"五险一金
年终奖金
定期体检
节日福利
带薪年假
季度奖金",合资  |  1000-5000人,通信/电信/网络设备,深圳,9000-11000,9000,11000
湖北鸿洲幕墙钢结构有限公司,会计,4.5-6千,武汉·江岸区,2年,大专,"五险一金
补充医疗保险
餐饮补贴
绩效奖金
年终奖金",民营  ,建筑/建材/工程,武汉,4500-6000,4500,6000
郑州成林纺织有限公司,出纳会计,3-5千,郑州,2年,本科,"现金会计
出纳
财务
财务出纳
周末双休
五险一金
全勤奖
节日福利
专业培训
绩效奖金
加班补贴
通讯补贴
员工旅游",民营  |  50-150人,服装/纺织/皮革,郑州,3000-5000,3000,5000
东莞市祥昇汽车有限公司,财务会计专员,4.5-6千,东莞·南城区,2年,大专,"会计
会计助理
会计主管
总账会计
带薪年假
住房补贴
节日福利
弹性工作
绩效奖金
全勤奖
五险一金
餐饮补贴",民营  |  50-150人,汽车,东莞,4500-6000,4500,6000
武汉昱科信息科技有限公司,会计,4-5.5千,武汉·东湖新技术产业开发区,1年,大专,"会计
会计助理
财务
周末双休
带薪年假
弹性工作
绩效奖金
节日福利
专业培训
加班补贴
高温补贴",民营  |  少于50人,计算机软件,武汉,4000-5500,4000,5500
深圳市光辉星工程项目管理有限公司,会计助理,4-6千,深圳·宝安区,2年,大专,"会计助理
财务会计助理
会计文员
五险一金
员工旅游
年终奖金
补充医疗保险",民营  |  50-150人,建筑/建材/工程,深圳,4000-6000,4000,6000
北京氢璞创能科技有限公司,资金会计,8千-1.2万,北京·海淀区,2年,本科,"五险一金
年终奖金
出国机会
绩效奖金
定期体检
通讯补贴",民营  |  150-500人,新能源,北京,8000-12000,8000,12000
辽宁瑞森劳务派遣有限公司,会计专员/财务专员,6.5-8千,沈阳,2年,大专,"数据分析
核算
销售分析
财务资料
费用核销
excel
财务
财务会计
对账
审核销售订单
五险一金
补充公积金
餐饮补贴
员工旅游
专业培训
股票期权
弹性工作
年终奖金
绩效奖金",民营  |  1000-5000人,专业服务(咨询、人力资源、财会),沈阳,6500-8000,6500,8000
昆明普丰科技有限公司,会计,5-6.5千,昆明·西山区,3-4年,大专,会计、财务,民营  |  少于50人,电气/电力/水利,昆明,5000-6500,5000,6500
四川三联混凝土工程有限公司,急招会计（雅安荥经县）,4-5千,雅安,8-9年,大专,"会计
金蝶软件
国家税收政策
社保
包住
带薪年假
做六休一
饭补",民营  |  50-150人,建筑/建材/工程,雅安,4000-5000,4000,5000
深圳科信智能技术有限公司,会计,7千-1万,深圳·福田区,5-7年,大专,"五险一金
年终奖金
绩效奖金
周末双休
节日福利",民营  |  50-150人,建筑/建材/工程,深圳,7000-10000,7000,10000
深圳普鲁士特空压系统有限公司,往来会计,6-8千,深圳,2年,大专,"会计
账龄分析
销售开票
往来账管理
明细核算
五险一金
通讯补贴
交通补贴
绩效奖金
专业培训
节日福利",民营  |  50-150人,机械/设备/重工,深圳,6000-8000,6000,8000
眉山博雅新材料股份有限公司,成本会计,5-8千,眉山,3-4年,大专,"会计
成本分析
成本控制
五险一金
包吃
包住宿
做五休二
节日福利
专业培训
定期体检",民营  |  150-500人,电子技术/半导体/集成电路,眉山,5000-8000,5000,8000
宁波市江北宁信财务咨询有限公司,主办会计（五险一金+周末双休+餐饮补贴）,6-8千,宁波,2年,大专,"会计
周末双休
绩效奖金
全勤奖
节日福利
专业培训
餐饮补贴
加班补贴
高温补贴
五险一金",民营  |  少于50人,会计/审计,宁波,6000-8000,6000,8000
上海生博生物医药科技有限公司,总账会计,8千-1.5万,上海·浦东新区,3-4年,大专,"财务
总账会计
会计学
五险一金
餐饮补贴
绩效奖金
年终奖金",民营  |  少于50人,制药/生物工程,上海,8000-15000,8000,15000
蔚叁数码科技（上海）有限公司,会计,0.8-1万,上海·浦东新区,3-4年,大专,"总账会计
财务
成本核算
固定资产折旧
五险一金
带薪年假
绩效奖金
补充商业保险",外资（非欧美）  |  50-150人,互联网/电子商务,上海,08000-10000,8000,10000
深圳市中翔极致国际货运有限公司,总账会计,7-9千,深圳,5-7年,大专,"财务
总账会计
五险一金
员工旅游
定期体检
弹性工作",外资（非欧美）  |  50-150人,交通/运输/物流,深圳,7000-9000,7000,9000
武汉利标日化有限公司,财务会计,4-4.5千,武汉,2年,大专,"财务
会计
核算
周末双休
节日福利
绩效奖金
五险一金
带薪年假",民营  |  150-500人,快速消费品(食品、饮料、化妆品),武汉,4000-4500,4000,4500
苏州远发机电设备有限公司,主办会计,4.5-9千,苏州·相城区,8-9年,大专,"员工旅游
节日福利
年终奖金
公司聚餐
周末双休
专业培训",民营  |  少于50人,建筑/建材/工程,苏州,4500-9000,4500,9000
深圳燕浩实业发展有限公司,汕尾市陆河工业会计,6-8千,汕尾,3-4年,大专,工业会计,民营  |  50-150人,建筑/建材/工程,汕尾,6000-8000,6000,8000
广州市广超实业有限公司,会计,5-6千,广州·白云区,1年,大专,"带薪年假
包吃
包住宿
节日福利
餐饮补贴
弹性工作
绩效奖金
高温补贴",民营  |  150-500人,房地产,广州,5000-6000,5000,6000
江西橄榄树环境科技有限公司,会计,4.5-5千,南昌·红谷滩新区,3-4年,大专,"纳税
往来账务
财务凭证
票据管理
会计凭证
账务处理
财务
财务报表
报销
五险
双休
年终奖金
包吃
交通补贴",国企  |  50-150人,环保,南昌,4500-5000,4500,5000
深圳市万杰食品有限公司,财务会计,4.5-6千,深圳·龙岗区,1年,大专,"会计
财务报表
客服
统计报表
账务
弹性工作
社保
包吃包住",民营  ,计算机软件,深圳,4500-6000,4500,6000
华信宏景（广东）税务师事务所有限公司,注册会计师,6千-1万,惠州·惠阳区,2年,大专,"五险一金
餐饮补贴
专业培训
绩效奖金
弹性工作",民营  |  少于50人,专业服务(咨询、人力资源、财会),惠州,6000-10000,6000,10000
北京利方达真空技术有限责任公司,财务会计专员,4.5-6千,张家口,3-4年,大专,"会计
审计
电商
五险一金
交通补贴
绩效奖金
免费班车
员工旅游
年终奖金",民营  |  50-150人,机械/设备/重工,张家,4500-6000,4500,6000
广州力盾环保工程有限公司,财务会计,6-9千·13薪,广州,5-7年,大专,"财务主管
财务经理
会计
财务
周末双休
带薪年假
节日福利
绩效奖金",民营  |  少于50人,石油/化工/矿产/地质,广州,6000-9000,6000,9000
东莞市凯鸿帽服箱包有限公司,会计,5千-1万,东莞·石排镇,3-4年,大专,"财务
会计主管
财务助理
会计助理
财务主管
总账会计
出纳
税务
包吃
包住宿
全勤奖
节日福利
加班补贴",民营  |  50-150人,服装/纺织/皮革,东莞,5000-10000,5000,10000
广州象屿进出口贸易有限公司,广州速传-核算会计（佛山三水仓）,5.5-6.5千·14薪,佛山·三水区,3-4年,本科,"仓储
仓管
仓库
世界500强
交通补贴
餐饮补贴
绩效奖金
定期体检
高温补贴
节日福利
周末双休
带薪年假
六险二金",国企  |  150-500人,贸易/进出口,佛山,5500-6500,5500,6500
上海神力科技有限公司,会计,1-2万·13薪,上海·奉贤区,3-4年,本科,"五险一金
员工旅游
定期体检
专业培训
年终奖金",民营  |  150-500人,新能源,上海,10000-20000,10000,20000
江苏同悦气体系统有限公司,总账会计,6-8千,无锡·江阴市,1年,大专,"登记总账
会计账簿
财务报表分析
财务数据
明细账
会计报表
会计凭证
对账
结账
记账
交通补贴
专业培训",民营  |  少于50人,机械/设备/重工,无锡,6000-8000,6000,8000
广州市蓝迅表业有限公司,会计,5-7千,广州·白云区,2年,大专,"初级会计
固定休息
工作简单
办公环境好
固定上班时间",民营  |  150-500人,互联网/电子商务,广州,5000-7000,5000,7000
深圳市菲黛尔服装有限公司,会计兼出纳6500-8000,6.5-8千,深圳,2年,高中,"财务
出纳
财务主管
会计助理
财务助理
会计主管
总账会计
税务",民营  |  150-500人,服装/纺织/皮革,深圳,6500-8000,6500,8000
云南九斗企业管理有限公司,代理记账主办会计,4.5-6千,昆明·官渡区,1年,大专,"财务
周末双休
弹性工作
带薪年假
六险一金
节日福利
全勤奖
绩效奖金
专业培训",民营  |  50-150人,专业服务(咨询、人力资源、财会),昆明,4500-6000,4500,6000
贵港市三禾米业有限公司,会计,4-4.5千,贵港,2年,大专,"会计
会计证
财务软件
税务申报
会计报表
餐饮补贴
绩效奖金
社保
弹性工作
专业培训
交通补贴
五险一金",民营  |  50-150人,农/林/牧/渔,贵港,4000-4500,4000,4500
深圳善康医药科技股份有限公司,应收会计,1-1.5万·13薪,深圳·坪山区,3-4年,本科,"财务
应收核算
餐饮补贴
交通补贴
绩效奖金
专业培训
五险一金
年终奖金",民营  |  50-150人,制药/生物工程,深圳,10000-15000,10000,15000
安徽求势新材料科技有限公司,会计专员,4-5千,蚌埠,2年,本科,催收,民营  |  少于50人,印刷/包装/造纸,蚌埠,4000-5000,4000,5000
