公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
湖南盛耀建设工程有限公司,项目会计（驻工地）,4-8千,长沙·雨花区,3-4年,大专,"项目会计
全盘会计
总账会计
驻场会计
节日福利
交通补贴
五险
弹性工作
高温补贴
包住宿
包吃",民营  |  少于50人,建筑/建材/工程,长沙,4000-8000,4000,8000
广东南方建设集团有限公司,会计,6-7千,广州,3-4年,大专,"会计
大小周
包中餐
买社保
证件补贴
带薪年假",民营  |  1000-5000人,建筑/建材/工程,广州,6000-7000,6000,7000
宁波艾科制冷工程有限公司,会计助理(双休+五险一金+免费三餐),5-6千,宁波·江北区,2年,本科,"五险一金
节日福利
餐饮补贴
生日福利
提供三餐",民营  |  500-1000人,贸易/进出口,宁波,5000-6000,5000,6000
中远海运化工物流有限公司,总账会计,9.6-12.9万/年,上海·杨浦区,5-7年,本科,"做五休二
带薪年假
五险一金
年终奖金",国企  |  150-500人,交通/运输/物流,上海,nan,,
湖北丛霖农业生态有限责任公司,会计,5-6千,武汉·江夏区,5-7年,本科,"财务主管
包三餐
包住宿
绩效奖金
节日福利
专业培训
全勤奖
交通补贴
五险",民营  |  50-150人,农/林/牧/渔,武汉,5000-6000,5000,6000
广东南方建设集团有限公司,主办会计,7-9千,广州,5-7年,大专,"会计
财务
大小周制
专业培训
领导nice
购买社保
带薪年假
包中餐
年终奖金",民营  |  1000-5000人,建筑/建材/工程,广州,7000-9000,7000,9000
嘉士伯（中国）啤酒工贸有限公司,会计主管（厦门）,8千-1.3万·13薪,厦门,3-4年,本科,"五险一金
通讯补贴
餐饮补贴
交通补贴
年终奖金
定期体检
专业培训",外资（欧美）  |  500-1000人,快速消费品(食品、饮料、化妆品),厦门,8000-13000,8000,13000
南侨食品集团（上海）股份有限公司,成本会计,6-8千,上海·徐汇区,3-4年,大专,"五险一金
年终奖金",外资（非欧美）  |  1000-5000人,快速消费品(食品、饮料、化妆品),上海,6000-8000,6000,8000
宝来石化销售（上海）有限公司,应收会计,6-8千,上海·长宁区,1年,本科,"会计
财务
税务
应收
五险一金
餐饮补贴
通讯补贴
带薪年假
周末双休",外资（非欧美）  |  少于50人,石油/化工/矿产/地质,上海,6000-8000,6000,8000
广州市文逸通讯设备有限公司,总账会计,5-7千,广州·白云区,2年,大专,"财务
总账会计
包吃
包住宿
全勤奖
五险一金",民营  |  500-1000人,贸易/进出口,广州,5000-7000,5000,7000
成都文谚财务咨询有限公司,沟通会计,5-8千,成都,1年,大专,"会计
周末双休
正式员工岗位
专业培训
节日福利
定期体检
年终奖金
员工旅游
五险一金",民营  |  50-150人,专业服务(咨询、人力资源、财会),成都,5000-8000,5000,8000
江苏烽禾升智能科技有限公司,总账会计,8千-1.2万,苏州,3-4年,本科,"五险一金
专业培训
年终奖金",民营  |  1000-5000人,仪器仪表/工业自动化,苏州,8000-12000,8000,12000
广州市必躬亲贸易有限公司,电商会计,5-8千·13薪,广州·白云区,1年,本科,"会计
审计
电商
全勤奖
绩效奖金
通讯补贴
专业培训
五险一金
员工旅游",民营  |  150-500人,批发/零售,广州,5000-8000,5000,8000
江苏修德材料科技有限公司,会计（溧阳竹箦）,5-7千,常州·溧阳市,5-7年,大专,"财务
会计
出纳
财务报表
统计申报
固定资产管理
成本管理
财务核算
入职缴纳保险
绩效奖金
专业培训
加班补贴
年终奖金
带薪年假
提供工作餐",民营  |  少于50人,石油/化工/矿产/地质,常州,5000-7000,5000,7000
江苏烽禾升智能科技有限公司,总账会计,8千-1.2万,苏州,3-4年,本科,"五险一金
专业培训
年终奖金",民营  |  1000-5000人,仪器仪表/工业自动化,苏州,8000-12000,8000,12000
中润建安集团有限公司,会计,4-6千,苏州·相城区,3-4年,大专,"总账会计
税务
会计主管
财务
做五休二
餐饮补贴
五险一金
交通补贴
专业培训
定期体检
员工旅游",民营  |  50-150人,建筑/建材/工程,苏州,4000-6000,4000,6000
聚利和集团股份有限公司,会计,3-4千,安康,3-4年,大专,"成本核算
食品
记账凭证
纳税申报
供应链
餐饮",民营  |  1000-5000人,餐饮业,安康,3000-4000,3000,4000
上海琥崧智能科技股份有限公司,主办会计,7千-1.2万,太仓,2年,本科,"五险一金
绩效奖金
年终奖金
专业培训
定期体检",民营  |  150-500人,机械/设备/重工,太仓,7000-12000,7000,12000
阜南联美农产品有限公司,会计,3-4.5千,阜阳,1年,大专,"会计
包吃
包住宿
节日福利
专业培训",合资  |  150-500人,快速消费品(食品、饮料、化妆品),阜阳,3000-4500,3000,4500
武汉盛为芯科技有限公司,总账会计 年薪12-15万/年,6千-1万,武汉·江夏区,2年,本科,"会计学
成本管理
报表分析
财务核算
五险一金
绩效奖金
餐饮补贴",民营  |  50-150人,电子技术/半导体/集成电路,武汉,6000-10000,6000,10000
