el_链接,名称,时间,sal,d,d1,d2,关键词,名称_链接,名称3,dc,int
https://jobs.51job.com/chengdu/141981441.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,综合金融专员,03-09发布,1-2万,成都·锦江区,3-4年,本科,"资产配置
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
出国机会
绩效奖金
年终奖金",https://jobs.51job.com/all/coBmdUMANpADpWOw1mBWc.html,中国人寿保险股份有限公司成都市分公司锦城营销服务部,国企  |  10000人以上,保险
https://jobs.51job.com/zhengzhou/140872543.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,五险+8k+金融贷后管理员,03-09发布,5千-1万,郑州·二七区,1年,中技/中专,"电话销售
风控管理控制
销售代表
电话专员
信用卡
信用卡电催员
补充医疗保险
年终奖金
绩效奖金
专业培训
弹性工作
五险
包住",https://jobs.51job.com/all/coB2VXO1Q0ATsGZVczAGE.html,广东浩传管理服务有限公司郑州分公司,民营  |  1000-5000人,银行
https://jobs.51job.com/xian/145335700.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,汽车金融销售,03-09发布,1-1.5万·13薪,西安·雁塔区,1年,大专,"五险一金
员工旅游
周末双休
绩效奖金
节日福利
专业培训
带薪年假
年终奖金
定期体检
汽车4s店
金融按揭
汽车销售
汽车金融
客户经理
新车
车贷",https://jobs.51job.com/all/coA2AHYQRjBTIPbwRuVDc.html,深圳市东银金融服务有限公司,民营  |  50-150人,汽车
https://jobs.51job.com/chengdu/146716748.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融保险实习生,03-09发布,4.5-6千,成都·锦江区,无需经验,大专,"实习
国企
双休
专业培训
晋升透明
团队合作
保险
理财
银行
销售
周末双休
弹性工作
绩效奖金
全勤奖
节日福利
专业培训
交通补贴",https://jobs.51job.com/all/coVTRQMVE2VGJTMARiAmY.html,中国人寿保险股份有限公司成都市分公司锦城营销服务部,国企  |  10000人以上,保险
https://jobs.51job.com/shanghai/146004183.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融产品经理,03-09发布,1.6-2.2万·15薪,上海·浦东新区,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴",https://jobs.51job.com/all/coA2AAZVA1UmsEZwdgVzs.html,上海贤君资产管理有限公司,民营  |  50-150人,金融/投资/证券
https://jobs.51job.com/shanghai/113565133.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融期货研究员,03-07发布,1-1.5万,上海·浦东新区,2年,硕士,"五险一金
补充医疗保险
年终奖金
定期体检",https://jobs.51job.com/all/coVTEBZ1EyUm8DYFE2VDM.html,中银国际期货有限责任公司,合资  |  50-150人,金融/投资/证券
https://jobs.51job.com/shenzhen/144014387.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,汽车金融按揭专员（客户经理）,03-09发布,1-1.8万,深圳·福田区,无需经验,大专,"五险一金
员工旅游
周末双休
绩效奖金
节日福利
专业培训
带薪年假
年终奖金
定期体检
汽车金融
汽车销售
按揭
车贷
客户经理
4S",https://jobs.51job.com/all/coA2AHYQRjBTIPbwRuVDc.html,深圳市东银金融服务有限公司,民营  |  50-150人,汽车
https://jobs.51job.com/chengdu/110205372.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,汽车金融专员,03-09发布,6千-1.2万,成都·高新区,1年,大专,"周末双休
五险一金
节日福利
定期体检
员工旅游",https://jobs.51job.com/all/coVjFRPAJpVWIPaFQwXDA.html,和运国际融资租赁有限公司,外资（非欧美）  |  500-1000人,金融/投资/证券
https://jobs.51job.com/shanghai/146221413.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融产品经理,03-09发布,1.5-2.2万·15薪,上海·浦东新区,3-4年,本科,"金融
供应链金融
项目评审
宣传推介
五险一金
交通补贴
餐饮补贴
通讯补贴",https://jobs.51job.com/all/coA2AAZVA1UmsEZwdgVzs.html,上海贤君资产管理有限公司,民营  |  50-150人,金融/投资/证券
https://jobs.51job.com/nanjing/146557640.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融渠道总经理助理,03-09发布,8千-1.6万,南京·雨花台区,1年,本科,"金融
渠道
对外联系
金融业务
商务谈判
五险一金
专业培训
绩效奖金
定期体检",https://jobs.51job.com/all/coBGAGawVjAjUEYQVvVDU.html,南京荣勋信息咨询有限公司,民营  |  50-150人,金融/投资/证券
https://jobs.51job.com/beijing/143887141.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,光大金融租赁-航空设备租赁部-客户经理岗（航运方向）,03-08发布,,北京,1年,本科,,https://jobs.51job.com/all/coAGRcPABjBTpTPgBmBmI.html,光大金融租赁股份有限公司,国企  |  150-500人,金融/投资/证券
https://jobs.51job.com/chongqing/110193646.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,汽车金融专员,03-09发布,6千-1.2万,重庆·渝北区,1年,大专,"周末双休
五险一金
节日福利
定期体检
员工旅游",https://jobs.51job.com/all/coVjFRPAJpVWIPaFQwXDA.html,和运国际融资租赁有限公司,外资（非欧美）  |  500-1000人,金融/投资/证券
https://jobs.51job.com/foshan/144473135.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,B端金融代表 双休 销售,03-07发布,8千-1.1万·13薪,佛山·禅城区,1年,本科,"六险一金
专业培训
年终奖金
定期体检
绩效奖金
金融行业
放款
收单商户拓展
白名单资源
面销
双休",https://jobs.51job.com/all/coB2dTMgBlADkHZgNj.html,广发银行股份有限公司信用卡中心,国企  |  10000人以上,银行
https://jobs.51job.com/shenzhen/146521110.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融分析师,03-09发布,1.3-1.8万·13薪,深圳·福田区,3-4年,大专,"授课
金融
讲师
基金从业证书
盘面
金融学
五险一金
员工旅游
定期体检
年终奖金
专业培训
出国机会
节日礼金
生日礼金",https://jobs.51job.com/all/coVDVWNABnATkGYwBrAGI.html,深圳创联启泰科技有限公司,民营  |  50-150人,影视/媒体/艺术/文化传播
https://jobs.51job.com/guangzhou/139491275.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,全面金融理财规划师/高端保险经纪人,03-09发布,4-5万,广州·天河区,3-4年,本科,"保险
经纪人
金融
理财规划
五险一金
周末双休
居家办公
弹性工作
时间自由
弹性工作
五险一金
专业培训",https://jobs.51job.com/all/coBGQFZwdmVm5VOFE1VjI.html,明亚保险经纪股份有限公司广东分公司,民营  |  1000-5000人,保险
