职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
市场营销+住+晋升快+教带,成都海瑞兴辰商贸有限公司,6-8千,成都·青羊区,,无需经验,"销售经理
销售主管
渠道销售
电销
面销
地推
销售专员
销售助理
销售总
员工旅游",快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,楚雄,大专,5-7年,"销售
导航
遥感
开拓市场
农业
商务洽谈
水利
软件产品
政府行业
招投标
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
全国区域-主动营销经理,喜临门家具股份有限公司,15-30万/年,绍兴·越城区,本科,3-4年,"五险一金
免费班车
餐饮补贴",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
钢材营销主管（急聘）,福然德股份有限公司,6千-1.2万,六安,本科,3-4年,"销售
钢材
市场开拓
渠道开发
营销方案
汽车
五险一金
绩效奖金
带薪年假
节日福利",汽车,,,已上市  |  500-1000人,,,,,
市场营销岗,中建三局第三建设工程有限责任公司,1.1-1.5万,南京·建邺区,本科,3-4年,"市场营销
客户维护
项目投标
市场开拓
内业资料整理
交通补贴
餐饮补贴
通讯补贴
专业培训
年终奖金",建筑/建材/工程,,,国企  |  5000-10000人,,,,,
市场/营销总监,广东荔晶优选科技有限公司,1.2-2.4万,广州·天河区,大专,8-9年,"农产品
预制菜
肉制品
快消品
农副食品
绩效奖金
专业培训
餐饮补贴
通讯补贴
交通补贴
社保",农/林/牧/渔,,,民营  |  少于50人,,,,,
全国区域-主动营销经理,喜临门家具股份有限公司,15-30万/年,绍兴·越城区,本科,3-4年,"五险一金
免费班车
餐饮补贴",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
钢材营销主管（急聘）,福然德股份有限公司,6千-1.2万,六安,本科,3-4年,"销售
钢材
市场开拓
渠道开发
营销方案
汽车
五险一金
绩效奖金
带薪年假
节日福利",汽车,,,已上市  |  500-1000人,,,,,
珠宝营销总监 主管,广州市番禺区奇石缘珠宝首饰厂,8千-1.5万,广州·番禺区,大专,3-4年,"珠宝销售
珠宝营销总监
珠宝销售主管
珠宝销售经理
提成
加班费
餐补",贸易/进出口,,,民营  |  50-150人,,,,,
新媒体营销接受小白,郑州西钻商贸有限公司,8千-1.5万,郑州·金水区,大专,无需经验,"引流客户
搭配产品
客户后期维护
电子商务
快消品
客户资源
培训
专业培训
出国机会
年终奖金
绩效奖金
五险一金
员工旅游",互联网/电子商务,,,民营  |  150-500人,,,,,
营销及拓展专员,佛山市圣邦医药有限公司,0.8-1万,佛山·南海区,大专,3-4年,"市场
营销
销售
销售专员
渠道
市场营销
拓展
拓展专员
绩效奖金
弹性工作
带薪年假
包吃
包住宿
专业培训
节日福利
全勤奖
五险一金
餐饮补贴",医疗/护理/卫生,,,民营  |  150-500人,,,,,
钢材营销主管（急聘）,福然德股份有限公司,6千-1.2万,六安,本科,3-4年,"销售
钢材
市场开拓
渠道开发
营销方案
汽车
五险一金
绩效奖金
带薪年假
节日福利",汽车,,,已上市  |  500-1000人,,,,,
营销经理,航天宏图信息技术股份有限公司,1-2万,南昌,大专,5-7年,"销售
招投标
导航
遥感
开拓市场
农业
商务洽谈
水利
软件产品
政府行业
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
营销总监/经理,武汉汉博科技有限公司,25-50万/年,武汉·武昌区,本科,5-7年,"轨道交通行业
五险一金
员工旅游
年终奖金
绩效奖金
通讯补贴",交通/运输/物流,,,民营  ,,,,,
招商营销,上海金桥出口加工区开发股份有限公司,12.5-25万/年,上海·浦东新区,本科,3-4年,"五险一金
补充公积金
员工旅游
交通补贴
餐饮补贴
专业培训
年终奖金
定期体检",房地产,,,已上市  |  50-150人,,,,,
钢材营销主管（急聘）,福然德股份有限公司,6千-1.2万,六安,本科,3-4年,"销售
钢材
市场开拓
渠道开发
营销方案
汽车
五险一金
绩效奖金
带薪年假
节日福利",汽车,,,已上市  |  500-1000人,,,,,
营销经理（储备营销负责人）,蓝城控股集团有限公司,50-60万/年,杭州·余杭区,,,"五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检",房地产,,,民营  |  150-500人,,,,,
海外品牌营销经理,深圳傲途乐电子科技有限公司,2-3.5万,深圳·龙岗区,本科,3-4年,"英文
推广计划
站外推广
营销策略
汽配
红人营销
平台规则
产品销售
产品设计
节日福利
绩效奖金
五险一金
带薪年假
高额工龄奖金
员工旅游",电子技术/半导体/集成电路,,,民营  |  50-150人,,,,,
营销副总助理,广东比沃新能源有限公司,8千-1.2万,深圳·光明区,大专,1年,"员工旅游
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
弹性工作
专业培训",新能源,,,民营  |  150-500人,,,,,
铝压铸营销总监（六安诚聘）南通,福然德股份有限公司,1.5-3万,六安,本科,10年以上,"营销
销售总监
营销总经理
销售经理
铝压铸
结构件
车身一体化
周末双休
节日福利
绩效奖金
带薪年假
五险一金",汽车,,,已上市  |  500-1000人,,,,,
市场/营销/拓展专员,深圳壹秀医疗科技有限公司,1-1.5万,深圳·福田区,大专,3-4年,"医美
维护合作
美业销售",美容/保健,,,民营  |  50-150人,,,,,
营销总监,江西聚仁堂实业发展有限公司,1-2万,南昌·南昌县,大专,10年以上,"团队管理
团队建设
市场调研
销售计划
营销管理
销售方案
品牌管理
三节福利
五险一金
餐饮补贴
通讯补贴
年终奖金",房地产,,,合资  |  1000-5000人,,,,,
营销运营总监（机械设备）,西安威科多机电设备有限公司,1-2万,西安,本科,8-9年,"大小礼拜
节日福利
餐饮补贴",机械/设备/重工,,,民营  |  50-150人,,,,,
招商信诺直招高级电话营销+舒适环境,招商信诺人寿保险有限公司,1.2-2.4万,上海·浦东新区,大专,无需经验,"带薪年假
五险一金
绩效奖金
节日福利
专业培训
高温补贴
弹性工作",保险,,,国企  ,,,,,
家电营销经理,海信集团中国区营销总部,6-9千,河源,本科,2年,"五险一金
年终奖金
定期体检",计算机软件,,,国企  |  10000人以上,,,,,
营销专员,浙江非攻机械有限公司,4-8千,成都,高中,2年,"营销
品牌推广
产品销售
区域销售
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
股票期权
年终奖金
绩效奖金
定期体检",机械/设备/重工,,,外资（非欧美）  |  少于50人,,,,,
产品营销策划,佛山市威尔普斯门窗有限公司,6-8千,佛山·南海区,大专,3-4年,"营销
营销推广
广告学
铝合金门窗
文案写作
宣传物料
五险一金
餐饮补贴
专业培训",家居/室内设计/装潢,,,民营  |  少于50人,,,,,
营销管培生（无责4000+包住+带薪培训）,武汉创造智慧健康科技有限公司,6千-1.1万,武汉·武昌区,大专,无需经验,"市场营销
市场分析报告
五险
专业培训
员工旅游
绩效奖金
年终奖金
弹性工作
股票期权",医疗设备/器械,,,民营  |  150-500人,,,,,
行业营销经理,广东睿江云计算股份有限公司,1-1.8万,佛山·禅城区,大专,5-7年,"软件
互联网
数字化
营销
销售
云计算
IT
ToB
五险一金
周末双休
免费午餐
专业培训
免费停车
奖金提成",计算机软件,,,已上市  |  150-500人,,,,,
营销专员,浙江非攻机械有限公司,5-8千,台州,高中,无需经验,"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
股票期权
年终奖金
绩效奖金
定期体检
营销
品牌推广
渠道",机械/设备/重工,,,外资（非欧美）  |  少于50人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销经理（烟台）,港中旅华贸国际物流股份有限公司青岛分公司,15-20万/年,烟台·芝罘区,大专,5-7年,"周末双休
节日福利
定期体检
带薪年假
六险一金
绩效奖金",交通/运输/物流,,,国企  |  50-150人,,,,,
金融贷款销售-非电销-圈层营销-徐汇滨江,上海福珍企业服务有限公司,1.5-2万,上海·徐汇区,大专,5-7年,"企业信贷
个人信贷
税贷
消费贷
贷款销售
银行客户经理
商学院顾问
课程顾问
高端房产销售
五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
员工旅游",会计/审计,,,民营  |  50-150人,,,,,
营销VP,苏州万店掌网络科技有限公司,3-5万,苏州·高新区,本科,10年以上,"管理
营销战略
销售管理
营销策略
五险一金
补充医疗保险
餐饮补贴
专业培训
年终奖金
弹性工作
定期体检",计算机软件,,,民营  |  150-500人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
农资销售/市场营销（五险）拓展经理,昆明爱卫有害生物防治有限公司,6-12万/年,昆明·西山区,大专,5-7年,"房地产
经销商
电商
医药
汽车
快消品
保险
包住宿
绩效奖金
专业培训
餐饮补贴
五险
节日福利
年终奖金
员工旅游",生活服务,,,合资  |  50-150人,,,,,
营销策划专员（周末双休）,广东乐天控股集团有限公司,7千-1万,广州·海珠区,大专,2年,"营销策划专员
产业园
办公地产策划
营销策划
公众号运营
五险一金
带薪年假
员工旅游
周末双休
生日会
免费班车
年终奖金",物业管理/商业中心,,,民营  |  150-500人,,,,,
市场营销专员,上海科梁信息科技股份有限公司,8千-1.2万·15薪,上海·徐汇区,本科,2年,"年终奖金
绩效奖金
节日福利
餐饮补贴
下午茶
五险一金
员工旅游
定期体检",电子技术/半导体/集成电路,,,民营  |  150-500人,,,,,
