职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
房产营销年薪20万起换工作首选,深圳市乐有家控股集团有限公司,7.5千-1.5万,深圳·龙岗区,大专,无需经验,"五险一金
员工旅游
弹性工作
绩效奖金
新房
二手房
商铺
豪宅
别墅
公寓",房地产,,,民营  |  10000人以上,,,,,
家电营销经理,海信集团中国区营销总部,6-9千,揭阳,本科,2年,"五险一金
年终奖金
定期体检",计算机软件,,,国企  |  10000人以上,,,,,
街铺营销顾问,香港经纬集团有限公司,7-8千·13薪,上海,大专,5-7年,"五险一金
绩效奖金
年终奖金
免费班车",多元化业务集团公司,,,外资（非欧美）  |  500-1000人,,,,,
营销专员,浙江非攻机械有限公司,4-8千,义乌,高中,无需经验,"销售
品牌推广
产品销售
营销支持
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
股票期权
年终奖金
绩效奖金
定期体检",机械/设备/重工,,,外资（非欧美）  |  少于50人,,,,,
阿幸彩妆-市场营销经理,成都市金牛区阿幸彩妆经营部,1-1.5万,成都,,2年,"社保
节日福利
带薪年假
定期体检
专业培训
高额提成
交通补贴
绩效奖金",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
副总经理（负责市场营销）,骏蓉智慧（成都）汽车服务有限公司,20-30万/年,成都·龙泉驿区,大专,2年,"总经理
副总经理
副总
总监
ceo
五险一金
免费班车
员工旅游
餐饮补贴
通讯补贴
专业培训
出国机会
绩效奖金
年终奖金
股票期权",汽车,,,民营  |  少于50人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销主管,浙江非攻机械有限公司,8千-1.2万,苏州,高中,2年,"品牌推广
产品销售
区域营销
销售主管
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
股票期权
年终奖金
绩效奖金
定期体检",机械/设备/重工,,,外资（非欧美）  |  少于50人,,,,,
市场/营销/拓展主管,太平人寿保险有限公司北京分公司,1.5-3万,北京·海淀区,本科,5-7年,"营销
团队管理
理财服务
理财规划师
理财规划
市场
策划
销售
专业培训
优秀奖金
节日福利
员工旅游
绩效奖金
弹性工作
定期体检",保险,,,民营  ,,,,,
家电营销经理,河北中美经贸有限公司,4-8千,石家庄,,1年,"经销商
家电
销售
区域销售
渠道销售
直销销售
业务员
销售代
弹性工作
带薪年假
绩效奖金
五险一金
年底双薪
加班补贴
节日福利",家具/家电/玩具/礼品,,,民营  |  50-150人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销营销总监,上海琛菲机械科技有限公司,15-20万/年,昆山,大专,5-7年,"营销总监
周末双休
带薪年假
包吃
高提成
绩效奖金",机械/设备/重工,,,民营  |  50-150人,,,,,
家电营销经理,海信集团中国区营销总部,6-9千,汕头·龙湖区,本科,2年,"五险一金
年终奖金
定期体检",计算机软件,,,国企  |  10000人以上,,,,,
楼面营销经理,湖南大成汇品商贸有限公司,5千-1万,长沙·开福区,大专,2年,"酒店营销餐饮
包吃
绩效奖金
节日福利
年终奖
五险一金",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
营销主管,浙江非攻机械有限公司,8千-1.2万,常州,高中,2年,"品牌推广
产品销售
区域营销
销售主管
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
股票期权
年终奖金
绩效奖金
定期体检",机械/设备/重工,,,外资（非欧美）  |  少于50人,,,,,
银保营销部CSP部门负责人,阳光人寿保险股份有限公司江苏分公司,7千-1.1万,泰州,本科,3-4年,"五险一金
年终奖金
定期体检
补充公积金
补充医疗保险
专业培训
通讯补贴
餐饮补贴
交通补贴",保险,,,民营  |  150-500人,,,,,
家电营销经理,海信集团中国区营销总部,6-9千,汕尾,本科,2年,"五险一金
年终奖金
定期体检",计算机软件,,,国企  |  10000人以上,,,,,
策划经理 （营销方向）,深圳市安晟发展有限公司,1-1.5万,深圳·南山区,大专,3-4年,"房地产
推广
营销
房地产市场
营销策略
营销计划
地产营销
项目推广
地产营销策划
带薪年假
五险一金
绩效奖金
节日福利
专业培训",房地产,,,民营  |  50-150人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
市场营销专员,湖北邦火营销策划有限公司,6-8千,宜昌·西陵区,,无需经验,"产品推广
绩效奖金
社保
工龄奖",互联网/电子商务,,,民营  |  150-500人,,,,,
营销财务主管（集团总部）,深圳市金百泽电子科技股份有限公司,1-1.5万,深圳·福田区,本科,3-4年,"财务管理
财务分析
风险管控
预算执行
营销预算
五险一金
年终奖金
带薪年假
周末双休",电子技术/半导体/集成电路,,,已上市  |  1000-5000人,,,,,
营销总监/经理,百盈(深圳)集团有限公司,2-4万,深圳,本科,8-9年,"医美销售
销售
市场推广
生物医药
副总经理
五险一金
节日福利
高温补贴
带薪年假
员工旅游
专业培训
绩效奖金
定期体检
包住宿
做五休二",多元化业务集团公司,,,外资（非欧美）  |  50-150人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销,湖南大成汇品商贸有限公司,300元/天,长沙·开福区,,1年,"快消品
经销商
五险一金
员工旅游
年终奖金
绩效奖金",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
实习生营销岗位无责底薪3k-8.2k+提成,太平人寿保险有限公司广东分公司,4-6千,广州·天河区,高中,无需经验,"补充医疗保险
员工旅游
出国机会
专业培训
弹性工作
绩效奖金
年终奖金
全勤奖
渠道销售
直销销售
保险电销
电话销售
客服
前台
普工
呼叫中心
销售代表",计算机软件,,,国企  |  1000-5000人,,,,,
营销财务经理（集团总部）,深圳市金百泽电子科技股份有限公司,1.5-2.5万,深圳·福田区,本科,5-7年,"营销财务
财务管理
风险管控
财务分析
销售财务
五险一金
年终奖金
带薪年假
周末双休",电子技术/半导体/集成电路,,,已上市  |  1000-5000人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
酒店营销,湖南大成汇品商贸有限公司,5千-1万,长沙·开福区,大专,2年,"酒店营销餐饮
包吃
绩效奖金
节日福利
年终奖
五险一金",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
营销总监/营销副总监,深圳市泽兴万年房地产开发有限公司,1.5-3万,深圳·福田区,大专,5-7年,,房地产,,,民营  |  500-1000人,,,,,
市场营销专员,湖北邦火营销策划有限公司,6-9千,宜昌·西陵区,,无需经验,"产品推广
线上沟通
五险一金
员工旅游
专业培训
出国机会
绩效奖金
年终奖金
通讯补贴",互联网/电子商务,,,民营  |  150-500人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
9k起储备店长/营销总裁直带教,深圳市乐有家控股集团有限公司,8.5千-1.5万,深圳·宝安区,大专,3-4年,"五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
绩效奖金
租赁
团队管理
二手房销售
管理六化
管理
门店店长",房地产,,,民营  |  10000人以上,,,,,
营销主管,成都锦泽两河企业管理有限公司,5-9千,成都·崇州市,大专,3-4年,"家居销售
销售目标
营销计划
量化考核
团队管理
餐饮补贴
年终奖金
节日福利
晋升机制健全",房地产,,,民营  |  150-500人,,,,,
总助（营销）,上海海虹实业（集团）有限公司,3-3.5万,合肥·巢湖市,本科,5-7年,"周末双休
做五休二
带薪年假
节日福利
餐饮补贴
五险一金
高温补贴",多元化业务集团公司,,,国企  |  1000-5000人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
电话、网络营销,合肥智测电子有限公司,4-8千,合肥,大专,1年,"市场营销
电话销售
绩效奖金
通讯补贴
五险一金
餐饮补贴
员工旅游",电子技术/半导体/集成电路,,,民营  |  50-150人,,,,,
营销策划主管,上海华悦投资发展有限公司,1-1.6万,上海·松江区,本科,3-4年,"策划
文案
活动策划
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",房地产,,,已上市  |  150-500人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,张掖,大专,5-7年,"销售
导航
遥感
开拓市场
农业
商务洽谈
水利
软件产品
政府行业
合同签订
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
营销部门负责人,深圳罗湖蓝海村镇银行股份有限公司,30-60万/年,深圳·罗湖区,本科,5-7年,"部门负责人
客户经理
总经理
经理
支行行长
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检
专业培训",银行,,,民营  |  50-150人,,,,,
渠道营销（德令哈）,华润雪花啤酒,6-8千·13薪,海西,本科,2年,"五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检",快速消费品(食品、饮料、化妆品),,,国企  |  10000人以上,,,,,
房地产营销部门经理G00117,深圳市人力资源服务有限公司,1-2万,深圳·南山区,本科,5-7年,"五险一金
带薪年假",专业服务(咨询、人力资源、财会),,,国企  |  1000-5000人,,,,,
二手车网络营销,中金国盛集团有限公司,4-6千,宁波·慈溪市,大专,1年,"五险一金
员工旅游
餐饮补贴
专业培训
销售
电商",批发/零售,,,民营  |  1000-5000人,,,,,
油漆店营销员,广州航灯科技有限公司,4-8千,广州·增城区,高中,1年,"弹性工作
员工旅游
专业培训
绩效奖金
营业员
销售店员
开发新客户
客户维护
销售",家居/室内设计/装潢,,,民营  |  50-150人,,,,,
社群营销专员,深圳市龙岗区欧派厨柜经销部,15-30万/年,深圳·龙岗区,大专,1年,"员工旅游
绩效奖金
五险
节日福利
包住宿
带薪年假
团购
微信
爆破",建筑/建材/工程,,,民营  |  150-500人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,岳阳,大专,5-7年,"销售
导航
遥感
开拓市场
农业
商务洽谈
水利
合同签订
软件产品
政府行业
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
高薪急聘营销储干/7.5K起薪/提供住宿,深圳市乐有家控股集团有限公司,6-8千,深圳·龙华区,大专,无需经验,"营销
租赁买卖
置业
置业顾问
二手房咨询
房屋买卖
五险一金
员工旅游
专业培训
绩效奖金
导师带教
提供住宿
节日福利",房地产,,,民营  |  10000人以上,,,,,
渠道营销（非现饮）,华润雪花啤酒,1.5-2万·13薪,北京·东城区,本科,3-4年,"五险一金
员工旅游
交通补贴
餐饮补贴
年终奖金
定期体检",快速消费品(食品、饮料、化妆品),,,国企  |  10000人以上,,,,,
集团营销总监,成都瑞新汇创实业有限公司,30-45万/年,成都·双流区,本科,8-9年,"管理
市场营销
五险一金
餐饮补贴
交通补贴
通讯补贴
出国机会
绩效奖金
定期体检
员工旅游",房地产,,,民营  |  50-150人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,广安,大专,5-7年,"销售
导航
遥感
开拓市场
农业
商务洽谈
水利
软件产品
政府行业
合同签订
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
教务老师/课程管理/市场营销,上海意舞文化传播有限公司,4-8千,上海·徐汇区,高中,1年,"五险一金
绩效奖金
年终奖金
教务
前台
销售
助理",影视/媒体/艺术/文化传播,,,民营  |  少于50人,,,,,
营销策划经理,武汉热尚商贸发展有限公司,9千-1.5万,武汉·江岸区,大专,3-4年,"社保
绩效奖金
年终奖金",批发/零售,,,民营  |  150-500人,,,,,
市场营销经理-阿里未来酒店,深圳市特发服务股份有限公司杭州分公司,1.5-2万,杭州·余杭区,大专,3-4年,"营销方案
数据敏感
分析解读
方案策划
营销玩法
项目管理
市场营销
五险一金
餐饮补贴
年终奖金",金融/投资/证券,,,合资  ,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,湖州·德清县,大专,5-7年,"销售
导航
遥感
开拓市场
农业
商务洽谈
水利
软件产品
政府行业
合同签订
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
市场/营销/拓展专员,四川中邦信汽车服务有限公司,5千-1万,成都·郫都区,高中,无需经验,"六险一金
补充医疗保险
补充公积金
免费班车
通讯补贴
交通补贴
专业培训
弹性工作
定期体检
年终奖金",交通/运输/物流,,,民营  |  少于50人,,,,,
营销推广专员1人：,河南国能电气建设集团有限公司,5-6千,郑州·高新区,大专,1年,"推广运营
平台运营
自媒体
自媒体运营
视频剪辑
互联网
抖音
微信
网站运营
内容创作
五险一金
单双休
提供住宿",建筑/建材/工程,,,民营  |  50-150人,,,,,
营销总监,福建嘉信人力资源服务有限公司,50-80万/年,山东省,大专,3-4年,"快消行业
传统渠道
业务推进
经销商开发
服务管控
销售价格
ka渠道
五险一金
带薪年假
员工旅游
通讯补贴
绩效奖金
年终奖金",专业服务(咨询、人力资源、财会),,,民营  |  50-150人,,,,,
营销经理,本源万物（南京）环境设备有限公司,1-1.5万,深圳·福田区,大专,2年,"销售工程师
销售代表
水处理",家具/家电/玩具/礼品,,,民营  |  50-150人,,,,,
银行客服营销岗+底薪4200+六险一金,招商信诺人寿保险有限公司,6千-1.2万·13薪,成都·武侯区,大专,无需经验,"五险一金
补充医疗保险
补充公积金
免费班车
员工旅游
年终奖金
定期体检
专业培训",保险,,,合资  |  5000-10000人,,,,,
医疗器械营销策划经理,武汉辰龙新材料技术有限公司,1-2万,武汉,大专,5-7年,"医疗器械
营销
市场调研
需求分析
销售
预测
目标
市场开拓
活动策划
绩效奖金
定期体检
员工旅游
节假福利
年终奖金
包食宿
项目提成
五险一金",建筑/建材/工程,,,民营  |  50-150人,,,,,
营销策划经理,珠海市爱婴岛商贸连锁有限公司,8千-1.5万,广州·海珠区,大专,2年,"五险一金
绩效奖金
年终奖金
定期体检",快速消费品(食品、饮料、化妆品),,,民营  |  1000-5000人,,,,,
营销开拓经理-sz,广东钛马车联网信息科技有限公司,1.5-2.5万·13薪,深圳·南山区,本科,3-4年,"五险一金
餐饮补贴
绩效奖金
弹性工作
周末双休
年终奖金
定期体检
销售
渠道销售",互联网/电子商务,,,民营  |  50-150人,,,,,
优才营销-车险保险金融银行贷款,中国平安人寿保险股份有限公司四川分公司,5千-1万,成都·武侯区,大专,3-4年,,保险,,,合资  ,,,,,
网络营销推广,大连佰吉纳科技有限公司,5千-1万,大连·高新园区,大专,3-4年,"网络营销
网站策划
营销
推广
市场分析
网站推广
电话接听
广告文案
运营营销
seo",仪器仪表/工业自动化,,,民营  |  少于50人,,,,,
营销专员,南昌申宝汽车部件有限公司,3-4千,南昌,大专,无需经验,"包吃住
餐饮补贴
绩效奖金
五险",汽车,,,民营  |  150-500人,,,,,
营销储备干部,广东中德电缆有限公司,5-5.5千,东莞·东坑镇,本科,1年,"包吃
节日福利
高温补贴
带薪年假
加班补贴
人才引进补贴
专业培训
包住
双休",通信/电信/网络设备,,,民营  |  1000-5000人,,,,,
营销副总监/区域经理/主管,广州开信通讯系统有限公司,1-1.5万,广州·黄埔区,大专,5-7年,"销售经理
渠道销售
区域销售
五险一金
补充医疗保险
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金",通信/电信/网络设备,,,民营  |  150-500人,,,,,
营销经理,广东美电贝尔科技集团股份有限公司,8千-1.5万,兰州·城关区,大专,1年,"员工旅游
餐饮补贴
通讯补贴
专业培训
定期体检",电子技术/半导体/集成电路,,,民营  |  500-1000人,,,,,
新零售营销总监,江苏喜上喜食品有限公司,1.8-2.5万,南通·海安市,大专,5-7年,五险一金,快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
新零售营销总监,东莞凤岗嘉辉塑胶五金有限公司,3-3.5万,东莞·凤岗镇,本科,5-7年,"新零售
销售
潮玩产品
带薪年假
免费班车
定期体检
年终奖金
五险一金
双休
提供吃住",办公用品及设备,,,已上市  |  1000-5000人,,,,,
营销代表,银讯汽车部件（重庆）有限公司,6-8千,重庆·江北区,大专,5-7年,"交通补贴
专业培训
通讯补贴
年终奖金
工作餐
生日福利
节假日福利",汽车零配件,,,民营  |  50-150人,,,,,
营销经理,苏州赛为斯环境科技有限公司,8千-1.5万,苏州·工业园区,大专,2年,"工程
环保
噪声治理
无责底薪
销售
双休
五险一金
五险一金
餐饮补贴
绩效奖金
定期体检
专业培训",环保,,,民营  |  少于50人,,,,,
新零售营销总监,江苏喜上喜食品有限公司,1.8-2.5万,南通·海安市,大专,5-7年,五险一金,快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
新零售营销总监,东莞凤岗嘉辉塑胶五金有限公司,3-3.5万,东莞·凤岗镇,本科,5-7年,"新零售
销售
潮玩产品
带薪年假
免费班车
定期体检
年终奖金
五险一金
双休
提供吃住",办公用品及设备,,,已上市  |  1000-5000人,,,,,
营销专员（KA销售）,昆山真金食品有限公司,6千-1.2万·14薪,昆山,大专,3-4年,"五险一金
免费班车
绩效奖金
年终奖金
定期体检
专业培训
销售",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
市场/营销/拓展经理,广州广尔数码供应链集团股份有限公司,1-2万,广州·天河区,本科,5-7年,"商务洽谈
组建新团队
开拓新市场
销售计划
渠道开发
合同签署
运营
带薪年假
五险一金
绩效奖金
通讯补贴
节日福利
专业培训
周末双休
年终奖",贸易/进出口,,,已上市  |  150-500人,,,,,
营销,西安天亿胶粘材料有限公司,8-10万/年,锦州,大专,2年,"五险一金
带薪年假
弹性工作
通讯补贴
餐饮补贴
员工旅游
年终奖金",石油/化工/矿产/地质,,,民营  |  50-150人,,,,,
营销经理,百道至诚（西安）信息科技有限公司,1.2-2.2万,株洲,本科,3-4年,"五险一金
绩效奖金
年终奖金",计算机软件,,,民营  |  50-150人,,,,,
市场营销培训师,重庆麦克渝生制药有限公司,6千-1.2万,重庆·渝北区,大专,5-7年,"培训
课程讲授
绩效奖金
全勤奖
专业培训",制药/生物工程,,,民营  |  500-1000人,,,,,
房产营销/7.5K起薪/深圳均可安排,深圳市乐有家控股集团有限公司,6-8千,深圳·宝安区,大专,无需经验,"买卖
房屋咨询
营销
接待客户
置业
区域楼盘
开发房源
五险一金
员工旅游
专业培训
绩效奖金
导师带教
提供住宿",房地产,,,民营  |  10000人以上,,,,,
大客户营销（公司提供资源） s,中国人民人寿保险股份有限公司四川省分公司,30-40万/年,成都·武侯区,本科,3-4年,"主管
销售
金融
双休
高薪
海归
硕士
理财
顾问
大客户",金融/投资/证券,,,国企  |  10000人以上,,,,,
营销策划,四川百泉教育咨询有限公司,5-8千,成都·金牛区,大专,2年,"五险
员工旅游
专业培训
绩效奖金
弹性工作
双休
法定节假日",教育/培训/院校,,,民营  |  50-150人,,,,,
营销经理（装配式建筑）,龙元明筑,20-30万/年,上海·闵行区,本科,3-4年,"装配式建筑
EPC销售
大客户开发
带薪年假
周末双休
五险一金
绩效奖金
全勤奖
节日福利
餐饮补贴
交通补贴",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销3.5k五险一金餐补,长沙科友科技实业有限公司,3.5-4.5千,长沙,大专,1年,"通讯补贴
高温补贴
交通补贴
餐饮补贴
弹性工作
周末双休
带薪年假
绩效奖金
节日福利
渠道销售
直销销售",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销策划专员,杭州东升服装小商品市场有限公司,6千-1万,杭州·上城区,大专,2年,"交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金
出国机会",批发/零售,,,民营  |  150-500人,,,,,
市场营销老师,合肥快师教育投资有限责任公司,6千-1.2万,合肥·蜀山区,本科,1年,"五险一金
补充公积金
餐饮补贴
通讯补贴
专业培训
绩效奖金
弹性工作
年终奖金",专业服务(咨询、人力资源、财会),,,民营  ,,,,,
营销经理,江苏苏星律师事务所,8千-1万,南京·建邺区,本科,3-4年,"客户开发
销售管理
弹性工作
五险一金
年终奖金
定期体检
绩效奖金
专业培训",法律,,,民营  |  少于50人,,,,,
项目营销负责人（葛店）,华润置地（武汉）有限公司,2-3万·16薪,鄂州,本科,3-4年,"五险一金
补充医疗保险
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
餐饮补贴",房地产,,,外资（非欧美）  |  150-500人,,,,,
全国营销总经理,上海睿康生物科技有限公司,2-4万·13薪,上海·闵行区,本科,5-7年,"五险一金
交通补贴
餐饮补贴
专业培训
超高提成",医疗设备/器械,,,民营  |  50-150人,,,,,
市场营销总监,广东瀚迪科技有限公司,2-2.5万,东莞·东城区,本科,8-9年,"营销总监
五险一金
餐饮补贴
专业培训
员工旅游
绩效奖金
年终奖金",机械/设备/重工,,,民营  |  150-500人,,,,,
市场/营销/拓展经理,欧劳福林（上海）精细化工贸易有限公司,7千-1.4万·13薪,武汉·洪山区,高中,3-4年,"电商
经销商
食品添加剂
周末双休
五险一金
绩效奖金
餐饮补贴
通讯补贴",贸易/进出口,,,外资（欧美）  |  150-500人,,,,,
主动营销主管（8k-10k）,昆明法尚经贸有限公司,8千-1.2万,昆明·西山区,大专,2年,"活动策划
活动策划执行
促销活动执行
团队打造
五险一金
餐饮补贴
带薪年假
绩效奖金
加班补贴",家居/室内设计/装潢,,,民营  |  150-500人,,,,,
营销策划专员,江西华众信息科技有限公司,7千-1万,南昌,大专,2年,"市场营销
品牌策划
策划制作
文稿编辑
推广文案
推广
市场调查
宣传资料
文案撰写
活动方案
五险一金
员工旅游
专业培训
股票期权
弹性工作
定期体检
绩效奖金
年终奖金
补充医疗保险
补充公积金",计算机软件,,,民营  |  1000-5000人,,,,,
营销经理（包住宿+双休）,杭州智思健信息技术有限公司,1-1.5万,杭州·拱墅区,大专,3-4年,"餐饮补贴
通讯补贴
绩效奖金
年终奖金
五险
员工旅游",贸易/进出口,,,民营  |  少于50人,,,,,
货代营销主任,广东格锐仓储管理有限公司,6千-1万,南宁·青秀区,本科,3-4年,"节日福利
通讯补贴
专业培训
五险一金
绩效奖金
业务提成
外勤补贴
交通补贴
货代
业务拓展
营销
开拓新业务
维护客户
进出口清报关
海运
汽运",交通/运输/物流,,,民营  |  50-150人,,,,,
营销策划岗,浙江保利房地产开发有限公司,8千-1.5万·16薪,舟山,本科,3-4年,"策划
文旅项目
市场环境
市场报告
媒体对接
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
绩效奖金
定期体检
年终奖金",房地产,,,国企  |  150-500人,,,,,
市场营销总监,文畅教育咨询有限公司,7千-1.2万,南通·如东县,大专,1年,"五险一金
年终奖金
包住宿
节日福利
专业培训
高温补贴
交通补贴
员工旅游
绩效奖金",教育/培训/院校,,,民营  |  少于50人,,,,,
月薪5600以上市场营销实习生,长沙市雅各日用品贸易有限公司,6-8千,长沙,,无需经验,"专业培训
包住宿
绩效奖金
节日福利",批发/零售,,,民营  |  50-150人,,,,,
广发银行营销经理（双休+六险一金）,广发银行股份有限公司南昌分行,1-1.5万,赣州·章贡区,大专,无需经验,"周末双休
带薪年假
绩效奖金
六险一金
年终奖
专业培训
职业晋升
节日福利",银行,,,合资  |  50-150人,,,,,
市场/营销/拓展专员,青岛世纪卓新新材料科技有限公司,4-8千,青岛·崂山区,大专,无需经验,"电商
展会
做五休二
周末双休
五险一金
节日福利",原材料和加工,,,民营  |  少于50人,,,,,
市场部主管（市场营销主管）五天制双休,武汉兴通力电源技术有限公司,6千-1万·13薪,武汉·武汉经济开发区,大专,5-7年,"市场营销
市场企划
市场拓展
提供住宿
五险
餐饮补贴
绩效奖金
全勤奖
节日福利
专业培训
带薪年假
慰问金",电子技术/半导体/集成电路,,,民营  |  150-500人,,,,,
营销总监,江苏洞庭山矿泉水集团有限公司,2-3万,苏州·吴中区,大专,8-9年,"管理
市场开拓
门店管理
五险一金
餐饮补贴",快速消费品(食品、饮料、化妆品),,,民营  |  500-1000人,,,,,
外跑市场营销+月薪8k+食宿,湖南安拓贸易有限公司,6千-1万,长沙·芙蓉区,,无需经验,"五险一金
年终奖金
绩效奖金
专业培训
弹性工作
高温补贴
餐饮补贴
年轻团队
团队氛围好
公平晋升
销售
销售代表
销售专员
业务员
客户代表
销售顾问
区域销售
出差专员
储备干部
实习生",快速消费品(食品、饮料、化妆品),,,民营  |  50-150人,,,,,
网络营销员,江苏顺达交通设施有限公司,3.5-7千,常州·新北区,大专,2年,"专业培训
绩效奖金
定期体检
五险
包吃
节日福利
全勤奖
提成",交通/运输/物流,,,民营  |  150-500人,,,,,
营销总监,宁波昂振塑料制品科技有限公司,1.2-1.5万,宁波·余姚市,本科,5-7年,"制造业
带薪年假
健康体检
年终奖金
工作餐
五险一金
交通补贴",贸易/进出口,,,外资（欧美）  |  50-150人,,,,,
营销管培生/7.5K起/无经验要求,深圳市乐有家控股集团有限公司,7.5千-1.3万,深圳·福田区,大专,无需经验,"五险一金
餐饮补贴
绩效奖金
专业培训
员工旅游
午休+晚休
年假
节日关怀礼
买卖
接待客户
房屋咨询
租赁服务",房地产,,,民营  |  10000人以上,,,,,
市场营销专员,珠海惠友电子有限公司,6-8千,珠海,高中,1年,"销售
营销
市场
业务
定期体检
五险一金
员工旅游
绩效奖金
年终奖金
专业培训",电子技术/半导体/集成电路,,,民营  |  50-150人,,,,,
营销经理,江西鼎峰装备科技有限公司,1-2万,九江,高中,2年,"五险
绩效奖金
年终奖金
免费班车
弹性工作
补充公积金
通讯补贴
交通补贴
餐饮补贴
员工旅游",机械/设备/重工,,,民营  |  50-150人,,,,,
区域营销经理,鑫博海生物医疗科技有限公司,20-40万/年,常州·钟楼区,大专,2年,"实验动物
医疗净化
医疗设备
区域经理
商务经理
实验动物设施
净化工程
五险一金
专业培训
交通补贴
餐饮补贴
弹性工作
业务提成",建筑/建材/工程,,,民营  |  150-500人,,,,,
营销策划岗,浙江保利房地产开发有限公司,8千-1.5万·16薪,舟山,本科,3-4年,"策划
文旅项目
市场环境
市场报告
媒体对接
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
绩效奖金
定期体检
年终奖金",房地产,,,国企  |  150-500人,,,,,
