职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源经理（干部管理、档案管理）,2-2.5万,上海·黄浦区,5-7年,本科,"五险一金
定期体检
补充公积金
绩效奖金
餐饮补贴
交通补贴
通讯补贴
年终奖金",上海投资咨询集团有限公司,国企  |  1000-5000人,专业服务(咨询、人力资源、财会),一线,20000-25000,20000,25000,1000-5000人,国企,22500,二级
人力资源总监,1.5-3万,东莞·黄江镇,8-9年,本科,"培训
管理
招聘
团队管理
人力资源
人力资源战略
组织建设
人才储备
企业文化建设
五险
包吃住
年终奖金",爱合发工业传动科技（广东）有限公司,民营  |  150-500人,机械/设备/重工,新一线,15000-30000,15000,30000,150-500人,民营,22500,二级
人力资源主管,6-8千,北京·大兴区,2年,本科,"五险一金
员工旅游
定期体检",北京光辉天成生物科技有限公司,民营  ,制药/生物工程,一线,6000-8000,6000,8000,,民营,7000,四级
人力资源专员,7-9千,深圳·南山区,2年,大专,"招聘
工资核算
人工成本预算
人力资源配置
五险一金
餐饮补贴
专业培训
绩效奖金",深圳鹏爱医院投资管理有限公司,已上市  |  1000-5000人,医疗/护理/卫生,一线,7000-9000,7000,9000,1000-5000人,已上市,8000,四级
人力资源部部长,1.5-2.5万,宜春,5-7年,本科,"绩效奖金
五险一金
双休",深圳仕博管理咨询有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),三线,15000-25000,15000,25000,50-150人,民营,20000,二级
人力资源主管/经理,8千-1万·13薪,武汉·东湖新技术产业开发区,5-7年,本科,"人事
人事主管
人事行政经理
周末双休
带薪年假
五险一金
绩效奖金
餐饮补贴",武汉纳磁生物科技有限公司,民营  |  50-150人,医疗设备/器械,新一线,8000-10000,8000,10000,50-150人,民营,9000,三级
人力资源总监,1-1.8万·13薪,中山·东区,5-7年,本科,"人才发展
人事
人力
总监
副总监
经理
双休
培训
组织与发展
规划
五险一金
专业培训
定期体检
带薪年假
周末双休
补充医疗保险
年终奖金
绩效奖金
管理扁平
晋升公平",中山市汉普管理顾问有限公司,民营  |  1000-5000人,外包服务,二线,10000-18000,10000,18000,1000-5000人,民营,14000,二级
人力资源主管,8千-1.5万,南京·浦口区,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
弹性工作
年终奖金
绩效奖金
公司发展好
专业培训
定期体检",南京信源通智能科技有限公司,合资  |  少于50人,电子技术/半导体/集成电路,新一线,8000-15000,8000,15000,少于50人,合资,11500,三级
人力资源管理师 （绩效管理方向）,6千-1万,淮安·金湖县,无需经验,本科,"绩效
人事
五险一金
绩效奖金
专业培训
大平台
高晋升",牧原食品股份有限公司,已上市  |  10000人以上,农/林/牧/渔,三线,6000-10000,6000,10000,10000人以上,已上市,8000,四级
人力资源,1.5-2万,杭州·拱墅区,2年,本科,"五险一金
带薪年假
节日福利
周末双休
高温补贴",树兰医疗管理股份有限公司,民营  |  1000-5000人,医疗/护理/卫生,新一线,15000-20000,15000,20000,1000-5000人,民营,17500,二级
经理助理（人力资源管理）--舟山,1.8-2.4万,舟山,5-7年,本科,"人事管理
经理助理
人力资源管理
综合管理
五险一金
员工旅游
绩效奖金
年终奖金
定期体检
补充医疗保险
专业培训",浙江交投矿业有限公司,国企  |  150-500人,石油/化工/矿产/地质,四线,18000-24000,18000,24000,150-500人,国企,21000,二级
人力资源总监,2-3万,杭州·余杭区,10年以上,本科,"人事经理
人事总监
五险一金
绩效奖金
股票期权
补充医疗保险",浙江诺特健康科技股份有限公司,民营  |  500-1000人,医疗/护理/卫生,新一线,20000-30000,20000,30000,500-1000人,民营,25000,二级
周浦万达直聘人力资源经理,1-1.5万,上海·浦东新区,10年以上,本科,"人事经理
人事主管
行政",上海荣懿投资管理有限公司,民营  |  少于50人,生活服务,一线,10000-15000,10000,15000,少于50人,民营,12500,二级
人力资源管理师 （绩效管理方向）,6千-1万,泰州·海陵区,无需经验,本科,"绩效
人事
五险一金
绩效奖金
专业培训
大平台
高晋升",牧原食品股份有限公司,已上市  |  10000人以上,农/林/牧/渔,三线,6000-10000,6000,10000,10000人以上,已上市,8000,四级
人力资源专员,4-5千,宜昌,1年,本科,"招聘
住房公积金
入离职
人才梯队
信息统计
五险一金
餐饮补贴
专业培训
定期体检",宜昌稻香隆商务信息咨询有限公司,民营  |  10000人以上,快速消费品(食品、饮料、化妆品),三线,4000-5000,4000,5000,10000人以上,民营,4500,五级
资深人力资源管理师（招聘）,1.5-2.5万,嘉兴,8-9年,本科,"包住宿
包吃
五险一金
节日福利
员工旅游
定期体检
年终奖金
出国机会",卫星化学股份有限公司,已上市  |  1000-5000人,石油/化工/矿产/地质,二线,15000-25000,15000,25000,1000-5000人,已上市,20000,二级
资深人力资源专员（绩效/培训）,6-8千,广州·白云区,2年,大专,"绩效专员
人事专员
培训专员
包住宿
全勤奖
包吃
五险
专业培训
大小周
餐饮补贴
通讯补贴
团建活动
每年多次调薪",广州希利服饰有限公司,民营  |  150-500人,服装/纺织/皮革,一线,6000-8000,6000,8000,150-500人,民营,7000,四级
人力资源专员,5-8千,广州·花都区,3-4年,大专,"企业文化建设
人力资源规划
岗位分析
包住宿
包吃
节日福利
专业培训",广州珠江电力设备实业有限公司,民营  |  50-150人,电气/电力/水利,一线,5000-8000,5000,8000,50-150人,民营,6500,四级
人力资源专员,5-5.1千,南京·玄武区,5-7年,大专,"管理
人事
培训计划
员工培训
离职
人事档案
数据维护
劳动合同管理
人力资源战略
调动
五险一金
绩效奖金
年终奖金
定期体检
餐饮补贴",南京全民健身中心有限公司,国企  |  50-150人,娱乐/休闲/体育,新一线,5000-5100,5000,5100,50-150人,国企,5050,四级
人力资源专员（招聘培训方向）,5-8千·15薪,合肥·高新区,3-4年,本科,"五险一金
员工旅游
专业培训
定期体检
年终奖金
周末双休
餐饮补贴
交通补贴
绩效奖金",安徽至博光电科技股份有限公司,合资  |  150-500人,多元化业务集团公司,新一线,5000-8000,5000,8000,150-500人,合资,6500,四级
人力资源专员,4-8千,苏州·高新区,1年,大专,五险一金,苏州优众企业管理咨询有限公司,外资（欧美）  ,计算机软件,新一线,4000-8000,4000,8000,,外资（欧美）,6000,四级
人力资源招聘经理,1.2-2.4万,成都·武侯区,2年,大专,"绩效奖金
年终奖金
五险一金
周末双休
弹性工作
通讯补贴",四川百益人力资源管理有限公司,民营  ,专业服务(咨询、人力资源、财会),新一线,12000-24000,12000,24000,,民营,18000,二级
人力资源经理/总监,1-2万,深圳·宝安区,3-4年,大专,"人力资源经理
人事经理
人事行政经理
五险
节日福利
全勤奖",深圳市远景时尚科技有限公司,民营  |  150-500人,服装/纺织/皮革,一线,10000-20000,10000,20000,150-500人,民营,15000,二级
人力资源经理（广佛沃尔玛）,7-9千·13薪,广州·黄埔区,3-4年,本科,"绩效奖金
定期体检
购物折扣优惠
用餐购物折扣
带薪年假
节日福利
五险一金
每周轮休2天
年终双薪",沃尔玛（广东）商业零售有限公司,外资（欧美）  |  10000人以上,批发/零售,一线,7000-9000,7000,9000,10000人以上,外资（欧美）,8000,四级
人力资源专员,5.5-6.5千,深圳,1年,大专,"人事专员
周末双休
8小时
六险一金
提供工作餐
节日福利
带薪年假
定期体检",深圳东海安保物业管理有限公司,合资  |  500-1000人,物业管理/商业中心,一线,5500-6500,5500,6500,500-1000人,合资,6000,四级
人力资源项目驻场管理员,4.5-6.5千,杭州·滨江区,1年,大专,"节假日福利
五险一金
员工旅游
年终奖金
定期体检
餐饮补贴
绩效奖金
专业培训",浙江瑞峰人力资源服务有限公司,民营  |  150-500人,专业服务(咨询、人力资源、财会),新一线,4500-6500,4500,6500,150-500人,民营,5500,四级
人力资源主管,6千-1万,北京·丰台区,2年,本科,"招聘
劳动合同签订
人事档案
手续办理
人才储备
五险一金增减
沟通渠道
人才招聘
安排面试
入转调离
五险一金
带薪年假
发展空间大",北京京溢数字科技有限公司,民营  |  少于50人,计算机软件,一线,6000-10000,6000,10000,少于50人,民营,8000,四级
人力资源总监（专业线）,2-4万,深圳·福田区,8-9年,本科,"五险一金
周末双休
补充医疗保险
专业培训
免费晚餐
节日礼品",北京中资国恒实业集团有限公司,民营  ,计算机软件,一线,20000-40000,20000,40000,,民营,30000,一级
人力资源经理（高薪诚聘）,6-8千,郑州·郑东新区,2年,大专,"人事经理
人资经理
五险一金
专业培训
员工旅游
年终奖金
绩效奖金
弹性工作",河南天骄医药科技有限公司,民营  |  50-150人,制药/生物工程,新一线,6000-8000,6000,8000,50-150人,民营,7000,四级
人力资源经理（广佛沃尔玛）,7-9千·13薪,佛山·禅城区,3-4年,本科,"绩效奖金
定期体检
购物折扣优惠
用餐购物折扣
带薪年假
节日福利
五险一金
每周轮休2天
年终双薪",沃尔玛（广东）商业零售有限公司,外资（欧美）  |  10000人以上,批发/零售,新一线,7000-9000,7000,9000,10000人以上,外资（欧美）,8000,四级
人力资源总监HRD,4-6.5万·15薪,上海·杨浦区,5-7年,本科,人力资源战略,大连市卓客企业管理咨询有限公司,民营  ,计算机软件,一线,40000-65000,40000,65000,,民营,52500,一级
人力资源主管,6-8千,西安,2年,本科,"管理体系
人事资料管理
员工档案
招聘计划
五险一金
年终奖金
带薪年假
节日福利
绩效奖金
周末双休",西安新艾电气技术有限公司,民营  |  50-150人,电气/电力/水利,新一线,6000-8000,6000,8000,50-150人,民营,7000,四级
人力资源部人力综合岗,8千-1.2万,哈尔滨·松北区,2年,硕士,"五险一金
企业年金
补充医疗保险
交通补贴
通讯补贴
绩效奖金
年终奖金
专业培训",江海证券有限公司,国企  |  1000-5000人,金融/投资/证券,二线,8000-12000,8000,12000,1000-5000人,国企,10000,三级
绩效薪酬专员/人力资源专员/人事专员,6千-1.2万,上海·青浦区,2年,大专,"五险一金
免费班车
员工旅游
绩效奖金
工龄奖金
食宿补贴",上海韵达供应链管理有限公司,已上市  |  10000人以上,交通/运输/物流,一线,6000-12000,6000,12000,10000人以上,已上市,9000,三级
人力资源管理师,8千-1万,东莞·横沥镇,3-4年,大专,"招聘
人事专员
人事主管
招聘主管",东莞市中泰新能源技术开发有限公司,民营  |  500-1000人,新能源,新一线,8000-10000,8000,10000,500-1000人,民营,9000,三级
人力资源部经理,1.5-2.5万,东莞·松山湖区,10年以上,本科,"员工关系
培训
人才发展
薪酬绩效
五险一金
年终奖金
周末双休
带薪年假
节日福利
餐饮补贴
提供住宿",深圳市乐普泰科技股份有限公司,民营  |  50-150人,原材料和加工,新一线,15000-25000,15000,25000,50-150人,民营,20000,二级
人力资源部人力综合岗,1-1.5万,上海·浦东新区,2年,硕士,"五险一金
企业年金
补充医疗保险
交通补贴
通讯补贴
绩效奖金
年终奖金
专业培训",江海证券有限公司,国企  |  1000-5000人,金融/投资/证券,一线,10000-15000,10000,15000,1000-5000人,国企,12500,二级
绩效薪酬专员/人力资源专员/人事专员,7千-1万,上海·青浦区,3-4年,大专,"五险一金
免费班车
绩效奖金
工龄奖金
食宿补贴",上海韵达供应链管理有限公司,已上市  |  10000人以上,交通/运输/物流,一线,7000-10000,7000,10000,10000人以上,已上市,8500,三级
人力资源专员,0.8-1万,北京·大兴区,3-4年,本科,"五险一金
员工旅游
餐饮补贴
专业培训
年终奖金
定期体检",科德角国际生物医学科技（北京）有限公司,民营  |  少于50人,制药/生物工程,一线,08000-10000,8000,10000,少于50人,民营,9000,三级
人力资源管理师,6-8千·13薪,苏州·姑苏区,3-4年,本科,"招聘
培训
五险一金
定期体检
带薪年假
年终奖金
工作餐
商业保险
员工旅游",金陵华软科技股份有限公司,已上市  |  1000-5000人,多元化业务集团公司,新一线,6000-8000,6000,8000,1000-5000人,已上市,7000,四级
人力资源专员（薪酬+招聘）,7-9千,上海·徐汇区,1年,大专,"招聘
薪酬
薪资福利
五险一金
年终奖金
带薪年假
通讯补贴
定期体检
加班补贴",上海适达餐饮管理有限公司,外资（欧美）  |  5000-10000人,快速消费品(食品、饮料、化妆品),一线,7000-9000,7000,9000,5000-10000人,外资（欧美）,8000,四级
综合管理部人力资源,9千-1.4万,上海·长宁区,1年,本科,"五险一金
补充医疗保险
补充公积金
绩效奖金
定期体检
孝敬父母金
免费机票
家属医疗资助",金鹿（北京）公务航空有限公司,民营  |  150-500人,航天/航空,一线,9000-14000,9000,14000,150-500人,民营,11500,三级
人力资源专员,3-5千,西安·未央区,1年,大专,"人事
办公用品采购
员工招聘
行政管理体系
入职手续办理
入职培训体系
员工关系
行政管理
预约接待
企业文化建设
五险一金
绩效奖金
双休",陕西国瑞安防技术有限公司,民营  |  少于50人,办公用品及设备,新一线,3000-5000,3000,5000,少于50人,民营,4000,五级
人力资源部招聘管理岗（面试官）,1.2-2.3万,武汉·武昌区,5-7年,本科,"招聘管理
人才库
体系建设
招聘分析
人才培养体系
甄选
招聘工具
招聘流程
招聘渠道
人才盘点
五险一金
补充医疗保险
餐饮补贴
绩效奖金
定期体检",湖北农业发展集团有限公司,国企  ,农/林/牧/渔,新一线,12000-23000,12000,23000,,国企,17500,二级
人力资源专员,5千-1万,苏州·姑苏区,1年,本科,"五险一金
节日福利
员工餐",国投宝原（苏州）健康产业有限公司,国企  |  少于50人,医疗/护理/卫生,新一线,5000-10000,5000,10000,少于50人,国企,7500,四级
人力资源专员 (MJ000399),7千-1.2万,杭州·上城区,1年,本科,"人力资源
薪酬福利体系
入离调转
员工关系
统计
数据
汇总统计分析
五险一金
餐饮补贴
定期体检
专业培训
福利年假
绩效奖金
补充医疗保险",思美传媒股份有限公司,已上市  |  500-1000人,广告,新一线,7000-12000,7000,12000,500-1000人,已上市,9500,三级
人力资源专员,5.5-6.5千·13薪,深圳·龙岗区,3-4年,本科,"五险一金
年终奖金",杭州绿茶餐饮管理有限公司,民营  |  5000-10000人,餐饮业,一线,5500-6500,5500,6500,5000-10000人,民营,6000,四级
人力资源专员（偏招聘）,7.5-8.5千,深圳·福田区,3-4年,本科,"人力资源
招聘
员工关系
HRBP
餐饮补贴
周末双休
节日福利
购买社保
零食下午茶",深圳盈沨科技有限公司,民营  |  少于50人,快速消费品(食品、饮料、化妆品),一线,7500-8500,7500,8500,少于50人,民营,8000,四级
人力资源主管,1-1.5万·13薪,北京·海淀区,5-7年,本科,"员工关系
薪酬绩效
入转调离
社保公积金
五险一金
餐饮补贴
通讯补贴
定期体检
专业培训",东方微银科技股份有限公司,民营  |  150-500人,计算机软件,一线,10000-15000,10000,15000,150-500人,民营,12500,二级
人力资源主管,6-8千,南昌·红谷滩新区,5-7年,大专,"包吃
五险一金",寰宇城建集团有限公司南昌红谷滩区分公司,民营  ,建筑/建材/工程,二线,6000-8000,6000,8000,,民营,7000,四级
人力资源及行政主任,1-1.4万·13薪,上海,3-4年,大专,"带薪年假
节日福利
年终奖金
定期体检
五险一金",上海嘉英物业管理有限公司,外资（欧美）  |  50-150人,物业管理/商业中心,一线,10000-14000,10000,14000,50-150人,外资（欧美）,12000,三级
人力资源主任-招聘,7千-1万,广州,3-4年,本科,五险一金,广东赛壹便利店有限公司,合资  |  5000-10000人,批发/零售,一线,7000-10000,7000,10000,5000-10000人,合资,8500,三级
经理助理（人力资源管理）,1.8-2.4万,舟山,5-7年,本科,"人事管理
经理助理
人力资源管理
综合管理
五险一金
员工旅游
绩效奖金
年终奖金
定期体检
补充医疗保险
专业培训",浙江交投矿业有限公司,国企  |  150-500人,石油/化工/矿产/地质,四线,18000-24000,18000,24000,150-500人,国企,21000,二级
储备人力资源部长,1.5-2万,长沙·岳麓区,5-7年,本科,"五险一金
弹性工作
专业培训",深圳万科祥盈管理服务有限公司,民营  ,房地产,新一线,15000-20000,15000,20000,,民营,17500,二级
人力资源专员,6千-1万,昆山,5-7年,大专,"带薪年假
五险一金
包住宿
绩效奖金
全勤奖
节日福利
专业培训
高温补贴",昆山速品食品有限公司,民营  |  150-500人,快速消费品(食品、饮料、化妆品),新一线,6000-10000,6000,10000,150-500人,民营,8000,四级
人力资源经理,1-1.5万·16薪,杭州·上城区,5-7年,本科,"人力资源
绩效管理
员工关系
地产行业
劳资关系处理
人力资源薪酬
绩效反馈
绩效结果应用
带薪年假
五险一金
高温补贴
餐饮补贴
节日福利
专业培训
绩效奖金
年终奖金
周末双休",润加物业服务（上海）有限公司,国企  |  500-1000人,物业管理/商业中心,新一线,10000-15000,10000,15000,500-1000人,国企,12500,二级
人力资源经理,1-1.7万·13薪,深圳,5-7年,本科,"员工关系
招聘
激励
方案落地
五险一金
年终奖金
专业培训
定期团建
做五休二
餐饮补贴
节假日礼物",锦泓时装集团股份有限公司,已上市  |  1000-5000人,服装/纺织/皮革,一线,10000-17000,10000,17000,1000-5000人,已上市,13500,二级
人力资源专员,5.5-7千·14薪,天津·东丽区,3-4年,本科,"招聘
培训
五险一金
补充医疗保险
免费班车
年终奖金
定期体检",麦格纳汽车镜像（天津）有限公司,外资（欧美）  |  500-1000人,汽车,新一线,5500-7000,5500,7000,500-1000人,外资（欧美）,6250,四级
人力资源管理（组织/人才发展/绩效改进方向）,8千-1.5万,大连,5-7年,本科,"带薪年假
五险一金
专业培训
节日福利
绩效奖金
定期体检
免费班车
员工旅游",大连达利凯普科技股份公司,民营  |  150-500人,电子技术/半导体/集成电路,二线,8000-15000,8000,15000,150-500人,民营,11500,三级
集团人力资源经理,9千-1.5万,深圳·龙华区,8-9年,大专,"包吃
全勤奖
节日福利
带薪年假",深圳市都市嘉餐饮管理服务有限公司,民营  |  1000-5000人,餐饮业,一线,9000-15000,9000,15000,1000-5000人,民营,12000,三级
人力资源部员工管理岗 (MJ000212),5-8千,福州·台江区,3-4年,本科,"员工关系
员工培训
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",富德生命人寿保险股份有限公司福建分公司,民营  |  10000人以上,保险,二线,5000-8000,5000,8000,10000人以上,民营,6500,四级
人力资源专员-SSC,7-8千,上海,1年,大专,"节日福利
五险一金
补充医疗保险
周末双休",上海芮想信息科技有限公司,民营  |  1000-5000人,计算机软件,一线,7000-8000,7000,8000,1000-5000人,民营,7500,四级
人事经理/人力资源经理(J10279),2-3万·13薪,上海·浦东新区,3-4年,本科,"招聘
hrbp
人才发展
薪酬绩效
员工关系
培训
医药研发
五险一金
员工旅游
免费班车
餐饮补贴
专业培训
绩效奖金
定期体检",上海京新生物医药有限公司,已上市  |  150-500人,制药/生物工程,一线,20000-30000,20000,30000,150-500人,已上市,25000,二级
人力资源主管HRBP,6-8千·13薪,广州·南沙区,3-4年,本科,"五险一金
提供住宿
交通补贴
高温补贴
通讯补贴
专业培训
年终奖金
提供工作餐",中交城投绿城（广东）物业服务有限公司,已上市  |  10000人以上,物业管理/商业中心,一线,6000-8000,6000,8000,10000人以上,已上市,7000,四级
人力资源管理专任教师,5-8.5千,海口·美兰区,1年,硕士,"周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校,三线,5000-8500,5000,8500,1000-5000人,已上市,6750,四级
人力资源专家（偏干部管理）,1.5-2万,南京,8-9年,本科,"干部管理
考核激励
职级职等
员工职业发展
人才盘点
五险一金
补充医疗保险
年终奖金
绩效奖金
餐饮补贴
定期体检
节日福利
带薪年假",南京三宝科技股份有限公司,已上市  |  500-1000人,计算机服务(系统、数据服务、维修),新一线,15000-20000,15000,20000,500-1000人,已上市,17500,二级
高薪人力资源主管-直聘,5千-1万,昆明·官渡区,2年,本科,"招聘
面试
猎头
简历筛选
五险一金
餐饮补贴
员工旅游
年终奖金
绩效奖金
通讯补贴
股票期权
弹性工作",云南州驰企业管理有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),二线,5000-10000,5000,10000,50-150人,民营,7500,四级
人力资源专员（档案管理）,5-7千,北京·朝阳区,10年以上,本科,"周末双休
带薪年假
五险一金
专业培训
餐饮补贴
定期体检
补充医疗保险",华润紫竹药业有限公司,国企  |  10000人以上,制药/生物工程,一线,5000-7000,5000,7000,10000人以上,国企,6000,四级
人力资源实习生（招聘） (MJ001615),3千及以下,杭州·西湖区,无需经验,本科,"五险一金
专业培训
定期体检",杭州艾迪康医学检验中心有限公司,民营  |  1000-5000人,医疗/护理/卫生,新一线,,,,1000-5000人,民营,0,五级
人力资源助理,2-4千,广州,1年,大专,"包吃
包住
上市公司
免费班车
五险一金
定期体检
员工旅游
绩效奖金
年终奖金",广东好太太科技集团股份有限公司,已上市  |  1000-5000人,家具/家电/玩具/礼品,一线,2000-4000,2000,4000,1000-5000人,已上市,3000,五级
人力资源专员/助理(高薪双休),5千-1万,杭州·上城区,无需经验,大专,"招聘
人力资源管理
资料整理
入职
面试邀约
人事档案
培训计划
培训
办公软件
意见收集
五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",中国人寿保险股份有限公司杭州市分公司,已上市  |  10000人以上,保险,新一线,5000-10000,5000,10000,10000人以上,已上市,7500,四级
经理助理（人力资源管理）,2-2.4万,舟山,5-7年,本科,"人事管理
经理助理
人力资源管理
综合管理
五险一金
员工旅游
绩效奖金
年终奖金
定期体检
补充医疗保险
专业培训",浙江交投矿业有限公司,国企  |  150-500人,石油/化工/矿产/地质,四线,20000-24000,20000,24000,150-500人,国企,22000,二级
人力资源助理,3.2-4.2千,昆明,1年,本科,"人力资源管理
人力资源
行政管理
员工管理
入职培训
招聘
五险一金
年终奖金
专业培训
定期体检
绩效奖金",昆明英茂花卉产业有限公司,民营  |  150-500人,农/林/牧/渔,二线,3200-4200,3200,4200,150-500人,民营,3700,五级
人力资源招聘经理（房地产公司）,1-2万·14薪,上海,5-7年,本科,"人力资源经理
招聘经理
人事经理",上海金宏浦投资管理有限公司,民营  |  500-1000人,房地产,一线,10000-20000,10000,20000,500-1000人,民营,15000,二级
人力资源管理员,5-8千,漳州,2年,本科,"招聘
包住宿
五险一金
带薪年假
餐饮补贴
通讯补贴
年终奖金
定期体检",漳州旗滨光伏新能源科技有限公司,已上市  |  1000-5000人,新能源,三线,5000-8000,5000,8000,1000-5000人,已上市,6500,四级
人力资源部经理,8千-1.5万,武汉·硚口区,5-7年,大专,"五险一金
带薪年假
节日福利
生日聚会
定期体检
专业培训
周末双休",深圳市海王星辰健康药房连锁有限公司,已上市  |  1000-5000人,医疗/护理/卫生,新一线,8000-15000,8000,15000,1000-5000人,已上市,11500,三级
人力资源业务主管,1-1.5万·13薪,广州·天河区,3-4年,大专,"专业培训
餐饮补贴
免费聚餐
集体免费团建",广州达而球物业管理服务有限公司,民营  |  150-500人,外包服务,一线,10000-15000,10000,15000,150-500人,民营,12500,二级
总公司-人力资源部-招聘管理,1-2万,上海·虹口区,1年,硕士,"带薪年假
五险一金
专业培训
交通补贴
餐饮补贴
通讯补贴
定期体检",复星联合健康保险股份有限公司,合资  |  150-500人,保险,一线,10000-20000,10000,20000,150-500人,合资,15000,二级
HRBP/人力资源主管,9千-1.5万,深圳·南山区,5-7年,本科,"招聘
员工关系
服务业
医美行业
招聘交付
协同管理
人才发展
薪酬绩效
培训
业务赋能
五险一金
交通补贴
专业培训
年终奖金
绩效奖金
弹性工作
发展空间大",广州奈瑞儿健康医疗投资有限公司,民营  |  150-500人,医疗/护理/卫生,一线,9000-15000,9000,15000,150-500人,民营,12000,三级
人力资源经理,1.5-3万,上海,10年以上,硕士,"hrbp
培训
招聘
交通补贴
餐饮补贴
五险一金
全勤奖",上海强生轻工有限公司,民营  |  500-1000人,多元化业务集团公司,一线,15000-30000,15000,30000,500-1000人,民营,22500,二级
人力资源主管,5-7千,上海·浦东新区,3-4年,大专,"五险一金
交通补贴
年终奖金
定期体检",上海宏申信息科技有限公司,民营  |  少于50人,互联网/电子商务,一线,5000-7000,5000,7000,少于50人,民营,6000,四级
人力资源总监,6千-1万,大连·中山区,3-4年,本科,"人力资源
人力资源管理
人力资源体系
沟通谈判
员工发展
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
通讯补贴",柴米油盐（大连）农贸生鲜超市有限公司,民营  |  50-150人,餐饮业,二线,6000-10000,6000,10000,50-150人,民营,8000,四级
人力资源运营管理岗(J12496),1.5-3万,上海·浦东新区,3-4年,硕士,"五险一金
专业培训
年终奖金
定期体检
补充医疗保险
餐饮补贴
通讯补贴
绩效奖金
交通补贴",东北证券股份有限公司,已上市  |  1000-5000人,金融/投资/证券,一线,15000-30000,15000,30000,1000-5000人,已上市,22500,二级
人力资源部招聘高级专员(HR)(029191),7千-1万,西安·未央区,3-4年,本科,"绩效奖金
带薪年假
交通补助
通讯津贴
午餐补助
扁平管理
免费班车
领导好
定期体检
管理规范",西安隆基清洁能源有限公司,民营  |  10000人以上,新能源,新一线,7000-10000,7000,10000,10000人以上,民营,8500,三级
人力资源专员,4.5-6千,济南·历下区,3-4年,大专,"人事
招聘
人事专员
行政
招聘专员
文员
人事主管
人事助理
员工旅游
专业培训
五险一金",山东东创物业管理有限公司,民营  |  1000-5000人,物业管理/商业中心,二线,4500-6000,4500,6000,1000-5000人,民营,5250,四级
人力资源主管(J10134),6-8千,嘉兴,3-4年,大专,"五险一金
年终奖金
绩效奖金
带薪年假
定期体检
员工旅游",浙江宏利汽配集团有限公司,民营  |  1000-5000人,汽车零配件,二线,6000-8000,6000,8000,1000-5000人,民营,7000,四级
人力资源主管,7千-1.2万,东莞·长安镇,3-4年,大专,"战略规划
人力资源
人力资源战略
人力资源计划
员工关系
职业发展规划
人员编制
用工制度
工作目标
员工手册
五险一金
年终奖金
绩效奖金
餐饮补贴
定期体检
带薪年假
包三餐
包住宿",东莞市倍益康科技有限公司,民营  |  150-500人,电子技术/半导体/集成电路,新一线,7000-12000,7000,12000,150-500人,民营,9500,三级
人力资源专员（苏河湾）,6-6.5千,上海·浦东新区,3-4年,大专,"带薪年假
全勤奖
绩效奖金
节日福利
交通补贴
补充商业保险
工作餐",上海鄂尔多斯物业管理有限公司,民营  |  50-150人,房地产,一线,6000-6500,6000,6500,50-150人,民营,6250,四级
酒店人力资源总监,1-1.5万,深圳·龙华区,10年以上,本科,"五险一金
节日福利
零食下午茶
公司团建",所以（深圳）互联网科技有限责任公司,民营  |  少于50人,互联网/电子商务,一线,10000-15000,10000,15000,少于50人,民营,12500,二级
人力资源专员-编制管理方向（HS1336）,7千-1.3万,深圳·宝安区,3-4年,本科,"五险一金
员工旅游
餐饮补贴
绩效奖金
年终奖金
定期体检",大族激光科技产业集团股份有限公司,已上市  |  10000人以上,多元化业务集团公司,一线,7000-13000,7000,13000,10000人以上,已上市,10000,三级
人力资源专员/招聘/校招鸿星尔克,5-7千,东莞·南城区,1年,大专,"招聘
考勤
员工关系
社招
校招
校园招聘
人力资源专员
人事专员
人力资源主管
招聘主管
环境优美
领导nice
社会保险
年终奖金
绩效奖金
员工旅游
节假日福利
专业培训
弹性工作
内购福利",东莞市鸿鹄体育用品有限公司,民营  |  10000人以上,批发/零售,新一线,5000-7000,5000,7000,10000人以上,民营,6000,四级
培优生（人力资源方向）,6千-1.2万,西安·雁塔区,无需经验,硕士,"管培生
培优生
培训生
五险一金
通讯补贴
餐饮补贴
全勤奖
加班补助
周末双休",西安华纲建设工程管理有限公司,民营  ,建筑/建材/工程,新一线,6000-12000,6000,12000,,民营,9000,三级
人力资源经理,7千-1万,江门·新会区,5-7年,本科,"人事
人事主管
招聘
行政
五险一金
餐饮补贴
通讯补贴
专业培训
交通补贴
全勤奖
公费培训
标准工时",广东翔龙建设工程有限公司,民营  |  少于50人,建筑/建材/工程,三线,7000-10000,7000,10000,少于50人,民营,8500,三级
