职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源部经理,8千-1万,武汉·洪山区,3-4年,本科,"人力资源规划
人力资源
员工关系
劳动纠纷
专业培训
五险
节日福利
餐饮补贴",武汉华堂环境工程投资有限公司,民营  |  50-150人,环保,新一线,8000-10000,8000,10000,50-150人,民营,9000,三级
人力资源总监,2-4万,湛江,10年以上,本科,"HRD
五险一金
年终奖金",湛江卷烟包装材料印刷有限公司,民营  |  500-1000人,印刷/包装/造纸,三线,20000-40000,20000,40000,500-1000人,民营,30000,一级
人力资源HRBP,8千-1.6万·13薪,佛山·三水区,3-4年,本科,"人力资源
招聘
培训
hrbp
团队运作
五险一金
餐饮补贴
交通补贴
通讯补贴
双休
绩效奖金",佛山市明明德智业人力资源管理咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),新一线,8000-16000,8000,16000,少于50人,民营,12000,三级
人力资源部主任/ 副主任（总院/分院）,1.5-2万,上海·徐汇区,5-7年,本科,"做五休二
弹性工作
带薪年假
五险一金
绩效奖金
节日福利
专业培训
餐饮补贴
通讯补贴",上海爱尔眼科医院有限公司,已上市  |  150-500人,医疗/护理/卫生,一线,15000-20000,15000,20000,150-500人,已上市,17500,二级
人力资源部总监,8千-1万,无锡·滨湖区,5-7年,本科,"五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",无锡怡和医院管理有限公司,民营  |  150-500人,医疗/护理/卫生,二线,8000-10000,8000,10000,150-500人,民营,9000,三级
人力资源总监,8千-1.5万,苏州·高新区,5-7年,本科,"节日福利
专业培训
五险一金
绩效奖金",苏州元珏服饰有限公司,民营  |  500-1000人,服装/纺织/皮革,新一线,8000-15000,8000,15000,500-1000人,民营,11500,三级
人力资源专员,4-6千,常德,1年,本科,"五险一金
免费班车
年终奖金
周末双休
定期体检
餐饮补贴
通讯补贴
弹性工作
绩效奖金",湖南湘投金天钛业科技股份有限公司,国企  |  150-500人,原材料和加工,四线,4000-6000,4000,6000,150-500人,国企,5000,五级
人力资源总监,1-1.5万,杭州·上城区,5-7年,本科,"高温补贴
五险
餐饮补贴",浙江新月控股集团有限公司,民营  |  1000-5000人,贸易/进出口,新一线,10000-15000,10000,15000,1000-5000人,民营,12500,二级
人力资源总监,1.5-2万,广州·增城区,5-7年,本科,"人力资源总监
人才发展
餐饮行业
薪酬绩效
包吃
包住宿
节日福利
高温补贴
加班补贴
法定节假日
商业保险",广州市德润餐饮管理有限公司,民营  |  500-1000人,餐饮业,一线,15000-20000,15000,20000,500-1000人,民营,17500,二级
人力资源经理,1-1.5万,上海·黄浦区,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检",国药控股国大药房有限公司,国企  |  10000人以上,批发/零售,一线,10000-15000,10000,15000,10000人以上,国企,12500,二级
人力资源管理,6-8千,天津·滨海新区,3-4年,大专,"五险一金
年终奖金
包吃
节日福利
高温补贴
市内有班车
绩效奖金",天津环渤新材料有限公司,民营  ,石油/化工/矿产/地质,新一线,6000-8000,6000,8000,,民营,7000,四级
人力资源部经理,6-8千,昆明·盘龙区,3-4年,大专,人事经理,云南众赢供应链管理有限公司,民营  |  少于50人,交通/运输/物流,二线,6000-8000,6000,8000,少于50人,民营,7000,四级
人力资源专员（股份公司）,6-8千,宁波·鄞州区,3-4年,本科,"人力资源
人事
人员招聘
统筹
五险一金
员工旅游
周末双休
年终奖金
绩效奖金
节假日福利
专业培训
节日福利
全勤奖
高温补贴",永泰运化工物流股份有限公司,民营  |  500-1000人,交通/运输/物流,新一线,6000-8000,6000,8000,500-1000人,民营,7000,四级
人力资源副经理,7-9千,南京·鼓楼区,5-7年,本科,"招聘
培训
员工关系
餐饮补贴",江苏国致商业集团有限公司,民营  |  50-150人,房地产,新一线,7000-9000,7000,9000,50-150人,民营,8000,四级
幼儿园人力资源（浦东万科幼儿园）,6千-1万,上海,3-4年,本科,"hr
教育行业
员工关怀
外教
招聘渠道
福利发放
薪资计算
五险一金
员工旅游
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",上海德英乐教育投资有限公司,民营  |  500-1000人,教育/培训/院校,一线,6000-10000,6000,10000,500-1000人,民营,8000,四级
人力资源主管,0.8-1万,佛山,2年,大专,"人事专员
人事主管
免费班车
绩效奖金
加班补贴",广东飞度实业发展有限公司,民营  |  150-500人,服装/纺织/皮革,新一线,08000-10000,8000,10000,150-500人,民营,9000,三级
人力资源总监,3-5万,南京·浦口区,10年以上,本科,"五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",南京亿高医疗科技股份有限公司,民营  |  500-1000人,医疗设备/器械,新一线,30000-50000,30000,50000,500-1000人,民营,40000,一级
人力资源主管,6-7.5千,上海·黄浦区,1年,大专,"五险一金
通讯补贴
绩效奖金
定期体检
周末双休
节日福利
补充医疗保险
员工旅游
专业培训
年终奖金",上海立信锐思信息管理有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),一线,6000-7500,6000,7500,50-150人,民营,6750,四级
人力资源经理（制造方向）,1.8-2.5万·14薪,深圳·龙华区,10年以上,本科,"五险一金
股票期权
绩效奖金
年终奖金
餐饮补贴
通讯补贴",深圳市捷顺科技实业股份有限公司,已上市  |  1000-5000人,计算机软件,一线,18000-25000,18000,25000,1000-5000人,已上市,21500,二级
人力资源处总监,1.8-2.5万,上海·嘉定区,3-4年,本科,"薪酬绩效
人力资源
人事总监
人事
五险一金
餐饮补贴
通讯补贴
定期体检
专业培训
绩效奖金",上海同合医院管理有限公司,民营  |  150-500人,医疗/护理/卫生,一线,18000-25000,18000,25000,150-500人,民营,21500,二级
人力资源主管(J18180),8千-1.2万·13薪,深圳·龙华区,3-4年,本科,"五险一金
员工旅游
专业培训
年终奖金
定期体检",广州赛意信息科技股份有限公司,已上市  |  5000-10000人,计算机软件,一线,8000-12000,8000,12000,5000-10000人,已上市,10000,三级
人力资源专业经理,1-1.5万,南京·栖霞区,5-7年,本科,"人力资源
绩效管理
人力资源管理
excel
劳动关系管理
维护员工关系
激励制度
薪酬数据分析
劳动法规
制造业
免费班车
员工旅游
专业培训
通讯补贴
交通补贴
年终奖金
绩效奖金
包吃住
五险",江苏卡思迪莱服饰有限公司,民营  |  1000-5000人,服装/纺织/皮革,新一线,10000-15000,10000,15000,1000-5000人,民营,12500,二级
幼儿园人力资源（德英乐周浦幼儿园）,6千-1万,上海·浦东新区,3-4年,本科,"教育行业
福利发放
薪资计算
外教
hr
五险一金
交通补贴
通讯补贴
定期体检",上海德英乐教育投资有限公司,民营  |  500-1000人,教育/培训/院校,一线,6000-10000,6000,10000,500-1000人,民营,8000,四级
人力资源部主管,7千-1万,佛山·顺德区,3-4年,本科,"招聘
培训
hrbp
薪酬绩效
人才发展
员工关系
考勤
五险一金
员工旅游
交通补贴
通讯补贴
绩效奖金
定期体检
周末双休
补充医疗保险
公积金
餐饮补贴",广东威凯表面技术有限公司,民营  |  少于50人,石油/化工/矿产/地质,新一线,7000-10000,7000,10000,少于50人,民营,8500,三级
人力资源经理,9千-1.3万,广州,5-7年,大专,"人事
人事主管
员工旅游
年终奖金
通讯补贴
五险一金
专业培训
定期体检
包吃",广东省恩齐尼迩特种塑料股份有限公司,民营  |  50-150人,贸易/进出口,一线,9000-13000,9000,13000,50-150人,民营,11000,三级
人力资源管理,7千-1.2万·13薪,成都·双流区,3-4年,本科,"培训体系
招聘体系
五险一金
定期体检
餐饮补贴
交通补贴
周末双休
专业培训
绩效奖金",成都迈科康生物科技有限公司,民营  |  50-150人,制药/生物工程,新一线,7000-12000,7000,12000,50-150人,民营,9500,三级
人力资源经理,4.5-6千,西安·高新技术产业开发区,3-4年,大专,"人事主管
招聘
人事
通讯补贴
绩效奖金
股票期权
员工旅游
专业培训",宝鸡市诚信工业气体有限公司,民营  |  少于50人,仪器仪表/工业自动化,新一线,4500-6000,4500,6000,少于50人,民营,5250,四级
人力资源及行政助理（薪酬绩效）,5-7千,珠海,1年,本科,"绩效管理
薪酬核算
人力资源管理
绩效薪酬管理
人工成本核算
免费班车
五险一金
有住宿",珠海荟信科技有限公司,外资（非欧美）  |  150-500人,多元化业务集团公司,二线,5000-7000,5000,7000,150-500人,外资（非欧美）,6000,四级
人力资源副总监,1.5-2.5万·13薪,佛山·南海区,5-7年,本科,"五险一金
定期体检
绩效奖金",何氏蹦蹦鱼（广州）生态渔业开发有限公司,民营  |  150-500人,农/林/牧/渔,新一线,15000-25000,15000,25000,150-500人,民营,20000,二级
集团人力资源经理,1.5-2.5万,海宁,5-7年,本科,"纺织
人力资源规划
组织发展
绩效管理
人力资源
组织架构
生产制造
生产与销售
集团公司
国际品牌
团队氛围好
专业培训
工作稳定
有社保
五险一金
发展平台好
纺织集团
多元发展",佛山市铭信诚润滑油有限公司,民营  |  50-150人,批发/零售,新一线,15000-25000,15000,25000,50-150人,民营,20000,二级
人力资源主管,7千-1万,常州,3-4年,大专,"人力资源管理
人力资源
五险一金",江苏亚示照明集团有限公司,民营  |  500-1000人,电子技术/半导体/集成电路,二线,7000-10000,7000,10000,500-1000人,民营,8500,三级
人力资源专员,6-7千·13薪,广州·黄埔区,2年,本科,"招聘
人力资源
员工关系
手续办理
入转调离
五险一金
补充医疗保险
餐饮补贴
绩效奖金",广州越秀怡城商业运营管理有限公司,国企  |  500-1000人,物业管理/商业中心,一线,6000-7000,6000,7000,500-1000人,国企,6500,四级
人力资源负责人,1-2万,德阳,3-4年,本科,"培训
管理
人力资源管理
行政管理
员工关系
招聘
节日福利
年终奖金
弹性工作
专业培训
绩效奖金
五险一金",四川才库人力资源服务有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),四线,10000-20000,10000,20000,少于50人,民营,15000,二级
人力资源总监,1-1.3万,深圳·福田区,5-7年,本科,"招聘
人才发展
五险一金
周末双休",非易利道（深圳）品牌管理有限公司,民营  |  少于50人,家居/室内设计/装潢,一线,10000-13000,10000,13000,少于50人,民营,11500,三级
人力资源,1.2-2.4万,武汉·江汉区,5-7年,硕士,"人力资源
五险一金
补充医疗保险
通讯补贴
绩效奖金
定期体检
专业培训
餐饮补贴
年终奖金",武汉金控现代供应链管理有限公司,国企  |  50-150人,贸易/进出口,新一线,12000-24000,12000,24000,50-150人,国企,18000,二级
人力资源主管,7千-1万,嘉兴·桐乡市,3-4年,本科,"人力资源管理
企业文化建设
人事招聘
劳动合同签订
人力资源发展
人事规章制度
劳动诉讼
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
弹性工作",浙江朗祺医疗科技有限公司,民营  |  500-1000人,医疗设备/器械,二线,7000-10000,7000,10000,500-1000人,民营,8500,三级
