职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
营销专员,江苏悟飞能源科技有限公司,1-1.2万,无锡-滨湖区,03-07发布,1年经验,江苏悟飞能源科技有限公司,新能源,一、岗位职责1、负责客户的开发、维护所辖区域销售渠道资源和终端客户资源;2、做好本区域客户的收集、统计工作，并且能够有意识的对客户进行分析分类，有效跟进;3、结合公司指标，制定个人业绩目标以及销售计划;4、负责与客户签订销售合同，并督促合同正常如期履行;5、收集、分析所辖区域竞争厂家信息，制定合理的营销计划;6、遵守公司各项制度。二、岗位要求1、有相关销售方面的经验2、能接受出差3、能独立开车4、沟通能力强,民营  |  150-500人
营销科学产品运营-解决方案,字节跳动,1.5-3万,,,,下午茶,互联网/电子商务,,民营  |  10000人以上
AO史密斯社区营销人员,南京持盈贸易有限公司,5千-1万,南京-雨花台区,大专,1年经验,五险一金,家具/家电/玩具/礼品,负责区域内公司产品在小区渠道的调研、开发及销售工作，能充分理解并有效复制公司社区化商业模式，服务客户，树立良好的公司形象及产品口碑；负责公司已开发新老小区新老用户的维护：做好定期、不定期拜访、推荐产品合作、及时处理小区业主群内产品答疑、产品知识宣传等工作，培养核心铁用户，深挖客户需求，寻找二次销售机会及服务；负责公司已签约小区物业的工作维护：小区驻点、小区落地活动的对接与实施，保持与物业人员的沟通黏性，拓展销售机会点；除公司已开发小区及物业外，能有效拓展楼盘资源，拓宽业务渠道、具有收集行业信息并定期进行转化；岗位要求：***，20-35岁；大专及以上学历，条件优秀者可放宽至高中；有小区拓展或者家电销售经验优先；吃苦耐劳，思维灵活，爱学习，能不断创新不断改变的市场经营模式，并适时改变自己的销售方式；,民营  |  150-500人
营销经理,三一重卡,8千-1.5万·13薪,,,,五险一金,机械/设备/重工,,民营  |  500-1000人
全链营销中心高级总监（新媒体方向）-东风凌悦,东风汽车集团股份有限公司,3.5-4万,,,,五险一金,汽车,,国企  |  10000人以上
养老社区营销专家,杭州灏沫信息咨询服务有限公司,40-80万,,,,五险一金,贸易/进出口,,外资（非欧美）  
资质咨询营销总监,湖北平安之星科技有限公司,9千-1.8万,武汉-江汉区,大专,5-7年经验,销售总监,建筑/建材/工程,岗位职责：1、根据总经理的全年工作计划，确定资质营销部门的经营总目标及分解目标、制定营销部门管理方案及部门薪酬提成体系，业务开展过程中执行及完善部门营销方案和管理制度。2、负责带领、指导营销部门在武汉市场、湖北省各地州市开展资质咨询、合作业务的市场开拓。3、全过程指导营销部员工进行资质业务营销工作，奖优汰劣，带领团队完成部门经营目标。4、指导业务人员通过电话、微信、网络、商情信息、拜访面谈等方式，对资质咨询、合作需求客户提供个性化的咨询合作服务，定期的对客户进行回访、沟通，提高客户与公司、业务人员的粘度及合作深度。5、对所属部门的客户进行维护，使营销部实现安防、弱电、智能化、网络系统集成、消防、市政、机电、道路照明等工程企业客户、系统集成客户、行业产品供应商的开发与合作纵深拓展。积极维护行业内大客户、核心客户的客情关系，达成长期的资质咨询合作，促进业务的可持续发展。6、收集并主导分析、反馈行业客户信息、行业市场情报，挖掘客户需求，协助部门人员完成个人业绩目标，达成公司年度业绩目标。5、在本部门内进行客户资源分配，指导各团队成员开展有效的咨询服务工作，带领各团队完成所属部门分配的业绩任务。6、完成公司总经理安排的其他工作任务。薪酬结构：1、底薪+个人业绩月度提成+年终奖+月度销冠奖+部门管理提成（总提成比超20%）任职要求：1、有安防、消防、建筑工程、安防、消防、智能化器材营销行业营销总监五年以上工作经验或建筑行业资质咨询、合作3年工作经验人员重点录用。2、大专及以上学历，思维逻辑性强，思维敏捷，口齿清晰。能熟练使用Word、Excel办公软件。3、有较强的学习能力与优秀的沟通能力及50~100人团队管理能力，对销售工作有较高热情。3、有良好的应变能力、承压能力，性格坚韧，工作态度积极，事业责任心强。4、有安防、消防行业工作经历，熟悉并了解资质咨询合作，有实操工作经验者优先录用，重点培养及快速晋升。,民营  |  少于50人
营销策划（双休）,赛恩福兹（广州）食品科技研究院有限公司,6千-1万,,,,营销,快速消费品(食品、饮料、化妆品),,民营  |  少于50人
市场营销总监,陕西中勉投资有限公司酒店管理分公司,1-2万,,,,带薪年假,酒店/旅游,,国企  |  50-150人
新零售营销总监,江苏喜上喜食品有限公司,1.8-2.5万,南通-海安市,大专,5-7年经验,五险一金,快速消费品(食品、饮料、化妆品),岗位职责：1、根据公司业务目标及规划，制定新零售板块的战略、业务目标及销售运营计划；2、独立负责线上新零售渠道规划、开发及运营，包括直播电商、社群电商、社交电商等销售平台的合作，以完成整体销售目标；3、协同公司其他部门建立并管理公司在新零售板块的整体规范，包括形象视觉体系、消费者评价体系、忠诚度会员体系等；4、建立新零售板块用户服务体系，根据新零售产品运营数据，不断优化行动方案以提升业务核心指标；5、负责统筹协调本部门工作（运营、推广、设计、客服），设定合理的KPI并做好团队的人才搭建、管理、培养等，建立高效的团队，并打造有效的团队协作机制；岗位要求：1、大专及以上学历，28-35周岁，5年以上相关经验，思维活跃，有较强的沟通、协调、谈判、业务拓展及渠道销售能力；2、熟悉微商、团购、直播、视频号等新零售的运作模式，具备新零售运营项目（小程序、短视频、直播等）成功案例积累，具有创新精神；3、熟悉直播及新媒体非平台性渠道的合作方式及推广办法；4、有食品、快消品行业经验，私域运营为主，公域运营为辅；5、具备团队管理经验和能力，具备出色的逻辑分析能力和沟通表达能力。,民营  |  少于50人
网络营销专员,淄博沃泰斯石化设备有限公司,4-5千,淄博,大专,无需经验,公众号推广,机械/设备/重工,,民营  |  少于50人
市场营销专员,珠海惠友电子有限公司,6-8千,,,,销售,电子技术/半导体/集成电路,,民营  |  50-150人
营销策划专员（周末双休）,广东乐天控股集团有限公司,7千-1万,,,,营销策划专员,物业管理/商业中心,,民营  |  150-500人
新零售营销总监,江苏喜上喜食品有限公司,1.8-2.5万,南通-海安市,大专,5-7年经验,五险一金,快速消费品(食品、饮料、化妆品),岗位职责：1、根据公司业务目标及规划，制定新零售板块的战略、业务目标及销售运营计划；2、独立负责线上新零售渠道规划、开发及运营，包括直播电商、社群电商、社交电商等销售平台的合作，以完成整体销售目标；3、协同公司其他部门建立并管理公司在新零售板块的整体规范，包括形象视觉体系、消费者评价体系、忠诚度会员体系等；4、建立新零售板块用户服务体系，根据新零售产品运营数据，不断优化行动方案以提升业务核心指标；5、负责统筹协调本部门工作（运营、推广、设计、客服），设定合理的KPI并做好团队的人才搭建、管理、培养等，建立高效的团队，并打造有效的团队协作机制；岗位要求：1、大专及以上学历，28-35周岁，5年以上相关经验，思维活跃，有较强的沟通、协调、谈判、业务拓展及渠道销售能力；2、熟悉微商、团购、直播、视频号等新零售的运作模式，具备新零售运营项目（小程序、短视频、直播等）成功案例积累，具有创新精神；3、熟悉直播及新媒体非平台性渠道的合作方式及推广办法；4、有食品、快消品行业经验，私域运营为主，公域运营为辅；5、具备团队管理经验和能力，具备出色的逻辑分析能力和沟通表达能力。,民营  |  少于50人
