职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
营销策划经理,宁波易猎信息科技有限公司,20-35万/年,宁波,大专,5-7年经验,五险一金,计算机软件,1、全面负责集团营销策划方案制订；2、负责各单元子公司营销策划方案、推广方案、费用管控方案的审核及落地工作；3、负责市场调研、策划，制订市场营销与品牌推广策略，改善企业形象，塑造品牌影响力；4、协助指导并审核各单元子公司各阶段销售目标、费用预算、商业模式、产品规划、运作周期等策略，把握市场营销方向；5、上级交代的其他工作。任职要求：1、大专及以上学历，同岗位工作经验三年以上；2、具备家电行业背景，过往公司规模年销售额2亿以上；3、熟悉电商、新零售及线下分销等运营模式；4、具备丰富的团队管理经验和较强的成本意识，有较强的领导能力。,民营  |  50-150人
主动营销专员/经理/执行老师,蔻彩环保科技（上海）有限公司,6千-1.2万·13薪,上海-长宁区,中技/中专,2年经验,经销商,建筑/建材/工程,岗位职责：1、负责公司常规月度活动的策划以及执行；2、负责重点经销商门店的活动策划以及落地执行；3、负责经销商员工的培训以及管理工作。职位要求1、营销、管理等相关大专以上学历，2年以上市场营销或门店管理经验，有家居建材行业经验优先；2、能独立策划以及执行营销活动；3、40岁以下，男女不限，能适应中短期出差；4、沟通能力强，逻辑思维清晰，落地执行力强。,合资  |  50-150人
营销策划,四川百泉教育咨询有限公司,5-8千,成都-金牛区,大专,2年经验,五险,教育/培训/院校,选择我们的理由：1、四川百泉教育咨询有限公司是一家已有十九年积淀和发展的现代化企业。与大型国企及民营企业有深度合作，为其提供定制内训及各类管理类培训。2、现为公司高速发展及扩张期。加入公司，可享受广阔的晋升及发展空间。薪酬福利：薪酬：基本工资+绩效奖金+奖金+社保+年终奖+旅游等其他福利；上班时间：8:30—17:30，周末双休。入职即可享受十五天超长春节带薪假期；免费培训：有健全的员工培训体系，为每一位员工提供系统化的学习培训。同时可参加公司各类管理培训课程；福利：提供节假日福利、生日福利、每月都有丰富有趣的员工活动。氛围：超级NICE的领导及同事，轻松有趣的工作氛围。工作环境：办公环境：紧邻交大，中午可到学校食堂就餐，欣赏校园美景；交通便利：公司楼下即有地铁及快速公交。您的工作内容：1、根据公司经营目标及市场战略，制定营销计划方案。跟踪监督营销方案的实施，收集反馈，分析数据，持续优化营销方案；2、根据公司及部门产品战略，策划制作相关产品及策略的营销材料；3、完成上级交办的其他相关工作。您需要具备哪些条件：1、大专及以上学历，广告、营销、新闻传媒等相关专业优先；2、有较强的文案写作、语言表达和数据分析能力，具备较强的学习能力和优秀的逻辑分析能力，善于发现问题并解决问题。,民营  |  50-150人
营销总监（南浔）,上海平高企业集团有限公司,1.8-2.5万,湖州-南浔区,大专,2年经验,五险一金,多元化业务集团公司,岗位职责：1、负责南浔项目的营销策划、项目案场管理、渠道拓展等综合控盘工作，具有一定的操盘和团队管理经验；2、依据公司目标，制定营销计划，推广并监督实施，组建并带教团队，培训并激励团队成员完成业务指标，对执行情况定期分析和总结；3、负责项目定位，客群定位，及营销推广的策略的制定，并指导项目案场的活动策划执行，现场氛围、销售物料及案场的整体管控；4、负责与渠道、相关政府资源等关系的建立；5、解决营销过程中的突发事件；6、建立客户档案，整合客户资源，协调团队成员做好客户服务工作及客户关系管理；7、负责对下属人员的日常管理及绩效考核等部门内部管理工作。任职要求：1、大专及以上学历，市场营销相关专业毕业，熟悉南浔及长三角地区市场情况；2、具备8年以上大中型房企营销管理经验，2年以上同等岗位任职经验，独立主持操盘过至少3个以上房地产楼盘项目的营销管理工作；3、具备良好的沟通能力，及协调内外各部门的能力；4、对渠道整合有一定的经验和资源。,民营  |  1000-5000人
营销总监,广东信基创新科技园开发有限公司,2-3万,肇庆-高要区,大专,8-9年经验,五险一金,房地产,,民营  |  50-150人
营销专员,浙江非攻机械有限公司,5-8千,苏州,高中,无需经验,五险一金,机械/设备/重工,岗位职责：区域营销，负责公司上海事务所苏、锡、常区域内公司产品销售及品牌推广工作。经历要求：机械相关经验，有直线传动产品销售经验优先，人员经事务所负责人培训并考核合格后聘用上岗,外资（非欧美）  |  少于50人
营销总监,陕西惠尔房地产开发集团有限公司,25-40万/年,西安,本科,8-9年经验,房地产,房地产,1、制定公司的营销战略，销售计划以及销售方案；2、制定年度业绩目标以及经营发展战略方案、整体营销策划方案，实现企业营销策划目标；3、负责制定项目产品定位、价格定位、市场定位、客群定位，把控营销环节的运作统筹；4、负责市场调研，提供市场研究数据及相关支持；5、参与项目可行性研究，提供投资决策和项目定位的建议和相关信息；6、组织项目营销策划方案、营销推广方案和费用预算的编制及评审；7、组织编制项目营销推广方案及推广费用预算，并对其实施情况进行监控；8、负责评选和推荐销售代理公司、各类营销创新手段、营销渠道的研究和推广；9、负责管理审核销售工作计划和销售分析，提出营销策略调整建议；10、管理开盘前中后的销售风险和督导案场各项管理工作；11、带领营销团队进行客户梳理、完成团队月度、年度的签约、回款指标，达成业绩指标。二、任职要求1、8年以上市场、销售、策划相关工作经验，3年以上房地产行业同岗位工作经验，至少同时完整操作过3个10万平方米以上的楼盘的策划、销售管理，有成功销售案例；2、具备敏锐的市场洞察力，较强的市场分析、销售、推广能力，把握行业市场动态和市场方向，具备战略思维；3、优秀的团队建设经验，团队管理能力强，善于协调营销团队的工作，具有较强的沟通能力、协调能力、计划和执行能力；4、工作严谨，抗压力强，熟悉西安房地产市场情况及资源情况。,民营  |  500-1000人
营销总监,安徽喜尔美企业管理有限公司,1-2万,合肥-高新区,本科,5-7年经验,市场营销策划,计算机服务(系统、数据服务、维修),1.学历：本科以上学历；年龄45岁以下；如有特殊能力可降低要求；2.8年以上大中型企业岗位工作经验，其中至少有5年以上销售管理经验；3.有较强的市场分析能力和洞察能力；有较强的市场营销策划能力，有过大型成功的市场营销策划案例者优先；4.熟悉电子领域的行业现状和动态趋势，有一定的客户和渠道资源；5.熟悉线下传统渠道和电子商务平台的运作和渠道开发。,民营  |  50-150人
市场营销专员,广州市野草科技有限责任公司,5-8.5千,广州-黄埔区,中技/中专,无需经验,弹性工作,互联网/电子商务,一、市场营销：职位描述通过公司的系统培训，和公司给予的优质客户资源，或与渠道沟通交流和网络营销/市场营销，电话营销等，推广寻找符合公司要求的客户，邀约客户上门沟通或主动联系客户，促进签约。任职资格：1、初中以上学历；2、有销售经验者或有一定的才艺者优先；接受没经验，有专门的入职培训；3、能吃苦耐劳，有一定的抗压能力、谈判能力薪酬福利：底薪+高提成+奖金月均不低于5千。月收入1W以上是常态，最富有竞争力的薪酬，能者多劳。惊人的机会，将成就你的一生！一旦录用，包吃包住，将享受免以下待遇1、提供免费专业岗前培训、手把手的带，手把手的教，快速提升综合技能，2、传统节日礼品、现金红包+奖励旅游+季度奖+年终奖3、各种节日关怀，伙伴生日会庆祝，每个月都有户外活动，烧烤，KTV等活动。4.奖励旅游制度！每月省内外团队省内外旅游，表现优秀者公司奖励国外旅游。工作时间：一天工作8小时，***，享受国家节假日公司地址：广州市黄埔区黄埔区黄埔东路3888号B区4楼4025,民营  |  50-150人
营销专员,浙江非攻机械有限公司,5-8千,台州,高中,无需经验,五险一金,机械/设备/重工,岗位职责：区域营销，负责公司上海事务所苏、锡、常区域内公司产品销售及品牌推广工作。经历要求：机械相关经验，有直线传动产品销售经验优先，人员经事务所负责人培训并考核合格后聘用上岗,外资（非欧美）  |  少于50人
市场/营销/拓展总监,荆州市好师教育咨询服务有限责任公司,5千-1万,荆州-沙市区,本科,5-7年经验,荆州市好师教育咨询服务有限责任公司,教育/培训/院校,1，组织拟定营销策略，市场策略，销售渠道策略等。2，策划品牌宣传及渠道推广。3，组织销售活动，管理销售团队。,民营  
营销策划经理,广州市我购科技有限公司,8千-1万,广州-白云区,大专,3-4年经验,策划,计算机软件,岗位职责：1、负责材料企业系统销售各类营销策划工作；2、负责图文资料策划、视频资料、产品功能介绍直播；3、产品各类宣传类文案撰写并提出创意性有差异化的产品包装方向，包括但不限于：产品卖点、产品文案撰写、产品推广；4、有针对性地提供专业的媒介服务、推广方案；5、深度开发用户增长渠道资源，整合资源，输出整体策划案；6、负责公司营销渠道的宣传推广，根据公司战略制定营销方案并实施；7、负责公司产品的规划和管理，针对公司业务通过推广、营销策划、业务运营等方式完成公司年度营销目标。任职要求：1、大专以上学历，市场营销、企业管理、传播学专业；2、3年多媒体运营、市场运营、互联网市场运营、从事过家居装修营销策划，懂平面、文案优先考虑；4、对互联网行业有浓厚的兴趣，具备敏锐的市场洞察力、严密的分析能力以及出色的危机处理能力，善于学习和创新；5、极强的工作执行力和计划性，具备良好的沟通表达能力。,民营  |  50-150人
营销经理,上海云族私募基金管理中心（有限合伙）,1-1.5万,深圳-南山区,大专,2年经验,五险一金,金融/投资/证券,1、负责公司电力电网通讯行业客户市场拓展、提供行业开发策略与建议，开拓及维护行业客户，落实售电目标与计划，对部门分配给所在地区的销售目标及指标负责；2、执行工商业企业电力用户开发工作，参与商务谈判，签订售电合同，促进月度、季度与年度电量销售目标的完成。3、对行区域市场调研分析，包括政府产业发展政策方向、资金项目等，为公司争取有利发展条件；4、负责区域内重点客户定期拜访维护工作，以确保对地区市场关注支持，建立稳定的客情关系；及时与上级领导沟通客户内部相关信息；5、负责业务渠道的开发，参与策划品牌宣传、产品推广等工作，做好公司品牌形象的维护；6、营销模式不局限，电话营销、地推、线上线下方式都可以【任职资格】1、大专及以上学历，电力（气）、经济、金融、市场营销等相关专业背景；2、拥有售电、通讯市场客户资源及经验，具有通讯用户（工厂企业、工业园区、大型商业用户、物业、写字楼）的客户资源或人脉关系者优先；3、熟悉广东电力交易规则或电改政策者优先；4、具有良好的职业形象，思维活跃敏捷，善于团队协作，诚实正直，具有亲和力，具有优秀的职业道德和团队协作精神；5、适应所负责区域内短期出差。,民营  |  50-150人
营销专员,浙江非攻机械有限公司,5-8千,无锡,高中,无需经验,五险一金,机械/设备/重工,岗位职责：区域营销，负责公司上海事务所苏、锡、常区域内公司产品销售及品牌推广工作。经历要求：机械相关经验，有直线传动产品销售经验优先，人员经事务所负责人培训并考核合格后聘用上岗,外资（非欧美）  |  少于50人
市场营销主管,苏州捷扬信息科技有限公司,6.6千-1.2万·13薪,苏州,本科,3-4年经验,市场营销,办公用品及设备,岗位职责：寻找发掘目标优质客户，协助销售人员进行预约拜访、有效拜访；策划制定营销方案，组织举办市场活动，增进客户销售。招聘要求：乐于从事市场营销和销售服务工作，具有3年以上企业用户（ToB）市场销售工作经历，具有良好的沟通表达能力；熟悉Excel、PPT应用，具有一定的文案策划撰写能力。市场营销专业/中文专业更佳。,民营  |  50-150人
营销总监,金煜控股有限公司,8千-1.6万,成都-青羊区,大专,1年经验,销售,外包服务,,民营  |  少于50人
营销经理,创维集团建设发展有限公司,1.5-2.2万,宜春,本科,10年以上经验,房地产,房地产,"岗位职责：1、结合本公司战略目标，负责拟定公司项目总体和分阶段的市场推广策略并有效执行，拟定营销政策、营销策略和实施方案，有效推进公司营销工作开展，确保营销完成销售及回款目标；2、拟定销售部门各项工作规章制度，规范营销流程；3、负责参于项目立项和项目建设规划的市场调研，品牌推广及重大节点活动的组织与安排；4、合理管理营销费用，控制营销费效比；5、组建并管理团队,负责组织营销人员业务培训、绩效考核及激励方案设计，建立完善的客户管理体系，能够妥善处理客户来访接待及投诉事宜。任职要求：1、大学本科及以上学历，市场营销、房地产等相关专业；2、10年以上大型房地产开发企业营销管理工作经验；3、具备多个项目全程操盘经历，熟悉宜春当地及周边市场。",民营  |  150-500人
市场营销人员,上海九圣源中医门诊部有限公司,6千-1.2万,上海-闵行区,大专,1年经验,五险一金,医疗/护理/卫生,岗位职责：1、接洽门诊周边的社区、商户、企事业单位，学校和个人，建立并且维护良好的合作伙伴关系；2、开发高端客户，负责对接异业合作的渠道开发，进行业务渠道拓展和维护，3、针对大客户需求制定营销方案、开展活动及并实施，实现客户和潜在客户的来诊。3、执行各种市场推广活动以及在社区、商圈、办公楼、高校等外场的推广工作；4、配合门诊部完成业绩指标；5、上级领导交代的其他工作。任职要求：1、大专以上学历，有地面推广、活动执行经验、1年以上销售经验；2、良好的沟通能力，组织协调能力和执行力，团队意识强，抗压能力强；3、有工作激情和强力的进取心，富有开拓精神和创新精神。4、上海具有一定的人脉资源，有中医门诊部推广经验者优先。5、会销经验优先。,民营  |  少于50人
乐乐茶-市场营销总监（事业合伙部）,上海吉茶餐饮管理有限公司,3-5万,上海-杨浦区,本科,5-7年经验,加盟体系,餐饮业,工作职责：1、负责品牌推广策略的的规划和节奏把控，组织线上线下营销活动整合并落地执行，以达到公司市场发展战略及营销推广目标；2、新品上市的推广，梳理产品卖点，有针对性的制定产品上市推广方案，确保新品上市的成功；3、统筹策划新开店及重点店铺营销活动策略，把握和聚焦营销增长机会点，以促进品牌势能的提升；4、制定城市核心策略、目标及行动计划，围绕市场渗透率、占有率输出并执行阶段性的市场方案，包括线上、线下；5、通过打造不同的销售渠道，建立标杆市场，提高当地的加盟商经营信心；6、维护品牌市场形象及健康度，建立用户心智及好感度；7、提高城市的用户数，为城市的复购率提供可持续的营销方案。任职要求：1、本科及以上学历，熟悉加盟体系，5年以上加盟品牌&营销相关工作经验；2、跨部门沟通和团队协作能力强，能与产品、设计、营运等部门高效协作，推进项目目标达成；3、优秀的项目管理和整合营销能力，有大型项目PM经验；4、热爱品牌营销，目标感强，结果导向，有ownership。,民营  |  1000-5000人
营销策划总监,苏州市天福环保科技有限公司,1.5-3万,苏州-相城区,本科,2年经验,管理,机械/设备/重工,1.大学本科以上学历，年龄28～40岁；2.市场营销策划、网络营销推广管理工作五年以上经验，担任过项目主管及总监职位2年以上；3.有较强的组织、协调、沟通领导能力，具有出色的人际交往和社会活动能力，具有较强的抗压精神；4.具有出色的个人和商业项目成就履历，以及出色的营销推广及市场策划能力；5.线上线下活动推广，不断创新推广手段和渠道。,民营  |  少于50人
项目营销总（派驻省外项目）,愿景集团,1.5-2.5万,成都-崇州市,大专,5-7年经验,五险一金,房地产,,民营  |  500-1000人
整合营销传播经理,深圳好博窗控技术股份有限公司,2-3万,深圳-光明区,大专,5-7年经验,五险一金,建筑/建材/工程,主要职责：1、根据公司品牌传播目标和部门营销目标，制定部门年度、季度、月度整合营销传播策略和计划，并负责组织实施。2、深度洞察市场环境、客户需求、竞争对手和品牌接触通道等，熟悉行业背景、熟练掌握方案知识。3、与部门保持紧密沟通，深入分析应用场景和核心价值，挖掘有效的营销价值传播信息，并转化为客户化的语言。4、设计合适的整合营销传播方式，包括线上（自有平台和外部平台）和线下（与行业、区域紧密结合的市场活动）通道，向目标客户高效、精准传递价值。5、对整合营销传播计划进行实施，并最终促成部门营销目标的达成。6、对各项整合营销传播结果进行效果数据的收集和分析评估，及时反馈给部门，持续进行绩效改进。任职要求：1、至少5年以上相关市场、营销、品牌推广工作经验，具有家居建或B2B领域整合营销传播工作经验者优先。2、熟练掌握市场营销理论，战略及整合营销沟通工具和方法。3、能熟练运用市场活动，网络营销，PR，数据库营销，事件营销等丰富的整合营销沟通工具实现品牌沟通目标。4、具有优秀的整合营销传播项目策划，管理，实施能力。5、突出的沟通能力，组织能力，创新能力，解决问题能力，快速学习能力，影响力和推动力6、文笔好，脑洞大，视野开阔。,民营  |  1000-5000人
营销顾问 — 广州,字节跳动,8千-1.6万,广州,本科,3-4年经验,五险一金,互联网/电子商务,职位描述：1、负责所在地的经销商相关产品的售卖与服务，完成公司制定的销售目标；2、宣传推广公司产品、品牌，负责新客户的拓展和开发，并维护和管理老客户；3、负责客户营销方案的制作和提报，以及销售合同的谈判、签订、收款；4、组织所在地用户和经销商的培训及活动。职位要求：1、大专及以上学历，有互联网、汽车、媒体等相关行业销售经验；2、诚实有信，做事坚持原则，有责任心，吃苦耐劳；3、热爱销售工作，有激情，积极主动，有强烈的团队协作意识；4、有创业心态，愿意投入付出。,民营  |  10000人以上
（内销）营销总监,卓艺集团,1.2-2万,,,,团队管理,影视/媒体/艺术/文化传播,,民营  |  50-150人
营销企划-东创紫联,东风汽车集团股份有限公司,1-1.5万,,,,带薪年假,汽车,,国企  |  10000人以上
市场/营销/拓展主管,苏州尊尔光电科技有限公司,1.5-2.5万,,,,市场营销,电子技术/半导体/集成电路,,民营  |  50-150人
营销顾问-金华,字节跳动,1-1.5万,,,,团队氛围好,互联网/电子商务,,民营  |  10000人以上
项目营销负责人（商办类）(J11124),众安集团有限公司,1.5-2.5万,,,,五险一金,房地产,,民营  |  1000-5000人
市场营销经理/主管,深圳市威立印技术有限公司,1.8-3万·13薪,,,,员工旅游,仪器仪表/工业自动化,,民营  |  50-150人
市场/营销/拓展专员,上海利鼠和荣文化传播有限公司,7千-1万,,,,客户关系维护,广告,,民营  |  少于50人
营销顾问 — 西昌,字节跳动,8千-1.5万,,,,扁平管理,互联网/电子商务,,民营  |  10000人以上
白鹭飞农庄-营销副总经理,云南湄公河集团有限公司,1-1.5万,,,,专业培训,酒店/旅游,,民营  |  500-1000人
广告营销总监,武汉道森媒体股份有限公司,40-50万/年,,,,武汉道森媒体股份有限公司,广告,,已上市  |  150-500人
营销副总经理,重庆车兔兔停车场管理有限公司,1.5-2万,,,,重庆车兔兔停车场管理有限公司,房地产,,民营  |  50-150人
营销顾问-汕头,字节跳动,8千-1.5万,,,,扁平管理,互联网/电子商务,,民营  |  10000人以上
营销总/营销经理,上海蓝城置业有限公司,20-30万/年,,,,五险一金,房地产,,民营  |  50-150人
房地产项目营销经理,广州城投城市更新集团有限公司,1-2万,,,,五险一金,房地产,,国企  |  50-150人
营销总监,湖北欧宅新材料科技有限公司,25-40万/年,,,,买保险,建筑/建材/工程,,民营  |  150-500人
营销顾问,字节跳动,8千-1.5万,,,,租房补贴,互联网/电子商务,,民营  |  10000人以上
营销总监,广州白云新天地置业有限公司,1.2-2万,,,,购买社保,房地产,,民营  |  50-150人
市场营销总监,广东云心测科技有限公司,8千-1万,,,,广东云心测科技有限公司,专业服务(咨询、人力资源、财会),,民营  |  少于50人
营销策划岗,浙江保利房地产开发有限公司,8千-1.5万·16薪,,,,策划,房地产,,国企  |  150-500人
营销顾问 — 泉州,字节跳动,9千-1.8万,,,,弹性工作,互联网/电子商务,,民营  |  10000人以上
市场营销专员,韩国株式会社KT&amp;G北京代表处,1.5-2万,,,,市场营销,快速消费品(食品、饮料、化妆品),,外资（非欧美）  |  50-150人
网络营销经理,武汉晒阳暖通设备有限公司,6千-1万,,,,销售及管理,仪器仪表/工业自动化,,民营  |  少于50人
营销策划岗,浙江保利房地产开发有限公司,8千-1.5万·16薪,,,,策划,房地产,,国企  |  150-500人
营销顾问 —红河,字节跳动,8千-1.5万,,,,五险一金,互联网/电子商务,,民营  |  10000人以上
营销部经理,爱慕集团四川分公司,1.2-2万,,,,五险一金,服装/纺织/皮革,,民营  |  少于50人
网络营销总监,武汉晒阳暖通设备有限公司,6千-1.2万,,,,销售及管理,仪器仪表/工业自动化,,民营  |  少于50人
营销总经理,湖北恒大置业有限公司,2.5-3.5万,,,,定期体检,房地产,,民营  |  150-500人
营销顾问 — 合肥,字节跳动,8千-1.5万,,,,带薪休假,互联网/电子商务,,民营  |  10000人以上
营销专员,甘肃浪哩浪网络科技有限公司,6-8千,,,,营销,互联网/电子商务,,民营  
国内营销管培生（23届毕业生）,广东志特新材料集团有限公司,5-7千,,,,五险一金,建筑/建材/工程,,民营  |  1000-5000人
抖音视频营销,重庆云威科技有限公司,6千-1万,,,,短视频营销,互联网/电子商务,,民营  |  150-500人
营销顾问 — 成都,字节跳动,8千-1.5万,,,,五险一金,互联网/电子商务,,民营  |  10000人以上
营销高储（未来总裁）,深圳市乐有家控股集团有限公司,7.5千-1.5万,东莞-常平镇,本科,1年经验,营销,房地产,岗位职责“未来总裁”人才工程是乐有家控股集团为推动公司做大做强粤港澳大湾区及“百城万店”全国化发展战略而打造的高级人才项目。集团计划从国内外各高校或集团内部选拔出300名极具管理潜质、综合素质高、立志往高级营销/按揭管理岗位发展的可塑性人才，快速培养为乐有家的营销副总裁、营销总裁、按揭副总经理、按揭总裁、总裁。【千万年薪】：万众创业大平台，千万年薪不是梦！【千万津贴】：在极具竞争力的高薪基础上，董事长额外设立千万津贴！【定向培养】：营销双导师带教，重要成长阶段集中管理赋能培训，塑造领导力、培养战略意识。【光速晋升】：最快3个月做店长，6个月做营销副总经理，1年做营销副总裁，3年做营销总裁！作为集团营销高级储备干部，在精选优质门店开展营销业务工作，参与门店日常管理，协助营销管理人员搭建营销团队、制定经营目标、抢占市场份额，配合集团重大战略决策的执行落地。任职资格1、统招本科及以上学历，专业不限；2、认可公司平台和企业文化，职业发展目标明确，事业心强，有较强的进取心和竞争意识；3、性格外向开朗，沟通表达能力强，善于与人打交道，爱管事、会来事；4、有奋斗拼搏精神，吃苦耐劳、踏实肯干、虚心好学，接受强度高、时长久的工作；5、思路清晰，有闭环思维，善于发现问题、解决问题并总结反思，悟性和可塑性高；6、具备一定的管理潜质和魄力，团队协作能力、凝聚力、责任心、执行力强，有结果意识。薪资待遇1、收入自主制，千万年薪不是梦。成长初期，薪酬福利包括底薪、各项补贴和奖金，超高业绩奖核算比例55%-80%，其中深圳地区统招本科底薪加各项补贴高达7500元，广州地区统招本科底薪加各项补贴高达7200元；另额外专享长达一年的董事长专项人才津贴每月2000-3000元。晋升为营销管理岗后，可按对应岗位享有更高的底薪、各项补贴和分红奖。大学生租房免佣五险一金、带薪假期、节日大礼包、授课奖、仁杰奖、员工互助金政策丰富多彩的员工文体活动、国内精品游、国外豪华游2、培训及晋升机制完善乐学堂APP移动化学习平台、每年投入2亿培训专项经费、3000多位培训讲师。一对一导师带教，专属高阶燎原跨越式发展储备人才计划。特种兵闯关考核、1000多个培训基地、1000多门丰富课程、精选配套考题20000+！明确的职级晋升标准和后备培养机制，帮助下属晋级是考核上级的重要指标；职能、营销晋升通道畅通无阻，助您纵向、横向多维度发展！3、团队特色集团化企业，学习型组织，创业型团队，开放型文化，年轻化团队，职业化风貌，专业化协作，扁平化管理，阳光透明，简单真诚，优秀雇主欢迎您！,民营  |  10000人以上
营销管理岗,久隆财产保险有限公司,8千-1.5万,珠海-香洲区,本科,3-4年经验,营销,保险,营销管理岗主要职责：一、负责对分解的渠道任务目标推动执行；二、拟定渠道销售策略并推动落实；三、对渠道的开拓、维护与管理；四、拟定切合市场需求的销售策略和营销方案；五、配合产品部门做好产品的宣传和推广工作；六、对销售情况进行统计、分析、监督和考核；七、领导安排的其他工作。性格阳光、开朗，具有良好的沟通表达能力；品行端正，有上进心，具有良好的执行力；富有责任心和团队意识；本科以上学历，营销相关专业优先。,民营  |  少于50人
市场营销总监,骏蓉智慧（成都）汽车服务有限公司,40-50万/年,成都-龙泉驿区,大专,3-4年经验,市场营销,汽车,,民营  |  少于50人
营销负责人,河南天伦地产集团有限公司,1.5-2.3万,郑州-金水区,本科,5-7年经验,五险一金,房地产,一、岗位职责：1.负责整体营销工作，完成销售任务，控制营销费用，对销售目标负责；2.分解年度营销任务，组织内部各条线完成任务；3.参与确定各项目的产品市场定位，协同相关部门共同制定产品设计定位；4.负责营销及推广策略的审核，包括营销方案、广告创意、推广活动及媒介策略等；5.负责销售管理工作，制定销售策略、促销方案，并根据销售情况和市场情况调整策略；6.负责竞品楼盘的研究及分析，并根据市场变化及时调整项目策略；7.负责营销体系搭建，制度、流程的制定与完善；8.负责团队建设及人才的培养工作，负责团队人员的业绩考核；9.协调项目其他部门等营销配合相关工作，满足项目运营的需要；10.建立和保持与政府相关部门、银行系统、新闻媒体的良好合作关系，提升集团品牌形象；11.上级交办的其他工作。二、任职要求：1.大学本科及以上学历，市场营销、广告学、管理类、房地产专业等相关专业，8年以上营销管理工作经验；2.精通房地产项目营销和策划流程、市场营销知识、市场调查知识、房地产开发流程及销售关键环节；3.具有较强的营销策划能力、销售管理和媒体公关能力；4.优秀的团队建设经验，团队管理能力强，善于协调营销团队的工作；5.责任心强、具有一定的抗压能力和较强的综合协调能力、沟通能力。,民营  |  1000-5000人
新营销储干+底薪7200元+免费培训,深圳市乐有家控股集团有限公司,5-9千,广州-番禺区,大专,1年经验,总裁,房地产,职位信息①乐有家大学生团队，无限机遇等你来挑战！【新营销：行业清流，坚持“八不三真”】“八不”：不吃差价、不做私单、不收红包、不坑蒙拐骗、不威胁恐吓、不拿客户业主一针一线、不情绪化、不喝酒应酬“三真”：真房源、真服务、真保障②【晋升发展】——合适的人放在合适的岗位，每月一次的竞聘机会，面向全员开放，70%以上90后管理人员，鼓励纵向或横向发展1、置业顾问/营销管培生—置业经理—店长—营销副总经理—营销副总裁-营销总裁2、一年做店长，两年做副总，五年做营销副总裁。---工作地点：广州各区域（根据意愿就近安排，可提供住宿）职能类别：大客户销售工作地址上班地址：广州各区域查看地图51Job安全提醒求职过程中如果遇到违规收费、信息不实、以招聘名义的培训收费或者微信营销等虚假招聘行为，请点击立即举报，并保留证据，维护自己的合法权益。更多详情【薪资福利】1、收入自主制：薪酬包括底薪，各项补贴和奖金，薪酬分三部分发放本科7200起+55%—80%的奖金大专6400起+55%—80%的奖金底薪，每月15号发放第二部分各项补贴，每月20号发放（底薪和各项补贴只和你的学历和出勤相关，不跟业绩相关无论有没有业绩底薪补贴都是每月固定的发放，足够保障您在深圳的生活）第三部分奖金，奖金=当月自己实收的业绩*相应的比例【55%—80%】—人工成本公司信息乐有家控股集团为“以房地产经纪为龙头、金融和互联网为两翼”的大型企业集团，成立于2008年，总部位于深圳市，2020年度交易额突破5000亿，在深圳市场占有率稳居行业***，粤港澳大湾区多个城市市占率稳居行业前列。集团旗下拥有“乐有家”、“顺联担保”、“万顺通资产”、“家家顺物联科技”等优秀品牌，业务涵盖二手房买卖、房屋租赁、项目策划、新房代理、人工智能、资产管理、金融服务等领域，获得“中国十大品牌中介机构”、“全国优秀房地产经纪机构”、“年度***雇主”、“最值得信任的地产经纪品牌”、“广东省诚信企业”、“最具影响力雇主”等殊荣。集团始终坚持“真诚正义，先人后己”的核心价值观，积极推行“真服务、真保障”服务战略，为客户提供及时精准、专业可信、高效超值的房产交易全价值链服务。通过运用互联网、人工智能等新技术，打造线上线下一体化的E2E智能生态系统，致力于为客户打造房产交易全过程、全网络、全家庭生命周期的极致服务体验。集团以“立足大深圳、密布珠三角、连锁全中国”为发展战略，有效整合全国各项资源，实现“有家的地方就有乐有家”的宏伟愿景！,民营  |  10000人以上
房地产营销经理,深圳市岗宏集团有限公司,1-2万,深圳-龙岗区,本科,5-7年经验,五险一金,房地产,职责描述：1、负责深圳项目营销管理工作，统筹管理项目销售及策划团队，对项目任务及营销目标负责；2、统筹、制定、推行项目营销策略（包括营销、推售、推广、渠道、价格、客户、案场等策略）；3、统筹管理项目销售目标及销售计划，销售模式，营销费用把控等；4、统筹管理推售、价格制定及调整策略；5、统筹管理案场团队及实施、推进目标达成。任职资格：1、***本科以上，房地产开发管理、营销管理等相关专业；2、房地产行业营销管理5年以上工作经验，至少3年同岗位工作经验；3、完整项目操盘管理经验，熟悉销售管理各流程，具备深圳营销管理经验，有较强的团队管理能力及经验；4、有较强的人际交往和沟通谈判能力，有一定的资源积累。,民营  |  150-500人
营销主管,长沙畅安智能科技发展有限公司,1-2万,长沙-岳麓区,本科,2年经验,长沙畅安智能科技发展有限公司,通信/电信运营、增值服务,营销岗位职责:1、负责营销策划方案的制定，营地年度营销规划。2、根据营地产品定位，挖掘新的渠道和方式进行有效的策划推广。3、负责营地产品的销售、客户回款、客户关系维护。4、负责营销体系管理制度和流程的建设。任职要求：1、大学本科及以上，市场营销或其他相关专业，具有市场营销、市场策划和广告宣传等专业知识者优先。2、2年以上市场营销工作经验，有本行业市场工作经验优先。3、具备优秀的资源整合能力和市场敏感度4、对品牌塑造和项目营销有经验和见解，思维敏捷、策划、分析力较强。5、较强的沟通能力，能准确的表达、传达工作意图。6、具备高度的责任心和团队协作精神，能够承受较大的工作压力。,民营  |  少于50人
