职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
反欺诈岗（数据分析）,深圳市零在小额贷款有限责任公司,6-8千,深圳-福田区,大专,在校生/应届生,01-15发布,金融/投资/证券,,岗位职责：1、负责集团内部业务数据报表整理、分析，并输出相应的数据报告；2、动态监测相关业务数据指标，及时更新及维护数据报表；3、协助反欺诈部日常事务工作。任职要求：1、大专及以上学历，数学、计算机、统计学等相关专业优先，优秀本科应届毕业生亦可考虑；2、熟练掌握excel表格函数的应用，具备报表制作、数据报告分析能力;3、对数据分析有强烈兴趣，具备逻辑思维，能快速理解业务，发掘业务细节和数据之间的联系优先考虑；4、认真细致、积极主动，具有良好的沟通能力及一定的承压能力。5、精通粤语优先考虑；我们真诚邀请不懈追求、富于团队精神的您加入到我们队伍中来!我们将为您提供以下福利待遇：1、舒适、整洁、开放的办公环境，设有：公司茶水间、图书馆、游戏室、健身器械；2、每周五天工作制，每天7.5小时工作时间，周末双休；3、入职即为每一位员工提供“五险一金”等福利保障；4、在职期间享受各类法定有薪假期，逢节日发放节日礼金；5、每年享有调薪和年终奖金发放机会；6、定期组织员工聚餐及各类文娱活动；7、享受弹性积分福利，积分可兑换不同形式的奖励；8、良好的内、外部培训机制，为每一位员工快速实现自我提升和成就自我创造条件；9、广阔的职业发展空间，为每一位员工提供公平、平等、丰富的晋升机会和职业发展平台。,外资（非欧美）  |  150-500人
数据分析助理,厦门弘有信信息技术服务有限公司,3.5-5千·13薪,厦门,本科,在校生/应届生,01-14发布,计算机服务(系统、数据服务、维修),,我司在戴尔（中国）厦门总部的服务团队，因业务发展需要，诚聘如下职位：岗位名称：数据分析助理岗位职责：负责企业产品数据管理、维护和支持任职要求：1、专业不限，本科以上学历，英语通过CET4及以上，熟悉office日常办公软件，实习生或应届生亦可。2、因支持欧美业务，约每2个月会有5天夜班，夜班在家办公即可。（当月有夜班津贴）工作地点：戴尔（中国）厦门总部（湖里区金尚路2388号）上班时间：全职，8小时/天，5天/周薪酬：3500～5000元/月福利：五险一金，岗前带薪培训，上下班车接送，食堂午餐补贴，夜班补贴，带薪年假，年底双薪，***落户办理，团队拓展活动，外企工作氛围,民营  |  50-150人
科研数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，请投递简历。",事业单位  |  50-150人
监测数据分析师,上海巨一科技发展有限公司,5-9千,上海,本科,在校生/应届生,01-14发布,计算机软件,,1.负责桥隧结构健康监测系统监测数据的分析和处理；2.负责桥隧结构的有限元分析与数据解读；3.编制桥隧结构的监测与检测数据报告的编制与评审；4.其他事项。任职要求1.桥梁工程、隧道工程及相关专业背景的本科毕业生或研究生；应届生或毕业3年内的***，在读学生曾从事过相关课题或项目的实习生亦可；2.有桥梁、隧道设计、科研、监测或检测工作经历优先；3.能够熟练使用office办公软件，如Word、Excel、Visio；4.会使用Abquas、MATLAB、CAD、Revit等软件的优先考虑；5.具备良好的学习能力和沟通能力，责任心强，解决问题能力强；有团队合作精神;6.具有较强的技术文档撰写能力。欢迎在校学生加入我们实习生大家庭！本公司长期有实习生招聘。,民营  |  150-500人
实习数据分析员（湖州）,中飞赛维智能科技股份有限公司,5-8千,成都-高新区,大专,在校生/应届生,01-13发布,电气/电力/水利,,,民营  |  150-500人
数据分析岗,浙江胜华波电器股份有限公司,5-6千,温州,本科,在校生/应届生,01-13发布,汽车零配件,,1.具备SQL数据库语言基础，熟练操作SQL查询与数据库作业2.掌握JAVA开发语言，能够独立完成部分小型模块的开发3.计算机专业或编程类工作经验者优先,民营  |  1000-5000人
科研数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，请投递简历。",事业单位  |  50-150人
数据分析工程师（2023届校招）(J10541),广州禾信仪器股份有限公司,8千-1.2万,广州-黄埔区,硕士,在校生/应届生,01-12发布,仪器仪表/工业自动化,,工作职责:你将获得：1.进入大气环保细分行业领军企业的机会；2.大气环境先进科学仪器监测数据分析技能；3.大气环境改善和技术服务项目规划实施能力；4.成为国家大气环保行业稀缺人才的机会；岗位职责：1.负责已售仪器的技术应用、技术培训和客户对接工作；2.负责相关项目的数据分析报告、项目方案编制及汇报演示工作；3.负责相关部门的需求对接、问题解答、技术优化和提升工作。任职资格:岗位要求：1.硕士以上学历，大气、环境、化学类相关专业；2.熟练使用Excel、WORD、PPT，有CAD、ORIGIN、ArcGIS、Matlab等软件使用经验的优先考虑；3.熟悉了解大气环境监测、气象模型、数值模型数据分析工作优先；4.具有大气环境咨询服务项目、一市一策国家联合攻关项目经验的优先；5.细心负责，乐观向上，有上进心，有良好的沟通能力及团队合作精神；6.能够适应出差的工作要求。全国都有项目，要求接受出差和驻场服务，经过培训后会根据项目需求分配到华南、华东、华北等项目地。,已上市  |  500-1000人
数据分析员（实习生）,中飞赛维智能科技股份有限公司,3-4千,,,,01-13发布,电气/电力/水利,,,民营  |  150-500人
数据分析师-2023届,湖南科创信息技术股份有限公司,1-1.5万,长沙,硕士,在校生/应届生,01-12发布,计算机软件,,岗位职责:1.负责标准化数据录入，数据清洗、转换、关联等数据分析工作；2.协助建立信用评估、风险评估方面的数据模型；3.协助完成需求分析、系统设计等文档撰写。任职资格:1.计算机、信息技术及相关专业本科以上学历；2.掌握Python、SQL、JAVA、R、Spark、SPSS中任意两种工具/语言；3.严谨的逻辑思维、数理逻辑分析能力强，优秀的数值敏感性；4.具有良好的沟通能力和团队合作精神，具备一定的文字表达能力；5.熟悉知识图谱、人工智能、大数据者优先。,已上市  |  1000-5000人
数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主，提供咨询方案。一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，直接投递简历至邮箱。",事业单位  |  50-150人
数据分析工程师（2023届校招）(J10541),广州禾信仪器股份有限公司,8千-1.2万,广州-黄埔区,硕士,在校生/应届生,01-12发布,仪器仪表/工业自动化,,工作职责:你将获得：1.进入大气环保细分行业领军企业的机会；2.大气环境先进科学仪器监测数据分析技能；3.大气环境改善和技术服务项目规划实施能力；4.成为国家大气环保行业稀缺人才的机会；岗位职责：1.负责已售仪器的技术应用、技术培训和客户对接工作；2.负责相关项目的数据分析报告、项目方案编制及汇报演示工作；3.负责相关部门的需求对接、问题解答、技术优化和提升工作。任职资格:岗位要求：1.硕士以上学历，大气、环境、化学类相关专业；2.熟练使用Excel、WORD、PPT，有CAD、ORIGIN、ArcGIS、Matlab等软件使用经验的优先考虑；3.熟悉了解大气环境监测、气象模型、数值模型数据分析工作优先；4.具有大气环境咨询服务项目、一市一策国家联合攻关项目经验的优先；5.细心负责，乐观向上，有上进心，有良好的沟通能力及团队合作精神；6.能够适应出差的工作要求。全国都有项目，要求接受出差和驻场服务，经过培训后会根据项目需求分配到华南、华东、华北等项目地。,已上市  |  500-1000人
市场数据分析实习生,成都华侨城黄龙溪投资发展有限公司,3千及以下,成都-龙泉驿区,本科,在校生/应届生,01-12发布,娱乐/休闲/体育,,,国企  |  150-500人
数据分析师（应届生）,北京先进数通信息技术股份公司,7-9千,北京-海淀区,本科,在校生/应届生,01-12发布,计算机软件,,,已上市  |  1000-5000人
科研数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，请投递简历。",事业单位  |  50-150人
数据分析工程师（2023届校招）(J10541),广州禾信仪器股份有限公司,8千-1.2万,广州-黄埔区,硕士,在校生/应届生,01-12发布,仪器仪表/工业自动化,,工作职责:你将获得：1.进入大气环保细分行业领军企业的机会；2.大气环境先进科学仪器监测数据分析技能；3.大气环境改善和技术服务项目规划实施能力；4.成为国家大气环保行业稀缺人才的机会；岗位职责：1.负责已售仪器的技术应用、技术培训和客户对接工作；2.负责相关项目的数据分析报告、项目方案编制及汇报演示工作；3.负责相关部门的需求对接、问题解答、技术优化和提升工作。任职资格:岗位要求：1.硕士以上学历，大气、环境、化学类相关专业；2.熟练使用Excel、WORD、PPT，有CAD、ORIGIN、ArcGIS、Matlab等软件使用经验的优先考虑；3.熟悉了解大气环境监测、气象模型、数值模型数据分析工作优先；4.具有大气环境咨询服务项目、一市一策国家联合攻关项目经验的优先；5.细心负责，乐观向上，有上进心，有良好的沟通能力及团队合作精神；6.能够适应出差的工作要求。全国都有项目，要求接受出差和驻场服务，经过培训后会根据项目需求分配到华南、华东、华北等项目地。,已上市  |  500-1000人
市场数据分析实习生,成都华侨城黄龙溪投资发展有限公司,3千及以下,成都-龙泉驿区,本科,在校生/应届生,01-12发布,娱乐/休闲/体育,,,国企  |  150-500人
数据分析类,海澜之家集团股份有限公司（上海）,6-8千,无锡-江阴市,本科,在校生/应届生,01-11发布,多元化业务集团公司,,工作职责【岗位方向】：数据分析、商品分析、货品分析等任职要求【相关要求】：本科及以上学历，经济统计学、数学与应用、金融学等相关专业【员工福利】：五险一金、伙食补贴、员工宿舍【住宿条件】：酒店标准的人才楼，双人标间,民营  |  10000人以上
科研数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，请投递简历。",事业单位  |  50-150人
数据分析工程师（2023届校招）(J10541),广州禾信仪器股份有限公司,8千-1.2万,广州-黄埔区,硕士,在校生/应届生,01-12发布,仪器仪表/工业自动化,,工作职责:你将获得：1.进入大气环保细分行业领军企业的机会；2.大气环境先进科学仪器监测数据分析技能；3.大气环境改善和技术服务项目规划实施能力；4.成为国家大气环保行业稀缺人才的机会；岗位职责：1.负责已售仪器的技术应用、技术培训和客户对接工作；2.负责相关项目的数据分析报告、项目方案编制及汇报演示工作；3.负责相关部门的需求对接、问题解答、技术优化和提升工作。任职资格:岗位要求：1.硕士以上学历，大气、环境、化学类相关专业；2.熟练使用Excel、WORD、PPT，有CAD、ORIGIN、ArcGIS、Matlab等软件使用经验的优先考虑；3.熟悉了解大气环境监测、气象模型、数值模型数据分析工作优先；4.具有大气环境咨询服务项目、一市一策国家联合攻关项目经验的优先；5.细心负责，乐观向上，有上进心，有良好的沟通能力及团队合作精神；6.能够适应出差的工作要求。全国都有项目，要求接受出差和驻场服务，经过培训后会根据项目需求分配到华南、华东、华北等项目地。,已上市  |  500-1000人
量化数据分析师（实习生有留用机会）,西安玖润投资管理有限公司,80元/天,西安-高新技术产业开发区,硕士,在校生/应届生,01-11发布,金融/投资/证券,,1、协助基金经理开发测试量化交易的辅助程序；2、协助基金经理探索和完善量化交易系统；任职资格：1、研究生以上或2023年毕业的应届研究生学历，数学、计算机等相关方向学历，***、***院校毕业、成绩优异；2、1年以上选股模型或股票风险模型开发经验，熟悉市场上常见的选股因子构建逻辑，有实盘交易经验优先；3、至少熟练使用C++、R、Matlab或Python语言中的一种，并有海量数据处理经验。,民营  |  少于50人
数据分析专员,李锦记（中国）销售有限公司,6-8千·14薪,,,,01-11发布,快速消费品(食品、饮料、化妆品),,,外资（非欧美）  |  1000-5000人
数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主，提供咨询方案。一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，直接投递简历至邮箱。",事业单位  |  50-150人
数据分析工程师（2023届校招）(J10541),广州禾信仪器股份有限公司,8千-1.2万,广州-黄埔区,硕士,在校生/应届生,01-12发布,仪器仪表/工业自动化,,工作职责:你将获得：1.进入大气环保细分行业领军企业的机会；2.大气环境先进科学仪器监测数据分析技能；3.大气环境改善和技术服务项目规划实施能力；4.成为国家大气环保行业稀缺人才的机会；岗位职责：1.负责已售仪器的技术应用、技术培训和客户对接工作；2.负责相关项目的数据分析报告、项目方案编制及汇报演示工作；3.负责相关部门的需求对接、问题解答、技术优化和提升工作。任职资格:岗位要求：1.硕士以上学历，大气、环境、化学类相关专业；2.熟练使用Excel、WORD、PPT，有CAD、ORIGIN、ArcGIS、Matlab等软件使用经验的优先考虑；3.熟悉了解大气环境监测、气象模型、数值模型数据分析工作优先；4.具有大气环境咨询服务项目、一市一策国家联合攻关项目经验的优先；5.细心负责，乐观向上，有上进心，有良好的沟通能力及团队合作精神；6.能够适应出差的工作要求。全国都有项目，要求接受出差和驻场服务，经过培训后会根据项目需求分配到华南、华东、华北等项目地。,已上市  |  500-1000人
数据分析PowerBI实习生(2022/23),广州国盛财务咨询有限公司,4-6千,,,,01-10发布,专业服务(咨询、人力资源、财会),,,民营  |  少于50人
商品数据分析助理（服装）,广州市朵以服饰有限公司,4-5千,,,,01-10发布,服装/纺织/皮革,,,民营  |  1000-5000人
数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主，提供咨询方案。一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，直接投递简历至邮箱。",事业单位  |  50-150人
数据分析工程师（2023届校招）(J10541),广州禾信仪器股份有限公司,8千-1.2万,,,,01-12发布,仪器仪表/工业自动化,,,已上市  |  500-1000人
出纳员/数据分析员,伊欧激光科技（上海）有限公司,3千及以下,上海-虹口区,大专,在校生/应届生,01-10发布,电子技术/半导体/集成电路,,岗位职责1、按规定每日登记现金日记账和银行存款日记账；2、根据记账凭证报销内容收付现金；3、每日负责盘清库存现金，核对现金日记账，按规定程序保管现金，保证库存现金及有价证券安全；4、保管好各种空白支票、票据、印鉴；5、负责接收各项银行到款进账凭证，并传递到有关的制单人员；6、负责代理记账单位出纳工作；7、完成部门领导交办的其他任务。任职资格1、财务类专科以上学历；2、会计资格从业证优先；3、无需工作经验；4、有安全意识，掌握基本的法律法规等知识，了解相关业务领域专业知识，能够使用计算机和办公软件。,外资（非欧美）  |  50-150人
数据分析（平台管理员）,广州广颖创网络科技有限公司,8千-1.5万,广州,硕士,在校生/应届生,01-09发布,互联网/电子商务,,岗位职责：1.负责账号安全管理相关内容2.根据新规定、新政策制定公司内可执行方案并扩散3.汇总整理出平台相关的指导手册4.监测市场变化及公司内数据变化任职要求：1.本科学历，英语四级或以上；2.具备清晰的逻辑思维；3.较强的数据分析能力；4.具有较强的执行力，沟通表达能力和服务意识；5.1-2年工作经验以上。,民营  |  500-1000人
科研数据分析师,武汉珞伽启思信息科技有限公司,800元/天,武汉-武昌区,硕士,在校生/应届生,01-16发布,文字媒体/出版,,"本公司招聘各个领域的数据分析人才，主要以经管类调研数据分析为主一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、MBA、机械、信息工程等等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！待遇丰厚！所有的工作地点和时间均由你自己安排，任务由你选择；欢迎加入我们公司，希望广大贤士能来共创事业。如果有意向，请投递简历。",事业单位  |  50-150人
数据分析工程师（2023届校招）(J10541),广州禾信仪器股份有限公司,8千-1.2万,广州-黄埔区,硕士,在校生/应届生,01-12发布,仪器仪表/工业自动化,,工作职责:你将获得：1.进入大气环保细分行业领军企业的机会；2.大气环境先进科学仪器监测数据分析技能；3.大气环境改善和技术服务项目规划实施能力；4.成为国家大气环保行业稀缺人才的机会；岗位职责：1.负责已售仪器的技术应用、技术培训和客户对接工作；2.负责相关项目的数据分析报告、项目方案编制及汇报演示工作；3.负责相关部门的需求对接、问题解答、技术优化和提升工作。任职资格:岗位要求：1.硕士以上学历，大气、环境、化学类相关专业；2.熟练使用Excel、WORD、PPT，有CAD、ORIGIN、ArcGIS、Matlab等软件使用经验的优先考虑；3.熟悉了解大气环境监测、气象模型、数值模型数据分析工作优先；4.具有大气环境咨询服务项目、一市一策国家联合攻关项目经验的优先；5.细心负责，乐观向上，有上进心，有良好的沟通能力及团队合作精神；6.能够适应出差的工作要求。全国都有项目，要求接受出差和驻场服务，经过培训后会根据项目需求分配到华南、华东、华北等项目地。,已上市  |  500-1000人
数据分析实习生,广东赛百威信息科技有限公司,3-4千,广州-黄埔区,本科,在校生/应届生,01-09发布,计算机软件,,岗位职责：1负责根据业务需求完成数据提取、分析、报表制作；2负责数据应用系统的数据维护与支持，系统中进行数据导入和处理，并负责解决用户的数据技术问题；3完成上级交办的其他事宜。任职要求：1本科及以上学历，志向往大数据方向发展的2023年应届毕业生优先考虑；2细心，对数据分析有浓厚兴趣；3熟悉英文、excel、SQL的优先；4有处理过大数据量经验者优先；5.公司将提供转正机会和长远的培养发展规划。,民营  |  500-1000人
供应商战略管理-数据分析方向,宁波怡人玩具有限公司,10-15万/年,宁波-北仑区,本科,在校生/应届生,01-09发布,家具/家电/玩具/礼品,,职位描述：制定和实施供应商开发计划和开发流程，能够完成供应商开发、评审、准入考核流程，根据需求选择合理合适的供应商；收集整理市场信息与行业动态并撰写分析报告，为战略决策提供有利信息；建立维护和更新供应商数据库，与供应商维持较好的关系。任职要求：1、	统计学、运筹学、应用数学、供应链管理、木材科学与技术等相关专业，本科及以上学历，英语4级优先；2、	具备较强的信息搜集与数据分析能力，熟练掌握EXCEL，会PowerBI、Python、Tabluea其中之一或其他编程语言者优先；3、	熟悉供应商开发采购流程、评价方法或具备相关的专业知识与技能；4、	具备良好的人际关系协调与沟通能力，较强的应变能力，强烈的责任心与良好的职业道德观；5、	考虑优秀本硕应届毕业生，擅长数据分析,外资（欧美）  |  1000-5000人
数据分析师,武汉珞伽启思信息科技有限公司,800元/天,,,,01-16发布,文字媒体/出版,,,事业单位  |  50-150人
数据分析专员（应届岗）,必达控股集团有限公司,7千-1.2万,,,,01-09发布,金融/投资/证券,,,民营  |  150-500人
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
数据分析师,固特异轮胎管理（上海）有限公司,6千-1万·13薪,,,,01-08发布,仪器仪表/工业自动化,,,外资（欧美）  
科研数据分析师,武汉珞伽启思信息科技有限公司,800元/天,,,,01-16发布,文字媒体/出版,,,事业单位  |  50-150人
初级数据分析师,青岛飞雷信息技术有限公司,4-6千,,,,01-08发布,互联网/电子商务,,,民营  |  少于50人
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
数据分析师,深圳市香蜜闺秀服饰有限公司,7千-1万,,,,01-07发布,服装/纺织/皮革,,,民营  |  5000-10000人
信息技术岗（数据分析）-2023届校招,中国人民健康保险股份有限公司深圳分公司,8千-1万,,,,01-06发布,保险,,,国企  |  150-500人
金融数据分析师（实习）,南京云正数据科技有限公司,200元/天,,,,01-06发布,计算机服务(系统、数据服务、维修),,,民营  |  少于50人
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
数据分析员,深圳市森那美富悦汽车销售服务有限公司,5-8千,,,,01-06发布,汽车,,,外资（非欧美）  |  150-500人
亚马逊产品开发/选品/数据分析,武汉亚声网络科技有限公司,6千-1万,,,,01-06发布,贸易/进出口,,,民营  |  150-500人
数据分析师,宗略投资（上海）有限公司,8千-1.2万,,,,01-05发布,金融/投资/证券,,,民营  |  少于50人
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
数据分析岗（实习） (MJ000957),海通证券全国总部,150元/天,,,,01-05发布,金融/投资/证券,,,国企  |  500-1000人
生物信息数据分析师（可实习）,南京汉卫公共卫生研究院有限公司,4-6千,,,,01-04发布,医疗/护理/卫生,,,民营  |  少于50人
网络数据分析师,字节跳动,3-4万,,,,01-04发布,互联网/电子商务,,,民营  |  10000人以上
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
数据分析工程师,大唐电信科技股份有限公司,8千-1.5万,,,,01-04发布,通信/电信/网络设备,,,国企  |  5000-10000人
商品助理（数据分析方向）,广州叡君服装有限公司,4-5千,,,,01-04发布,服装/纺织/皮革,,,民营  |  150-500人
蜜芽计划（数据分析方向）,山西优珍食品饮料有限公司,4.5-6千,,,,01-04发布,快速消费品(食品、饮料、化妆品),,,民营  |  150-500人
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
游戏数据分析,字节跳动,1.8-3.5万,,,,01-04发布,互联网/电子商务,,,民营  |  10000人以上
运动控制 数据分析实习生,上海ABB电机有限公司,3-4.5千,,,,01-04发布,机械/设备/重工,,,  500-1000人
应聘毕业生-数据分析师实习生,捷普集团-捷普科技（成都）有限公司,,,,,01-03发布,多元化业务集团公司,,,外资（欧美）  |  10000人以上
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
高级数据分析师—今日头条,字节跳动,1.5-3万,,,,01-04发布,互联网/电子商务,,,民营  |  10000人以上
数据分析实习生,广州市佩升前研市场信息咨询股份有限公司,2.5-5千,,,,01-01发布,专业服务(咨询、人力资源、财会),,,已上市  |  50-150人
应聘毕业生-数据分析师实习生,捷普集团-捷普科技（成都）有限公司,,,,,01-03发布,多元化业务集团公司,,,外资（欧美）  |  10000人以上
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
数据分析岗（2023届校园招聘）,东海证券股份有限公司,8千-1.5万,,,,01-01发布,金融/投资/证券,,,国企  |  1000-5000人
数据分析&amp;行政支持实习生,晖致医药有限公司,140元/天,,,,12-31发布,制药/生物工程,,,外资（欧美）  |  10000人以上
应聘毕业生-数据分析师实习生,捷普集团-捷普科技（成都）有限公司,,,,,01-03发布,多元化业务集团公司,,,外资（欧美）  |  10000人以上
SaaS数据分析实习生,深圳市东信时代信息技术有限公司,3-5千,,,,01-08发布,广告,,,民营  |  1000-5000人
检测数据分析工程师,上海中认尚科新能源技术有限公司,10-15万/年,,,,12-30发布,新能源,,,国企  |  50-150人
电商管培生（数据分析方向）,深圳市西遇时尚服饰有限公司,5-6千,,,,12-30发布,服装/纺织/皮革,,,民营  |  1000-5000人
