职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
临床数据分析实习生,珀金埃尔默企业管理（上海）有限公司,150元/天,上海-黄浦区,本科,在校生/应届生,01-31发布,医疗设备/器械,益州大道中段555号星宸国际A座18层,"ThepositionistoassistTradeManagerontheactivitiesofthetradebycoordinatingallocationmanagementactivitieswithinChinaregion,andliaisingwithHO/ROlinemanagementandareasalesteamtocontributetovesselperformance.KeyResponsibilities：-toreviewofinternalprocessesadherence.-todistributeRO/HOpolicies,rateguidelines,surcharges,specificproceduresetc.toChinanetwork.-toupdateandmonitorofvesselfulfillmentondailybasis,keepcloseeyeonthebooking/equipmentpickupnumberondailybasis.-tosetquotafordesignatedportoforiginontheequipmentsupply.-toanalyzethetopcustomerperformanceaswellasdetailsegmentperformanceonweeklybasis-toanalyzevesselperformancetosharesamewithlocalmanagement,HO&ROmanagement,areasandsalesmanageronweeklybasis.-tointerveneinbusinessnegotiationswithHO&ROifneedanyescalationbyNetwork.-toassistTradeManagertocoordinatewithareasandsales/commercialmanagerforidentifyingnewbusiness.-tokeepagoodfollowupofnon-performingcustomersandtoacceleratesametorespectivesales.-toconstantlydialoguewithbranchofficestounderstandandtakenecessaryactiononbookinggenerations.-toparticipateinNORtargetsettingandfulfillmentmonitoring.-topreparePPTasmeetingmaterialsfortrademanager.-OthertasksassignedbyTradeManager.RequiredExperience&Skills：1.	Bachelor’sdegreeorabove,excellentindataanalysis,e.g.Excel,SQL,Phython,PowerBI,etc.4.	Resultsoriented,analytical,andagreatteamspirit.5.	Willingtoworkunderpressureandself-motivated.6.	Goodcommunication/negotiation/reportingskills7.	FluentinEnglishandmandarin",外资（欧美）  |  1000-5000人
数据分析师,上海联和金融信息服务有限公司,6-8千,深圳-宝安区,大专,在校生/应届生,01-31发布,计算机服务(系统、数据服务、维修),瑞安市塘下镇肇平垟下村,"一、岗位职责：1.大数据项目的咨询、监理、评估服务，涵盖项目的立项审批、概预算、设计、招标、实施、验收、运维等周期。2对大数据项目建设的全过程实施监理；对项目进行质量、进度、投资控制；协调项目各方关系。3.审核承建单位提交的各类文档；对工程的功能、性能、工艺、知识产权等进行监督把关。4.组织项目测试、验收。二、任职资格：1熟悉信息技术专业知识、信息系统工程基本理论。2身体健康、吃苦耐劳。三、优先条件：1.数据统计学专业,信息通信，统计2.党员、学生干部。四、薪资待遇：1.发展空间：监理工程师——项目经理——行业专家2.试用期2个月，优秀者可提前转正。3.按照青岛市劳保政策签署劳动合同、缴纳五险一金；按照国家劳动法规定，给予员工双休日、法定假日、婚产假。",国企  |  150-500人
数据分析实习生（2023届） 双休 转正机会,广州点赞广告策划有限公司,3-3.5千,上海-浦东新区,本科,在校生/应届生,01-31发布,广告,武汉理工大学出版社,,民营  |  150-500人
实习生（数据分析）,伊顿电气集团(EATON),130元/天,,,,01-31发布,多元化业务集团公司,广东省广州市黄埔区新瑞路16号3号楼6层,,外资（欧美）  |  500-1000人
组件制造中心数据分析培训生(018320),隆基乐叶光伏科技有限公司,7千-1.1万,广州-天河区,本科,在校生/应届生,01-31发布,新能源,,岗位职责1、参与广发银行收单及优惠商户业务的数据体系及风险体系的建设及产品技术的规划建设；2、负责搭建并完善业务指标及监控体系，为管理层和运营层提供数据策略支持服务；3、负责B端金融各业务部门（市场、产品、运营、风控等）各类项目及数据分析，对业务数据进行深度诊断、分析、挖掘，为业务提供有建设性的分析结论和建议。应聘要求1、硕士及以上学历，统计学、数据挖掘、计算机与科学、数学等专业优先；2、熟悉大数据相关技术和技能，有相关数据和算法能力、熟悉SQL/Python/R语言者优先；3、积极主动，逻指思维能力强，抗压能力强。,民营  |  10000人以上
数据分析实习生,广州市溢信科技股份有限公司,120元/天,贵阳-云岩区,本科,在校生/应届生,01-31发布,计算机软件,岳麓区青山路678号科创软件园5楼510办公室,1、产品和运营模块数据的提供；2、基础数据采集和处理；3、数据价值的挖掘，通过客群、产品等专题分析，编写经营数据分析报告，及时发现和分析其中隐含的变化和问题；为公司经营决策、产品方向，销售策略、后台运营提供策略方案。4、协助各部门完成数据整理、分析与利用，及时提供支持方面的工作。岗位要求1、大专以上学历，数学、统计、理学类专业优先；2、具有较强的罗辑思维、数学思维、创新思维；3、熟练使用Excel的函数、数据透视表等常规办公技能，PPT办公技能强3、性格开朗，抗压性强，有冲劲4、责任心强，善于沟通。5、两年以上数据处理、分析方面的工作经营6、有电商平台的工作经验7、了解抖音平台的后台，有相关取数经验。,民营  |  150-500人
数据分析实习生,浙江天正信息科技有限公司,3-4.5千,佛山-顺德区,本科,在校生/应届生,01-31发布,计算机软件,武汉理工大学出版社,岗位职责：1、负责数据收集与汇总，对数据进行整理和分析，形成数据统计报告，；2、根据已有的数据容量，建立企业内部数据库，并定期对数据库内容进行更新和维护，为企业的相关决策提供数据参考。任职资格：1、本科学历，统计/数学专业优先，熟练使用EXCEL等办公软件；2、具有数理统计，经济学，数据库原理相关知识；3、严谨的逻辑思维能力、学习能力、言语表达能力、沟通能力。3、通过数据分析，对公司进展异常的项目进行预警，协助公司年度计划的完成。,民营  |  150-500人
营运岗--数据分析（2023应届生）,华润置地（长春）有限公司,7-9千,深圳-龙华区,本科,在校生/应届生,01-31发布,房地产,广东省广州市黄埔区新瑞路16号3号楼6层,,国企  |  150-500人
数据分析实习生,上海资信有限公司,150元/天,广州-海珠区,本科,在校生/应届生,01-31发布,金融/投资/证券,锦绣天府项目部,,国企  |  150-500人
精益数据分析专员（江苏雅博）,艾兰得营养品泰州有限公司,5-7千,北京-海淀区,本科,在校生/应届生,01-31发布,快速消费品(食品、饮料、化妆品),青东商务区B座四层,工作职责:1.对渠道销售队伍、产品、客户承保等数据进行分析，梳理相关性，为渠道决策提出相关建议；2.行业数据的分析梳理、对比；3.督导机构业绩考核目标进度达成；4.部门安排的其他工作。任职资格:1.***大学本科及以上；2.金融、经济、保险、法律等专业,民营  
