职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,最低年薪,最高年薪,薪酬_n,月薪最小值,月薪最大值
供应链经理,宁波德效企业管理咨询有限公司,2-3万,上海-浦东新区,本科,1年经验,五险一金,专业服务(咨询、人力资源、财会),工作内容：1、接受客户的委托，负责电子化学品供应链服务（进出口，运输，仓储），货物跟踪等，确保按时交货至终端客户收货；2、负责业务档案的管理，与客户对账管理，并通知财务开票、回款管理；3、协助部门、项目经理处理日常操作过程中的突发或异常状况；4、按客户要求制作相关表格（业务跟踪表、KPI考核等），与客户保持良好的沟通；5、处理上级交办的其他任务。任职要求：1、2年以上工作经验，专科以上学历；2、熟悉进出口流程、仓储、运输（有半导体行业或危险品化工操作经验者优先考虑）；3、英语读写熟练，四级证书以上。4、具备较好的沟通、协调及执行能力，工作踏实认真，应对快捷敏锐，责任心强，人品正直；5、熟练运用办公软件，需要擅长PPT制作、EXCEL数据分析优先考虑。,民营  |  少于50人,上海,,,,20000-30000,20000,30000
供应链主管/专员,武汉盛势启创科技有限公司,1-2万·13薪,武汉-洪山区,本科,5-7年经验,五险,汽车零配件,岗位职责：1、根据公司发展战略，完善供应链体系流程管理，提升运作效率并降低库存。；2、全面统筹计划、仓储、物流相关工作，合理配置库存，确保出入库平衡，确保客户的交期及质量；3、擅长控制运营成本，制定落实成本控制计划和目标；4、优化并实施内部工作过程管理及人员的考核；6、有对接大型OEM厂商谈判能力。任职要求：1、本科及以上学历，至少五年以上供应链管理经验；2、熟悉供应链战略管理，制定供应链战略及目标，支持公司整体战略的实现；3、有团队管理经验，熟悉供应链人才梯队建设，能打造一支高绩效的团队；4、具有较强的沟通协调能力，逻辑思维清晰。,合资  |  150-500人,武汉,13,,,10000-20000,10000,20000
供应链管理,无锡泰锐森贸易有限公司,7千-1万,广州-白云区,大专,2年经验,年终奖金,贸易/进出口,岗位职责：1、负责供应商及供应渠道的开发，对供应商进行品质、生产、设备、工艺能力进行评估；2、实地考察工厂（需出差），对工厂的制造工艺、能力、规模等整体实力进行评估，形成评估报告；3、结合公司的产品特点、制造工艺，收集上游原材料工厂信息，负责对产品进行测试，确保工厂生产符合质量要求的产品；4、负责供应商的考核，优化与整合供应链；5、深入上游供应商，把控成本和质量，尽可能缩短生产周期。任职要求：1、大专及以上学历，能适应不定时实地考察工厂（出差），有跨境电商供应链开发工作经验两年以上；2、熟悉电子元器件及电芯、塑胶、五金等行业知识，有同类优秀供应链资源更佳；3、具有较强的沟通协调能力，能独立进行供应链开发；4、对工作能主动认真负责，细心，做事能灵活变通，沟通能力强。薪资福利（Salaryandwelfare）：1、固定工资+绩效工资+业绩提成+全勤奖+年终奖金……；2、员工享受法定假日、春节长假、带薪年假、带薪病假、产假、陪产假等其他法定带薪假期；3、为员工提供完善的保障计划，为员工购买包括国家法定的养老保险、医疗保险、工伤保险、失业保险、生育保险；4、公司有系统的培训，根据每位员工的优点及综合能力，让每位员工人尽其才。企业管理透明化，提供公平公正的平台，让每位员工的纵向竞争公开化，公平化；5、公司办公环境舒适，超大面积办公室，不定时下午茶和员工活动，劳逸结合；6、中午2小时超长午休，让您下午冲劲加倍。上班时间：9:00-12:3014:30-18:30长短周，节假日按国家规定放假。乘车线路1、公交线：石潭站，下车后约步行400米到达。2、地铁线：8号线聚龙站B出口，出站后约步行400米到达亿银商务大厦。,民营  |  50-150人,广州,,,,7000-10000,7000,10000
供应链总监,广州市粤饺皇食品有限公司,2-3万,广州-天河区,大专,5-7年经验,绩效奖金,快速消费品(食品、饮料、化妆品),工作职责:1、开拓供应商库：针对公司业务及相关衍生产品开发设计的需求，开拓可产生稳定合作的关联生产供应商。包括产品实现、工厂评审、询价议价比价、打样协调、成本控制、工期评估等；2、采购供应链管理：优化整合已有的工厂和供应商资源，合理控制采购及运输成本；3、成本核算管理：有成本管理经验，能进行成本核算分析，最终制定合理的成本核算标准，指导业务采购进行成本管控；4、生产管理：与供应商签订打样合同、采购合同，跟进产品的生产进度，监督确保衍生产品的打样、大货生产、品控基准、工期协调；5、品质把控：对供应商生产的产品进行质检，确保产出的产品从材质到包装都符合要求。能够采取有效预防和把控措施，降低产品瑕疵率和客户投诉率。任职资格:1、具备优秀的沟通协调、分析谈判和解决问题能力；2、5年以上供应链管理、采购成本分析相关工作经验；3、对动漫IP周边、潮玩模型或文创产品感兴趣；4、有汽车、手机、智能产品供应链管理经验优先考虑；5、可承受一定的工作压力，能接受出差；6、熟练使用Office、PS、AI等办公软件。,民营  |  150-500人,广州,,,,20000-30000,20000,30000
供应链经理,宁波德效企业管理咨询有限公司,2-3万,宁波-慈溪市,大专,8-9年经验,五险一金,专业服务(咨询、人力资源、财会),1.本科以上学历，采购/供应链管理或计算机相关专业。2.园林工具行业资深供应链管理经验，资源丰富。3.善于成本控制，有敏锐的材料市场分析和判断能力，有良好的需求预测和逻辑分析能力。4.积极进取，执行力强，有很强的自我约束力，独立工作和承受压力的能力。5.高度的工作热情，良好的团队合作精神，态度认真，为人诚实正直，具有内驱力。,民营  |  少于50人,宁波,,,,20000-30000,20000,30000
供应链主管/专员,武汉盛势启创科技有限公司,1-2万·13薪,珠海-金湾区,本科,8-9年经验,五险,汽车零配件,岗位职责：1、负责公司供应链的运营，根据公司发展战略与年度经营计划，组织制定并实施供应链战略规划；2、设计并改善公司供应链系统，制定并完善切实可行的计划、采购、仓储、物流、生产等管理工作流程，实施监督和管理；3、建立健全供应商的开发、维护、跟踪及评估体系，控制来料质量、时间及成本等；4、负责公司生产管理，对在产前、产中、产后等环节中影响交付效率及质量稳定性的关键节点进行跟踪和监督；5、负责根据年度发展目标计划，安排采购、计划与订单履行环节的有效运作以及制造管理；6、负责监督分管部门的工作目标和费用预算执行情况，及时进行上报和指导；7、负责管辖部门的团队培养、业务指导和监督考核工作。任职要求年龄：32岁至45岁，3年以上同等工作经验，对现代生产运作和管理有丰富的管理实际操作经验，具有良好的亲和力，工作果敢、干练，思维活跃、敏捷，能清楚、准确下达工作指令，良好的统筹全局的管理能力。,合资  |  150-500人,珠海,13,,,10000-20000,10000,20000
供应链计划员,上海挚达科技发展股份有限公司,6千-1万,广州-荔湾区,本科,8-9年经验,五险一金,汽车,职位说明：1、根据公司发展战略与年度经营计划，组织制定并实施供应链战略规划；2、搭建符合公司发展的供应链系统，制定并完善切实可行的采购、仓储、物流配送、服务等管理工作流程，实施监控和管理，提升各环节的工作效率；3、全面负责生产计划、采购、与订单履行环节的有效运作及相关管理工作；4、负责公司供应商管理、采购、物流配送、仓储工序流程的优化；5、实施供应商评审，负责原材料、采销类品供应的及时性和准确性；确保采购的质量、数量和及时性运输的平衡性。6、建立客服部门对客户投诉的处理标准应对方案，分析供应链导致的客诉及采取有效预防措施，降低客户投诉率；7、管理供应链内部人员及行政事务的处理，编制部门年度预算；8、相关部门之间的工作和关系协调。职位要求：1、35-45岁，本科及以上学历，工商管理或物流管理等专业相关，有食品企业工作经验者优先；2、5年及以上供应链管理经验，熟悉ERP及CRM系统管理；3、熟悉供应链管理流程，制定和完善供应链制度和运作流程；4、良好的系统及逻辑思维能力，理解事物的复杂性，能从全局的角度考虑问题。5、工作预见性强，对数据分析敏感，具有良好的沟通协调能力和领导能力以及团队精神，强烈的责任心和执行力；办公地址：（1）广州市荔湾区荷景路永旭工业园21栋（预计2023年4月份前旧厂办公）（2）广州市南沙区东涌镇银沙大街49号（预计2023年4月后新厂办公）,民营  |  150-500人,广州,,,,6000-10000,6000,10000
供应链经理,宁波德效企业管理咨询有限公司,2-3万,宁波-慈溪市,大专,8-9年经验,五险一金,专业服务(咨询、人力资源、财会),1.本科以上学历，采购/供应链管理或计算机相关专业。2.园林工具行业资深供应链管理经验，资源丰富。3.善于成本控制，有敏锐的材料市场分析和判断能力，有良好的需求预测和逻辑分析能力。4.积极进取，执行力强，有很强的自我约束力，独立工作和承受压力的能力。5.高度的工作热情，良好的团队合作精神，态度认真，为人诚实正直，具有内驱力。,民营  |  少于50人,宁波,,,,20000-30000,20000,30000
供应链总监（中央厨房）,武汉艳阳天商贸发展有限公司,1.5-2.5万,上海-静安区,本科,2年经验,食品,餐饮业,岗位职责：订单录入系统，管理维护订单数据，与供应商协调交付和运输期限海运和清关文件准备，跟踪海运，清关和运输情况，协调进出口报关和运输配送订单和库存的数据管理，分析和查询，为销售和财务提供数据支持日常数据统计管理以及办公室日常事务基本要求：本科以上学历，物流或财务相关专业优先两年以上供应链和物流相关行业工作经验，熟悉海关和进出口事务，有一定财务知识更佳精通常用办公软件，数据统计分析能力强英文良好，工作沟通交流无障碍,民营  |  1000-5000人,上海,,,,15000-25000,15000,25000
生产供应链副总监(生产+品质),武汉象印科技有限责任公司,1.8-2万·13薪,无锡-锡山区,大专,3-4年经验,生产计划,电子技术/半导体/集成电路,"岗位职责：1、组织完善供应链管理系统2、对接采购和物流，优化供应链流程3、部门的库存周转率核算分析4、部门的资金占用统筹规划规划岗位要求：1、大专以上学历，供应链物流相关专业优先，三年以上供应链管理经验2、机械制造，锻造，铸造行业经验优先3、具备良好的沟通协调以及应变能力4、熟练掌握办公软件操作，数据分析工作地址：无锡市锡山区东廊路与锡虞路交汇处方正影视内我们为你提供【公司各项福利】：助力成长：专业全面的外贸业务技巧方法培训+产品知识培训+心态培训+新人培训+成长计划培训+外部培训+拓展培训+管理领导培训,全方位助你成长晋升空间：内部良好的晋升通道，专业和管理双向晋升通道（业务经理，副总，***）氛围：神一般的队友，激情四溢朝气蓬勃的团队工作氛围惊喜：不定时不定量的微信抢红包的惊喜活动，等你来抢福利：根据国家规定缴纳五险一金健康：享受公司组织的每年一次免费健康检查假期：享受国家规定所有假日",民营  |  50-150人,无锡,13,,,18000-20000,18000,20000
供应链总监,深圳市韦德勋光电科技有限公司,1.8-2.5万,广州-荔湾区,本科,5-7年经验,五险一金,电子技术/半导体/集成电路,职位说明1、根据公司发展战略与年度经营计划，组织制定并实施供应链战略规划；2、搭建符合公司发展的供应链系统，制定并完善切实可行的采购、仓储、物流配送、服务等管理工作流程，实施监控和管理，提升各环节的工作效率；3、全面负责生产计划、采购、与订单履行环节的有效运作及相关管理工作；4、负责公司供应商管理、采购、物流配送、仓储工序流程的优化；5、实施供应商评审，负责原材料、采销类品供应的及时性和准确性；确保采购的质量、数量和及时性运输的平衡性。6、建立客服部门对客户投诉的处理标准应对方案，分析供应链导致的客诉及采取有效预防措施，降低客户投诉率；7、管理供应链内部人员及行政事务的处理，编制部门年度预算；8、相关部门之间的工作和关系协调。任职要求1、35-45岁，本科及以上学历，工商管理或物流管理等专业相关，有食品企业工作经验者优先；2、5年及以上供应链管理经验，熟悉ERP及CRM系统管理；3、熟悉供应链管理流程，制定和完善供应链制度和运作流程；4、良好的系统及逻辑思维能力，理解事物的复杂性，能从全局的角度考虑问题。5、工作预见性强，对数据分析敏感，具有良好的沟通协调能力和领导能力以及团队精神，强烈的责任心和执行力；备注：办公地址：（1）广州市荔湾区荷景路永旭工业园21栋（预计2023年3月份前旧厂办公）（2）广州市南沙区东涌镇银沙大街31号（预计2023年3月后新厂办公）,民营  |  50-150人,广州,,,,18000-25000,18000,25000
供应链总监,广州猫屎咖啡连锁有限公司,1.5-2万,宁波-慈溪市,大专,8-9年经验,带薪年假,快速消费品(食品、饮料、化妆品),1.本科以上学历，采购/供应链管理或计算机相关专业。2.园林工具行业资深供应链管理经验，资源丰富。3.善于成本控制，有敏锐的材料市场分析和判断能力，有良好的需求预测和逻辑分析能力。4.积极进取，执行力强，有很强的自我约束力，独立工作和承受压力的能力。5.高度的工作热情，良好的团队合作精神，态度认真，为人诚实正直，具有内驱力。,民营  |  500-1000人,宁波,,,,15000-20000,15000,20000
AI供应链专员-上海(J13197),上海联影智能医疗科技有限公司,6-8千,武汉-武汉经济开发区,本科,3-4年经验,上海联影智能医疗科技有限公司,计算机软件,1、熟悉采购、物流、仓储管理模块或做少精通两个模块以上；2、能独立建立、完善、优化供应链系统；3、需求预测：数据分析并利用预测模型产生需求预测；4、供应计划：跟进采购和工厂订单交付周期及批次，实时监控库存，保证商品供应；5、库存管理：监控库存情况及周转率情况，保证库存处于良性运转。6、3年以上汽车行业供应链工作经验。,民营  |  1000-5000人,武汉,,,,6000-8000,6000,8000
供应链总监,上海笕尚服饰有限公司,2-3万,上海-杨浦区,大专,2年经验,带薪年假,服装/纺织/皮革,"1、	根据销售部门需求，结合历史经验数据以及工厂的实际产能与物料情况，制定周需求/生产计划，并跟踪生产计划的执行情况；2、	根据生产计划，及时识别、沟通、协调处理，确保满足生产交付，并协助提升工厂交付率；3、	监控缺货情况，定期分析缺货原因并优化提升客户交付率；4、	根据日常出货情况，分析预测需求计划，并协助优化中长期需求计划；5、	实时监控库存数量、提升库存周转率，定期清理呆滞库存数量；6、	协调新项目试制、转产过程中的生产计划和交付工作；7、	完成月度生产交付对账工作；8、	完成上级领导交办的其他工作。任职要求：1、大专及以上学历，以理工科专业背景为主；2、基本的英语听说读写能力；3、2年以上计划物流工作经验；4、能熟练电脑和ERP系统，有很较的数据统计、分析和处理能力；5、熟悉IS09001或IATF16949对计划职能的管理要求；6、有良好的人际关系和沟通能力；7、工作态度积极主动、工作作风踏实、责任心强。",民营  |  1000-5000人,上海,,,,20000-30000,20000,30000
供应链主管,上海瑞勋国际贸易有限公司,8千-1.3万·13薪,宁波-慈溪市,大专,8-9年经验,五险一金,贸易/进出口,1.本科以上学历，采购/供应链管理或计算机相关专业。2.园林工具行业资深供应链管理经验，资源丰富。3.善于成本控制，有敏锐的材料市场分析和判断能力，有良好的需求预测和逻辑分析能力。4.积极进取，执行力强，有很强的自我约束力，独立工作和承受压力的能力。5.高度的工作热情，良好的团队合作精神，态度认真，为人诚实正直，具有内驱力。,民营  |  50-150人,宁波,13,,,8000-13000,8000,13000
供应链主管,深圳市华云电源有限公司,1.6-3万·15薪,宁波-鄞州区,大专,1年经验,员工旅游,电子技术/半导体/集成电路,"1、协助供应链总监规范公司供应链物流ERP系统操作2、协助供应链总监及时，准确制定备货及物料需求计划，协调仓、物流及相关部门的配合，满足终端客户出货需求3、根据公司规定，管理及审核仓库的出入库单据，确保公司库存物品的出入数据一致性4、配合供应链总监制定安全库存，规范效期管理，定期组织清理库存物料5、辅助供应链总监处理供应链中心日常业务及问题;6、合理规范采购订单的安排；7、与销售，运营团队紧密配合,做好公司供应链规划与实施;",民营  |  少于50人,宁波,15,,,16000-30000,16000,30000
供应链经理,深圳古逾家居科技有限公司,2-2.5万,武汉-东湖新技术产业开发区,本科,5-7年经验,带薪年假,贸易/进出口,岗位职责：1、负责生产运营的全过程管理。包括：供应商评估、采购、仓储、生产全过程、制造加工、外协、物流、质量管理、生产工艺优化、产成品仓储及发货、售后等；2、参与制定公司经营战略规划，建立规范高效的生产供应链体系并优化完善，修订及执行相关的规章制度、业务流程；3、制定并完善生产供应链年度运营目标，实施监控和管理，确保产品进度及交付质量，并根据业务不断优化。制定年度、月度计划，定期回顾，不断总结完善，确保生产活动有序进行，并优化生产供应链全程成本；4、质量与安全管理：依据质量管理体系文件，在生产运行过程中开展培训、检查、考核质量体系文件执行情况，严格工艺纪律和操作规程，全面落实质量、安全、生产进度三方面要求，保障质量目标的实现；5、负责协同前端市场销售做好产能规划等后端支持工作；随时掌握生产运营进度，并协调各部门之间的沟通与合作，及时解决问题；6、负责供应链团队建设，骨干培养等工作。二、任职要求：1、本科及以上学历，30-40岁。具有五年以上供应链负责人工作经验（该经验必须是要在500人及以上的制造行业），具有制造型企业丰富的全生产供应链环节管理工作经验；2、对制造型企业的生产管理模式与规划有独立设计与推行的能力，要求有成功案例（制造行业优先考虑：机械/电子/电器/装备等）；3、必须具备生产计划和物料需求计划的设计及推行经验，具备月、周、日计划的设计及推行经验，必须独立召开和主持过生产协调会或产销协调会；4、要求对制造型企业的整体运作十分熟悉，对质量管理、生产管理、现场管理、销售管理、工程技术管理、财务管理等十分熟悉；5、熟悉生产系统年度经营计划的制定与规划，熟悉产销平衡分析。精通订单交期管理、生产计划管理、物料库存管理、产能管理、供应链管理；6、具备任务导向性格及强烈职场学习意愿，优秀的领导能力、推动能力、变革创新能力、判断决策能力，流程及系统化意识强。,民营  |  50-150人,武汉,,,,20000-25000,20000,25000
电商供应链负责人,杭州方回春堂集团有限公司,1.2-1.8万,广州-越秀区,大专,5-7年经验,五险一金,制药/生物工程,1、负责整个服装供应链的管理，包括供应商管理、仓储发货、生产、品控质检等板块；2、负责跟设计对接、货品生产交付等全生命周期管理；3、负责面料等生产物料及生产厂家等供应商的寻源、询价、采购及供应商评级管理、负责仓储物流体系的优化及效率；4、管理团队并负责搭建和优化基于精细化运营和数据驱动的供应链管理体系。任职要求：1、具备丰富的服装供应链管理经验，有多品牌运作经验优先；2、心态开放，持续学习，策略思考、运营视角、数据化思维佳；3、有过成功搭建供应链体系的经验优先。,民营  |  1000-5000人,广州,,,,12000-18000,12000,18000
供应链管理,上海瑞勋国际贸易有限公司,7.5千-1.2万,深圳-宝安区,本科,5-7年经验,五险一金,贸易/进出口,岗位要求：①28岁--42岁，大学本科、物流管理/工商管理专业；②中、大型制造业8年以上同职工作经验，有上市公司工作经验优先；③建立高效的供应链体系，依据销售目标，对客户需求、生产计划、物料采购、供应商管理、仓库管理、物流配送进行有效管理。④负责公司总个供应链运营与优化。⑤熟悉PCBA行业，对供应链资源进行整合，并实现价值增值。⑥良好的职业操守，性格开朗，能够承受一定的工作压力。,民营  |  50-150人,深圳,,,,7500-12000,7500,12000
AI供应链专员-上海(J13197),上海联影智能医疗科技有限公司,6-8千,上海-浦东新区,大专,2年经验,上海联影智能医疗科技有限公司,计算机软件,工作职责:1、仓储物流管理。2、库存管理。3、数据汇总及分析。4、完成领导布置的其他工作。任职资格:1、统招大专及以上学历，2年以上工作经验，熟练操作excel。2、责任心强，良好的职业操守，熟悉供应链流程。3、良好的沟通协调能力、良好的团队合作精神。4、有基础数据分析能力者优先考虑。,民营  |  1000-5000人,上海,,,,6000-8000,6000,8000
供应链总监,广州猫屎咖啡连锁有限公司,1.5-2万,广州-海珠区,本科,5-7年经验,带薪年假,快速消费品(食品、饮料、化妆品),岗位职责：1.参与制订、组织实施公司供应链管理战略，建立及发展物料采购/产品供货管理体系，为公司实现经营发展战略目标提供有力保障；2.负责根据公司订单协调采购、计划、物流、供货交付等供应链管理工作，根据销售预测和生产能力，制定和优化供应计划和库存计划，并确保其符合业务发展要求；3.根据公司经营目标制订采购战略规划，制定基于成本分析的采购策略以支持利润控制，收集关键原材料价格走势；建设公司供应商资源各项构成体系，有效地开发与整合利用资源，为重大采购决策提供建议和信息支持；4.在研发部门的协助下，拓宽现有供应商渠道多方面开拓供应渠道，组织建立公司物料采购的供应系统，优化供应商管理，并对供应商进行管理；5.负责协调产、供、销平衡组织合理排产，做好供货计划，保证客户的交期；6.全面负责物流工作计划的制定，控制物流成本，提高供应链效率。7.完成上级领导交办的其它工作。职位要求：1.大学本科或以上学历，具有8年以上采购及供应链管理经验，3年以上团队管理经验，食品行业工作经验优先；2.受过现代供应链、品质管理、物流管理、财务成本分析等方面的基础培训；3.具备沟通、协调、领导、工作规划及执行能力；具备良好的责任感及团队精神，主动承担责任以及解决问题能力。,民营  |  500-1000人,广州,,,,15000-20000,15000,20000
供应链经理,嘉兴东晟汽车部件有限责任公司,9千-1.5万,九江,大专,3-4年经验,五险一金,汽车,1、设计并改善公司、物流、供给链系统、制定并完善切实可行的采购、仓储等管理过程、实施监控和管理；2、建立和健全供应商的开发、维护、跟踪及评估体系，合理控制采购及运输成本；3、物料方案及库存管理，相关订单的签订、实施及跟踪；4、推动、落实公司物流信息系统的建立、完善、管理；5、供应链内部人员的管理和行政事务的处理及部门年度预算的编制；8、相关部门之间的工作和关系协调；,合资  ,九江,,,,9000-15000,9000,15000
供应链主管,普恩富特（上海）环境科技有限公司,1.5-1.7万,上海-宝山区,本科,5-7年经验,五险一金,环保,1、全面负责公司供应链团队（计划、采购、仓储模块）的建设和管理工作，参与制定公司发展战略与年度经营计划，组织制定并实施供应链战略规划。2、全面制定公司整体的供应链管理策略，保证公司计划、采购、仓储环节的顺畅及对终端销售的支持。3、设计并改善公司供应链系统，制定并完善切实可行的计划、采购、仓储等管理工作流程，实施监控和管理。4、建立和健全供应商、合作商的开发、维护、跟踪及评估体系，合理控制采购及生产成本。5、定期编制、执行分析和动态管理供应链的预算和费用，善于利用各种信息及新方式降低成本。6、对公司现有供应链及采购管理流程进行再造和整合，建立高效、规范的采购与供应链管理运作体系，满足客户需求的基础上保证整个供应链系统成本最小化。7、开发满足产品和服务的优质供应商，建立和管理战略性供应商合作伙伴关系，控制采购成本，确保采购质量和成本的竞争力。8、监控仓储及物流运输质量，降低物流环节导致的不良品；监控库存管理，确保账物一致。9、定期编制和执行采购供应链预算和费用。10、供应链团队优化提升、绩效管理、激励和日常培训等。11、服从公司领导的其他工作安排。,外资（欧美）  |  150-500人,上海,,,,15000-17000,15000,17000
供应链经理,深圳古逾家居科技有限公司,2-2.5万,深圳-龙华区,大专,3-4年经验,带薪年假,贸易/进出口,岗位职责：1、根据公司发展战略与年度经营计划，全面统筹供应链中心工作，组织制定并实施供应链战略规划；2、负责部门内部管理，标准化建设(体系、制度、流程、岗位职责、人才梯队培育等)；3、负责公司产品规划/采购、供应商维护，拟定产品定价策略；4.、负责根据亚马逊电商平台销售计划需求指导开展采购、物流调拨、发货等管理工作，分析管控销售进度、销售库存，提高电商产品库存周转率；5、负责公司产品的库存管控，规划统筹公司的货品周转，确保产品周转效率。任职资格：1、专科及以上学历，3-5年以上消费电子类产品供应链管理相关领域工作经验；2、具备专业供应链管理知识和技能，熟悉北美、欧洲市场；3、具备良好的执行能力，逻辑思维强，出色的沟通协调能力及谈判能力；4、具备较强的成本分析及管控能力。,民营  |  50-150人,深圳,,,,20000-25000,20000,25000
供应链中心总监,成都运达科技股份有限公司,2-3万·14薪,成都,本科,5-7年经验,五险一金,电子技术/半导体/集成电路,职位概要:1、按公司战略规划及经营目标，组织制订与实施部门战略规划及年度工作计划；2、领导公司供应链系统的工作，组织制定并实施供应链战略规划，全面负责公司生产计划、采购、供应商管理、仓储物流等体系的优化及管控工作3、建立并优化供应链体系4、供应链战略管理5、提升供应链管理效率6、团队管理与提升任职资格:教育背景:理工科统招本科及以上经验:5年以上供应链管理经验，轨道交通行业背景优先，有制造运营管理经验优先；技能技巧:1.熟悉企业战略规划制定、组织绩效管理、经营计划等经营管理业务；2.熟悉供应链流程，具备供应链流程搭建及优化能力；3.对供应链管理有较深理解与实践，熟悉材料及施工成本构成，成功主导过小批量多型号的物料降成；4.具有较强的供应商开发、供应商谈判、供应商管理等方面能力.。,已上市  |  500-1000人,成都,14,,,20000-30000,20000,30000
供应链主管/专员,上海司南卫星导航技术股份有限公司,1.4-2万·14薪,上海-嘉定区,本科,5-7年经验,五险一金,电子技术/半导体/集成电路,职位信息1.制定滚动计划：结合产品线规划，制定年度、季度、月度备货计划；2.监控执行：监控生产达成，推动采购、PMC等部门，协同问题解决，保障交付达成；3.库存管理：监控库存水位，识别库存风险，推动解决&策略落地，提升公司库存周转；4.计划决策制成：负责月度产销会议运作，识别产销研风险，支撑计划决策。5.进行电子物料市场调研，识别出电子物料供应风险，确保使用物料安全和供应链安全；6.针对项目硬件方案和选型策略，给出指导性建议，支持设计降本；职位要求：1.5年以上相关供应链计划交付工作经验，供应链管理、需求管理、S&OP运作、主计划经验者优先；2.具有良好的逻辑思维能力、判断力、抗压力。跨部门协调能力强，有较好的沟通技巧和说服能力；3.熟悉电子物料分类，对电子物料价格敏感，有广泛的人脉关系和渠道信息；4.具有较好的数据敏感性，拥有较强的数据分析和处理能力；5.统招本科以上学历，理工科、电子类或者管理类相关专业。,已上市  |  150-500人,上海,14,,,14000-20000,14000,20000
供应链主管,上海瑞勋国际贸易有限公司,8千-1.3万·13薪,上海-浦东新区,本科,3-4年经验,五险一金,贸易/进出口,1、供应链管理工作，特别是对库存管理包括掌握库存情况，库存分析及及时调度等；2、制作与库存相关的库存报表；3、与国外关于货物的沟通协调。岗位要求：1、有供应链/库存管理工作经验；2、熟悉EXCEL、PPT等办公软件；3、熟练/用过库存管理软件4、英语较好。5、逻辑性强，善于表达。6、工业工程、财务、统计、供应链、物流专业优先,民营  |  50-150人,上海,13,,,8000-13000,8000,13000
供应链主管,深圳市华云电源有限公司,1.6-3万·15薪,深圳-南山区,本科,5-7年经验,员工旅游,电子技术/半导体/集成电路,岗位职责：1、根据公司发展战略，制定公司的供应链战略，统筹供应链品质、PMC、采购、仓库的管理工作，建立并优化公司的供应链管理策略和运营方案，保证公司供应链有效运转；2、根据公司需求和研发路线图，收集产品相关供应链信息并制定供应商开发和采购方案，包括：分析及对比行业主流供应商分布、技术能力、服务水平、价格：竞争对手供应商现状，采购方案及价格分析，并结合市场反馈（用户需求）和供应商产能，根据精准市场预测与需求管理规划与优化需求计划；3、有效控制供应链运营成本，制定落实成本控制计划和目标并落实；4、负责供应链管理团队建设，不断优化及改进工作流程，落实部门绩效目标；5、负责供应商管理，确保稳定供应链及供应链能力的提升，主导解决过程管理中的采购异常等情况；6、主导月度会议，定期组织项目评估，跟踪计划和订单执行情况，推动解决影响计划和订单交付的瓶颈问题，并对会议提出的问题和要求进行整理、落实和跟踪；7、负责对接公司市场、研发等各部门，制定跨部门作业流程，协调解决工作中的各种异常。岗位要求：1、全/日/制/本科或以上学历，5年以上采购或计划管理工作经验，3年以上电子行业供应链管理及团队管理经验；2、精通供应链信息化系统、具备丰富的供应链体系检核和实施经验，熟悉电子原材料供应资源和基本知识；3、熟悉电子硬件产品的生产制程，物料交付规律，熟悉电子产品研发流程，对小批量多品种产品计划有一定的心得；4、具备战略和前瞻思维能力，擅长系统规划，有较强的学习能力和应变能力；5、较强的数据统计分析及问题解决能力，熟悉ERP系统，尤其是计划模块；6、具备较强的责任心、主动性，条理清晰逻辑思维能力强、具备良好的沟通、协调能力。,民营  |  少于50人,深圳,15,,,16000-30000,16000,30000
供应链总监,祥博传热科技股份有限公司,2.5-3.5万,杭州-萧山区,大专,10年以上经验,供应商管理,电子技术/半导体/集成电路,1、负责组织制定整个供应链策略和体系，制定并完善切实可行的订单、供应商管理、采购、计划物控、仓储物流等管理工作流程与标准并实施优化。2、负责生产订单的统筹、规划、跟进，分析订单数据，优化计划排产工作。3、负责仓储物流管理工作，提高库存周转率，优化库存管理，提高库存准确率。4、负责优化整合供应商资源，引入或淘汰供应商。5、根据采购订单，选择合适供应商采购，确保物料交期保障。6、负责采购成本分析和管控等工作。,民营  |  150-500人,杭州,,,,25000-35000,25000,35000
供应链经理,广州可意光电科技股份有限公司,1.2-1.5万,广州,本科,5-7年经验,五险一金,电子技术/半导体/集成电路,岗位职责：1、全面负责公司供应链管理、采购管理、仓储管理、计划管理等统筹工作；2、负责开发、收集、分析、汇总、考察、评估供应商，并签订采购合作协议；3、制定年度采购工作计划，并指导监督计划的实施，实现年度降本目标；4、降低产品成本，出具定价方案，会审或出具策划方案；5、指导二级部门优化计划管理、采购管理、仓储管理流程，保证供应链体系更加顺畅；6、对二级部门经理进行绩效考核评估，指导进行绩效改进；7、上级领导交待的其他工作及其他部门需要协助的工作。任职要求：1、供应链管理、采购管理、经济管理、物流管理相关专业本科以上学历（含本科）；2、8年以上相关行业供应链管理经验，5年以上经理级以上岗位工作经验；3、熟悉供应链管理各环节的相关流程，能够对生产、采购、计划、仓储等方面资源进行有效规划、整合及优化；4、熟悉供应商的评估和询价系统，谈判能力强，有丰富的供应商管理和运营经验；5、具有很强的领导、计划、执行、判断与决策、沟通协调能力；6、超强的供应链体系规划与建设能力。,民营  |  150-500人,广州,,,,12000-15000,12000,15000
