职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
Android/安卓开发工程师,深圳欧乐酷科技有限公司,1.4-2万,杭州,硕士,3-4年经验,01-28发布,通信/电信/网络设备,,工作职责:1、负责和家亲在大、中、小屏上的客户端研发工作；2、负责和家亲上智能设备接入开发工作；3、负责客户端架构设计、新技术研究、功能扩展，提升团队开发和协作效率，对客户端性能调优；4、根据产品需求开发相关的移动产品，改善易用性，提高用户体验；5、负责Android端的相关智能家居SDK的开发、维护；6、配合市场等其他部门，提供产品相关技术售后支持。任职资格:1、本科及以上学历，5年以上Android开发经验，具有良好的英文阅读能力；2、精通java语言，熟练掌握面对对象化编程思想及相关设计模式；3、熟悉Android基础框架及组件，掌握多进程、消息队列、事件分发等原理，具备内存调优等经验者优先；4、熟悉TCP，HTTP协议及相关网络通信；5、具备物联网、智能设备开发发经验者优先；6、具有AndroidTV、Pad项目经验开发经验者优先；7、具备良好的沟通能力，学习能力，责任心强，能接受较大的工作强度。8、有多个Android项目经验，至少参加过一个完整的应用的技术框架搭建、关键技术选型工作。,民营  |  50-150人
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,深圳-龙华区,大专,3-4年经验,01-28发布,计算机软件,,1、参与鸿蒙应用开发与android应用开发；2、对外对接业务接入SDK和维护，解决线上问题。3、自定义控件开发岗位要求1.3年以上Android客户端软件开发经验，独立负责过模块级设计开发工作；2.基本功扎实，对android有系统化的理解；3.熟悉JAVA设计模式、网络开发，有良好的编程习惯和面向对象编程思想；4.有技术难题攻关经验，有性能、电量等调优经验者优先；5.有鸿蒙开发经验优先；有医疗应用开发经验优先；6.拥有有良好的学习能力，团队合作能力，沟通能力，问题分析和解决能力，抗压能力强。,民营  |  1000-5000人
安卓驱动软件高级工程师,上海代迪电子科技有限公司,2.5-3.5万,,,,01-28发布,电子技术/半导体/集成电路,,,民营  |  少于50人
安卓软件工程师,广州市华粤行仪器有限公司,1.2-1.5万·14薪,,,,01-28发布,制药/生物工程,,,民营  |  500-1000人
Android安卓软件开发工程师,湖南源信光电科技股份有限公司,1-1.8万,,,,01-27发布,电子技术/半导体/集成电路,,,民营  |  50-150人
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,,,,01-27发布,计算机软件,,,民营  |  1000-5000人
安卓中间件开发工程师,江苏明月智能科技有限公司,1.2-1.5万·14薪,,,,01-27发布,计算机软件,,,民营  |  150-500人
安卓开发工程师,上海豪亿信息科技有限公司,1.8-2.8万,,,,01-29发布,通信/电信/网络设备,,,民营  |  500-1000人
Android安卓高级工程师,湖南源信光电科技股份有限公司,2-2.5万,,,,01-29发布,电子技术/半导体/集成电路,,,民营  |  50-150人
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,,,,01-29发布,计算机软件,,,民营  |  1000-5000人
安卓软件工程师,杭州奥盛仪器有限公司,15-25万/年,,,,01-29发布,仪器仪表/工业自动化,,,民营  |  150-500人
安卓中间件开发工程师,江苏明月智能科技有限公司,1.2-1.5万·14薪,杭州-西湖区,本科,3-4年经验,01-26发布,计算机软件,,,民营  |  150-500人
高级安卓开发工程师 智网团队,东软集团股份有限公司,2-2.5万,扬州-邗江区,本科,3-4年经验,01-29发布,计算机软件,,岗位职责：1、根据产品需求完成Android车载中间件的设计与开发；2、分析并解决软件问题，维护并改善程序质量；3、配合Android应用开发、测试人员、MCU人员的工作与问题定位分析；4、建设与维护自动化接口测试工具，提升产品质量；任职要求：1、计算机相关专业本科以上学历；2、有丰富的C/C++开发经验，至少2年framework工作经验；3、熟悉AndroidFramework机制，熟练掌握基于NDK，JNI方式的开发和Debug；4、熟悉UART/SPI通信、AndroidAIDL和HIDL开发；5、良好的英语读写能力，能快速阅读相关英文资料；6、有Android车载IVI开发经验优先；,已上市  |  10000人以上
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,深圳-南山区,本科,3-4年经验,01-29发布,计算机软件,,岗位职责:1、负责移动端Android应用程序开发；2、根据产品需求完成模块设计、编码、集成工作；3、持续优化产品性能，保证APP安全、稳定、快速运行，提升用户使用体验；4、解决APP运行中出现的问题。任职资格:1、本科及以上学历，计算机或相关专业优先；2、两年及以上的AndroidApp开发经验，熟练进行开发、调试；3、具备在线教育应用开发经验、精通摄像头与人脸识别、视频流媒体采集播放的优先；3、拥有良好的代码习惯，结构清晰，命名规范，逻辑性强。4、学习能力强，熟悉面向对象编程设计，具备扎实的编程基础；5、具备良好的沟通能力和合作精神、有责任感，较强的抗压能力；8、熟悉微信小程序和IOS开发者优先。,民营  |  1000-5000人
安卓软件工程师,杭州奥盛仪器有限公司,15-25万/年,长沙,大专,5-7年经验,01-29发布,仪器仪表/工业自动化,,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格,民营  |  150-500人
Android安卓高级开发工程师,深圳学达科技有限公司,1.5-2.5万,盐城-亭湖区,大专,2年经验,01-29发布,教育/培训/院校,,,民营  |  50-150人
安卓工程师,盐城一之来计算机有限公司,8千-1.3万,重庆-沙坪坝区,本科,3-4年经验,01-29发布,计算机软件,,来都来了，投一个吧，我回复超快哟~~试一试嘛岗位职责：1、负责Android手机软件的开发及设计；2、根据产品的需求进行Android产品的分析；3、对Android平台开发技术进行研究，发现其缺陷并改正更新；4、根据用户需求研发新的Android产品，并测试其性能，进行改进；5、根据项目需求进行学习并快速掌握技巧；6、与研发上下游同学进行有效沟通，快速处理问题。任职要求：1、本科及以上学历。较强的技术敏感度，较强的学习能力和工作韧性；2、具备3-5年以上原生Android端开发经验，熟悉Android多线程、网络协议、前端数据库等，熟悉苹果应用市场上架流程及规则；3、对APP性能优化和内存优化有深入了解，熟练掌握IOS平台下的代码调试和调优技术；4、熟练掌握IM通讯开发，有社交平台、电商平台开发经验；5、具有良好的编程技巧和文档编写能力；6、能迅速适应工作环境以及抗压能力，有良好的沟通能力，团队合作精神。,民营  |  少于50人
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,深圳-南山区,本科,1年经验,01-29发布,计算机软件,,1、负责公司业务所需的Android的设计和开发；2、参与项目需求分析、产品模块的概要和详细设计；3、完成分配模块的开发工作，以满足移动应用功能和非功能的要求。4、具有分享精神，团队协作精神；技能要求：1、Android应用开发经验，有实时视频开发经验的优先。2、大学本科毕业，熟练掌握C、C++、JAVA等语言3、熟悉物联网、安防监控类优先,民营  |  1000-5000人
安卓工程师,深圳市恺恩科技有限公司,1-1.5万,长沙,大专,5-7年经验,01-29发布,仪器仪表/工业自动化,,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格,民营  |  50-150人
